Sample Name,Sample Number,TV,BV,BS,BV/TV,BS/TV,BS/BV,Conn.D,SMI,Tb.N,Tb.Th,Tb.Sp,Tb.Th.SD,Tb.Sp.SD,DA,BMD,TMD,exp_name
CCC_E01_F01_CV,124,1.638,0.433,15.7459,0.2643,9.612881562881563,38.7569,187.429,1.0846,5.2558,57.7,178.29999999999998,14.8,66.69999999999999,2.0035,207.9273,808.715,CCC_E01.xlsx
CCC_E01_F02_CV,125,1.7744,0.4499,15.6779,0.2535,8.835606402164112,36.9556,145.9611,1.0748,4.6705,59.4,207.5,14.7,96.9,1.9621,197.2712,807.046,CCC_E01.xlsx
CCC_E01_F03_CV,126,1.758,0.3788,13.9518,0.2155,7.93617747440273,39.6337,133.815,1.2887,4.4701,55.9,219.29999999999998,15.299999999999999,78.10000000000001,1.8926,167.036,799.728,CCC_E01.xlsx
CCC_E01_F04_CV,127,1.8071,0.4291,15.4985,0.2374,8.576448453323003,38.5142,144.5668,1.165,4.6669,57.1,208.5,14.3,84.8,1.948,182.1215,793.373,CCC_E01.xlsx
CCC_E01_F05_CV,129,1.7658,0.4405,15.6839,0.2494,8.882036470721486,37.9477,157.7172,1.1803,4.7332,58.4,202.9,14.7,77.39999999999999,1.9139,195.7306,809.999,CCC_E01.xlsx
CCC_E01_F06_CV,130,1.8178,0.4613,16.4942,0.2537,9.073715480250852,38.1627,156.5074,1.1389,4.9689,58.1,192.1,15.8,72,1.9895,198.8119,814.364,CCC_E01.xlsx
CCC_E01_F07_CV,131,1.9813,0.4679,16.7355,0.2362,8.446726896482106,37.9812,136.273,1.2527,4.3933,58.9,218.20000000000002,14.6,97.19999999999999,2.0629,183.4696,818.729,CCC_E01.xlsx
,,,,,,,,,,,,,,,,,,CCC_E01.xlsx
CCC_E03_F01_CV,285,1.9804,0.5333,18.3064,0.2693,9.243789133508383,36.0823,163.6033,0.8662,4.4819,61,215.4,15.8,105,1.9986,204.1399,824.442,CCC_E03.xlsx
CCC_E03_F02_CV,286,2.3228,0.5324,19.1019,0.2292,8.223652488376098,38.0933,145.9424,1.1861,4.3962,58.4,224.20000000000002,15.7,91.39999999999999,1.8699,173.4554,822.452,CCC_E03.xlsx
CCC_E03_F03_CV,287,1.8355,0.3985,14.344,0.2171,7.81476436938164,38.7075,135.1131,1.4018,4.2353,58.8,233.4,17.7,102.1,1.8868,160.1673,821.104,CCC_E03.xlsx
CCC_E03_F04_CV,288,1.716,0.467,15.6064,0.2721,9.094638694638695,35.4344,148.89,1.0011,4.9133,61.3,192.89999999999998,15.4,72.9,2.0724,208.3767,818.087,CCC_E03.xlsx
CCC_E03_F05_CV,290,1.8047,0.371,15.1105,0.2056,8.372859755083947,44.1942,167.6204,1.5152,4.8093,52.699999999999996,204.5,14.5,76.7,1.9196,162.2215,773.665,CCC_E03.xlsx
CCC_E03_F06_CV,291,1.9131,0.3806,14.6619,0.199,7.663948565156029,41.6404,129.3738,1.4055,4.1791,54.199999999999996,235.4,14.200000000000001,97.9,1.8818,146.2373,796.261,CCC_E03.xlsx
CCC_E03_F07_CV,292,1.9462,0.3516,12.9054,0.1807,6.631075942863015,40.1698,97.6279,1.7743,3.9586,56.599999999999994,252,14.9,98.6,1.8521,137.7637,806.147,CCC_E03.xlsx
CCC_E03_F08_CV,293,1.6971,0.3455,13.2317,0.2036,7.796653114135879,41.5978,129.6301,1.5229,4.4132,55,220,14.7,87.6,2.0783,157.4712,801.14,CCC_E03.xlsx
CCC_E04_F01_CV,716,2.3508,0.4925,18.6308,0.2095,7.925302024842607,40.6206,151.9702,1.4168,4.2103,56.5,236.3,15.5,116.6,1.8051,159.8463,823.608,CCC_E04.xlsx
CCC_E04_F02_CV,717,2.2021,0.4104,15.9746,0.1864,7.254257299850143,41.9305,124.3159,1.5288,4.1383,54.6,239.4,16.1,102.9,1.913,140.5883,835.548,CCC_E04.xlsx
