Sample Name,Sample Number,TV,BV,BS,BV/TV,BS/TV,BS/BV,Conn.D,SMI,Tb.N,Tb.Th,Tb.Sp,Tb.Th.SD,Tb.Sp.SD,DA,BMD,TMD
CCC_E01_F01_CF,84,1.8481,0.1089,4.868,0.0589,2.634056598668903,56.0091,13.7982,3.9466,3.6029,51.3,281.5,19.599999999999998,19.599999999999998,1.3229,38.4562,866.361
CCC_E01_F02_CF,85,1.9642,0.115,5.6664,0.0585,2.8848386111393953,62.3468,11.4552,3.7754,3.6961,49.5,266.79999999999995,21.2,21.2,1.3425,39.2265,860.262
CCC_E01_F03_CF,86,2.1036,0.1087,5.2744,0.0517,2.507320783418901,62.3053,11.6466,3.7171,3.328,46.699999999999996,297.3,16.5,16.5,1.2472,30.3036,818.536
CCC_E01_F04_CF,87,2.0597,0.1206,5.4012,0.0585,2.6223236393649563,55.7394,18.2069,3.8409,3.4917,48.300000000000004,288.7,16.7,16.7,1.4232,35.9527,800.306
CCC_E01_F05_CF,89,2.1016,0.1482,6.6641,0.0705,3.1709649790635708,54.2276,24.5055,3.5805,3.4652,52.1,285,20.1,20.1,1.3688,52.7072,866.04
CCC_E01_F06_CF,90,1.9122,0.0996,4.8727,0.0521,2.5482167137328733,63.8486,11.5053,3.9055,3.582,45.5,279.9,17.4,17.4,1.2904,39.7401,853.394
CCC_E01_F07_CF,91,2.0854,0.147,6.7925,0.0705,3.2571688884626453,57.5268,21.0986,3.7413,3.9209,49.7,254.7,19.900000000000002,19.900000000000002,1.3884,50.2679,809.999
CCC_E01_F08_CF,92,2.0729,0.0738,3.3919,0.0356,1.6363066235708428,59.9359,5.0655,4.2959,2.9776,47,337,19.2,19.2,1.3406,21.5091,852.366
CCC_E03_F01_CF,280,2.1243,0.081,3.8569,0.0381,1.815609847949913,61.2359,5.8843,4.0236,3.0079,47.1,334.7,17.6,93.60000000000001,1.3307,8.4778,841.197
CCC_E03_F02_CF,281,2.2539,0.0725,3.6535,0.0322,1.6209680997382316,65.6873,6.8768,3.9837,2.7077,46.9,373.2,20.1,124.10000000000001,1.3469,5.3965,859.364
CCC_E03_F03_CF,282,2.0308,0.1095,5.4771,0.0539,2.6970159543037227,62.3413,17.7268,3.4593,3.3158,46.199999999999996,302.9,16.299999999999997,98.10000000000001,1.3878,22.9856,841.197
CCC_E03_F04_CF,283,1.9828,0.0965,4.2908,0.0486,2.1640104902158566,55.4338,11.8517,3.8088,3.1577,51.6,314.90000000000003,21,82.4,1.3514,19.0697,889.599
CCC_E03_F05_CF,245,2.1288,0.0984,4.3804,0.0462,2.0576850807966927,56.028,12.9178,3.644,2.7984,48.800000000000004,363.4,16.7,112.69999999999999,1.3266,14.2552,817.574
CCC_E03_F06_CF,246,1.9024,0.0837,3.4978,0.044,1.8386248948696382,51.8751,13.9296,3.8011,2.6627,51.7,379.5,18.2,106.89999999999999,1.4863,13.9343,822.003
CCC_E03_F07_CF,247,1.9324,0.0765,3.5551,0.0396,1.8397329745394329,60.0082,6.4687,3.8405,2.8353,47.4,352.7,18.4,110.7,1.3521,12.0085,863.665
CCC_E03_F08_CF,248,1.9217,0.0839,4.0603,0.0437,2.112868814070875,64.6022,6.7649,4.0147,3.199,45.199999999999996,312.5,18,87.6,1.2488,17.144,808.394
CCC_E04_F01_CF,636,2.3255,0.1328,6.5845,0.0571,2.831434100193507,61.5327,20.6408,3.5413,3.2984,46.4,299.70000000000005,16.299999999999997,90.30000000000001,1.3678,41.7943,790.933
CCC_E04_F02_CF,637,2.2405,0.0969,4.6515,0.0432,2.076099085025664,61.5282,12.7201,3.9599,3.2614,47,306.7,18.8,85.9,1.3422,32.8072,846.461
CCC_E04_F03_CF,638,2.0435,0.141,6.7242,0.069,3.2905309517983854,58.6968,26.1808,3.5432,3.7866,48.9,266.2,19.8,71.4,1.3453,55.8527,829.321
CCC_E04_F04_CF,639,1.8599,0.0733,3.9327,0.0394,2.114468519812893,72.1832,12.0973,3.7157,3.1728,42.1,318.2,15.7,92,1.2549,28.9556,807.303
