Sample Name,Sample Number,TV,BV,BS,BV/TV,BS/TV,BS/BV,Conn.D,SMI,Tb.N,Tb.Th,Tb.Sp,Tb.Th.SD,Tb.Sp.SD,DA,BMD,TMD,exp_name,gene_symbol,Gender
Acvr2a_E01_F01_CF,3564,2.3106,0.102,5.0235,0.0442,2.1741106206180216,63.3207,10.1704,3.8349,3.3686,47.5,297,19.8,82.19999999999999,1.2752,28.6988,854.292,Acvr2a_E01.xlsx,Acvr2a,Female
Acvr2a_E01_F02_CF,3565,2.2726,0.1392,6.5912,0.0612,2.9002904162633105,58.8791,27.0621,3.5222,3.612,47.199999999999996,278.1,16.7,81.9,1.3654,39.4191,792.345,Acvr2a_E01.xlsx,Acvr2a,Female
Acvr2a_E01_F03_CF,3566,2.3165,0.0999,4.5087,0.0431,1.946341463414634,56.7967,9.7129,3.9537,3.0467,48.4,329.1,18.4,86,1.3652,18.2994,821.297,Acvr2a_E01.xlsx,Acvr2a,Female
Acvr2a_E01_F04_CF,3567,2.1106,0.1101,5.3435,0.0522,2.531744527622477,63.3346,6.3962,3.9661,3.5418,46,282.9,17.2,76.6,1.2793,33.6417,840.619,Acvr2a_E01.xlsx,Acvr2a,Female
Acvr2a_E01_F05_CF,3569,2.225,0.1438,6.136,0.0646,2.757752808988764,51.7368,14.8313,3.9593,3.4372,58.6,290.6,30.900000000000002,82.69999999999999,1.3338,43.7201,825.084,Acvr2a_E01.xlsx,Acvr2a,Female
Acvr2a_E01_F06_CF,3570,2.1093,0.1316,5.9515,0.0624,2.821552173706917,55.3471,22.282,3.7885,3.5625,53.1,280.7,22.3,77.7,1.3933,39.034,832.723,Acvr2a_E01.xlsx,Acvr2a,Female
Acvr2a_E01_F07_CF,3571,1.9721,0.0938,4.0836,0.0476,2.0706860706860706,56.5708,8.3668,4.2387,3.0486,50.6,328.2,20.5,105.2,1.347,22.472,845.883,Acvr2a_E01.xlsx,Acvr2a,Female
Acvr2a_E01_F08_CF,3572,2.2254,0.1159,5.2783,0.0521,2.371843264132291,56.4634,13.0316,4.0864,3.4195,50.4,290.4,20.7,76.89999999999999,1.3057,34.6046,868.094,Acvr2a_E01.xlsx,Acvr2a,Female
Alg3_E01_F01_CF,1817,2.0461,0.0621,2.6932,0.0303,1.3162602023361516,54.3288,5.1317,3.8424,2.4024,50.6,421.20000000000005,18.9,133.70000000000002,1.445,-0.8945,798.059,Alg3_E01.xlsx,Alg3,Female
Alg3_E01_F02_CF,1818,2.0747,0.0686,2.8882,0.0331,1.3921048826336337,52.36,6.7479,4.1162,2.7384,53.400000000000006,369.3,19.099999999999998,89.5,1.3747,7.7717,844.792,Alg3_E01.xlsx,Alg3,Female
