Sample Name,Sample Number,TV,BV,BS,BV/TV,BS/TV,BS/BV,Conn.D,SMI,Tb.N,Tb.Th,Tb.Sp,Tb.Th.SD,Tb.Sp.SD,DA,BMD,TMD,exp_name,gene_symbol,Gender
Acvr2a_E01_M01_CF,3574,2.789,0.408,17.878,0.1463,6.410182861240588,48.8646,105.2358,2.6286,4.7526,54.5,206.7,17.2,66.10000000000001,1.3109,107.5285,817.83,Acvr2a_E01.xlsx,Acvr2a,Male
Acvr2a_E01_M02_CF,3575,2.5802,0.3592,16.7753,0.1392,6.5015502674211305,53.035,116.6577,2.675,4.9818,50.9,194.70000000000002,15.2,53.5,1.2819,101.5585,786.761,Acvr2a_E01.xlsx,Acvr2a,Male
Acvr2a_E01_M03_CF,3576,2.602,0.4215,16.1592,0.162,6.210299769408147,41.4264,80.1306,2.4071,4.38,63.8,220.9,22.9,80.69999999999999,1.5697,119.1476,867.645,Acvr2a_E01.xlsx,Acvr2a,Male
Acvr2a_E01_M04_CF,3577,2.9025,0.6428,24.4329,0.2215,8.417881136950905,40.089,144.5328,1.742,5.2042,60.6,182.29999999999998,17.1,68.3,1.6652,159.5896,828.807,Acvr2a_E01.xlsx,Acvr2a,Male
Acvr2a_E01_M05_CF,3579,2.6277,0.2567,13.3265,0.0977,5.071545458005099,61.8571,66.9792,2.9751,4.7412,46.199999999999996,205.9,15.299999999999999,51.5,1.2777,72.2221,787.403,Acvr2a_E01.xlsx,Acvr2a,Male
Acvr2a_E01_M06_CF,3580,2.677,0.2957,12.653,0.1104,4.726559581621218,48.3907,58.0883,2.8389,3.7898,56.4,262.7,20.9,92.2,1.2924,74.0195,843.187,Acvr2a_E01.xlsx,Acvr2a,Male
Acvr2a_E01_M07_CF,3581,2.8961,0.3877,17.4887,0.1339,6.038707226960395,50.8338,90.8103,2.7242,4.7677,53,203.5,16.5,56.099999999999994,1.2445,95.7169,797.032,Acvr2a_E01.xlsx,Acvr2a,Male
Acvr2a_E01_M08_CF,3582,2.8078,0.6307,22.7693,0.2246,8.109302656884394,37.9773,128.3903,1.7711,5.0202,64.19999999999999,193.6,19.099999999999998,84.6,1.5919,159.1402,823.993,Acvr2a_E01.xlsx,Acvr2a,Male
Alg3_E01_M01_CF,1827,2.4173,0.2135,10.7717,0.0883,4.456087370206428,60.8453,61.0183,3.1046,4.2785,46.699999999999996,230.5,16.1,64.69999999999999,1.3438,62.272,793.373,Alg3_E01.xlsx,Alg3,Male
Alg3_E01_M02_CF,1828,2.4446,0.2283,11.4622,0.0934,4.688783441053751,60.1764,57.0647,3.1643,4.474,48.2,220.29999999999998,16.6,66.60000000000001,1.3029,67.5359,827.78,Alg3_E01.xlsx,Alg3,Male
Alg3_E01_M03_CF,1829,2.3263,0.2614,12.6519,0.1124,5.438636461333449,56.8395,81.4606,3.0854,4.7895,51.1,203.3,17.4,55.599999999999994,1.3351,83.5201,828.358,Alg3_E01.xlsx,Alg3,Male
Alg3_E01_M04_CF,1830,2.5432,0.2904,14.8683,0.1142,5.846296005033029,60.3812,99.8741,2.8472,4.8595,46.199999999999996,201.6,14,61.400000000000006,1.3518,83.5843,783.358,Alg3_E01.xlsx,Alg3,Male
Alg3_E01_M05_CF,1832,2.8614,0.4393,17.9349,0.1535,6.267875864961207,44.2444,87.5432,2.0306,4.1349,55.800000000000004,238.2,16.2,99.7,1.6885,104.8324,806.34,Alg3_E01.xlsx,Alg3,Male
Alg3_E01_M06_CF,1833,2.5906,0.4092,15.4852,0.158,5.977456959777658,40.5844,87.6247,2.0119,3.6747,60.400000000000006,274.8,16.5,147.2,1.6877,105.1534,821.682,Alg3_E01.xlsx,Alg3,Male
Alg3_E01_M07_CF,1834,2.5684,0.5264,19.195,0.2049,7.4735243731506,38.8568,119.1416,1.935,4.8027,64.4,201.9,21.4,71.5,1.6677,147.7137,834.071,Alg3_E01.xlsx,Alg3,Male
Alg3_E01_M08_CF,1835,2.2665,0.2012,9.3141,0.0888,4.109463931171409,55.2719,41.0326,3.2269,3.7446,51.2,262.7,17.6,92.89999999999999,1.2823,60.1537,847.552,Alg3_E01.xlsx,Alg3,Male
Cacna1c_E01_M01_CF,2283,2.7079,0.4962,20.6398,0.1832,7.622068761771114,44.7639,124.449,2.1168,5.0834,57.3,184.9,15.9,57.7,1.5498,132.1789,809.87,Cacna1c_E01.xlsx,Cacna1c,Male
Cacna1c_E01_M02_CF,2284,2.7497,0.5906,22.0212,0.2148,8.008582754482308,39.4553,128.1945,1.8049,5.0153,62.4,192.1,20.400000000000002,71,1.877,154.1973,829.193,Cacna1c_E01.xlsx,Cacna1c,Male
Cacna1c_E01_M03_CF,2285,2.4181,0.4371,17.6988,0.1808,7.319300277077043,43.6681,111.4512,2.187,4.9163,59,193.8,18.8,66.19999999999999,1.5561,131.2802,843.957,Cacna1c_E01.xlsx,Cacna1c,Male
Cacna1c_E01_M04_CF,2286,2.8761,0.5522,20.9099,0.192,7.2702270435659395,40.438,106.2191,2.0899,4.6567,64.19999999999999,208.3,22.700000000000003,89.80000000000001,1.6098,138.4698,850.505,Cacna1c_E01.xlsx,Cacna1c,Male
Cacna1c_E01_M05_CF,2288,2.9305,0.5566,21.8198,0.1899,7.445760109196383,41.6801,116.0192,1.9207,4.9711,59.8,196.3,18.4,71,1.7434,134.1047,828.615,Cacna1c_E01.xlsx,Cacna1c,Male
Cacna1c_E01_M06_CF,2289,2.6734,0.4823,18.2012,0.1804,6.808259145657216,40.4072,97.0666,2.2535,4.7526,63.4,204.5,20.8,62.300000000000004,1.6539,127.8137,821.104,Cacna1c_E01.xlsx,Cacna1c,Male
Cacna1c_E01_M07_CF,2290,2.7147,0.5263,19.1606,0.1939,7.058091133458577,38.8246,101.8543,2.1369,4.5915,65.60000000000001,212.29999999999998,21,90.89999999999999,1.5146,138.5341,839.592,Cacna1c_E01.xlsx,Cacna1c,Male
Cacna1c_E01_M08_CF,2291,2.6451,0.3686,17.4935,0.1394,6.613549582246419,53.1162,106.6113,2.4923,5.0662,50,191.89999999999998,15,56.5,1.4628,99.6969,788.109,Cacna1c_E01.xlsx,Cacna1c,Male
Chn1_E01_M01_CF,5344,2.6235,0.527,20.1566,0.2009,7.683095101963027,40.7953,123.6891,1.9388,5.1081,61.1,189.20000000000002,19.2,65,1.4928,145.0176,838.757,Chn1_E01.xlsx,Chn1,Male
Chn1_E01_M02_CF,5345,2.3068,0.3796,15.7016,0.1645,6.806658574648864,45.6427,100.7869,2.4848,4.8986,57.3,200.8,20.299999999999997,68.7,1.5254,119.6611,823.736,Chn1_E01.xlsx,Chn1,Male
Chn1_E01_M03_CF,5346,2.5665,0.2535,12.9232,0.0988,5.035339957140073,60.4528,60.9771,3.0199,4.3985,46.199999999999996,220.1,15.2,70.2,1.2999,73.3775,805.505,Chn1_E01.xlsx,Chn1,Male
Chn1_E01_M04_CF,5347,2.4049,0.295,12.7553,0.1227,5.303879579192482,49.1715,74.4317,3.0648,4.576,58,213.4,19.900000000000002,60.8,1.2621,91.6085,859.813,Chn1_E01.xlsx,Chn1,Male
