Sample Name,Unnamed: 1,Length,Tt.Ar,Ma.Ar,Ct.Mask,Ct.Ar_Tt.Ar,Ct.Ar,Ps.Pm,Ec.Pm,Po.Ar,Ct.Po,Ct.Th,J,Imax,Imin,Zmax,Zmin,Dmax,Dmin,App.D,Tiss.D,exp_name,gene_symbol
AAA_E01_M_total mean,,14.83333333,1.717343333,0.997036667,0.720306667,41.83387607,0.718026667,4.649666667,3.538199173,0.00228,0.316333333,0.1643,0.33699,0.23029,0.106696667,0.240606667,0.177933333,1.911752688,1.197418728,1112.364533,1177.4994,AAA_E02_CF_2.xlsx,AAA_E02_CF_2.xlsx
AAA_E06_M_total mean,,14.55,1.71745375,1.02412,0.69333375,40.24380997,0.69107875,4.683375,3.58664603,0.002255,0.323375,0.1564125,0.3273125,0.22387375,0.10343875,0.2322,0.17226375,1.924928392,1.200329955,1115.442375,1184.549637,AAA_E03_CF_2.xlsx,AAA_E03_CF_2.xlsx
AAA_E04_M_total mean,,14.8625,2.0195175,1.21155375,0.80796375,39.81555909,0.80445125,5.093875,3.899402345,0.0035125,0.43,0.1710375,0.4450325,0.29775625,0.14727375,0.28561625,0.2176325,2.078280175,1.344220136,1101.405488,1163.007913,AAA_E04_CF_2.xlsx,AAA_E04_CF_2.xlsx
AAA_E05_M_total mean,,14.67142857,1.785527143,1.03857,0.746957143,41.71109028,0.74413,4.797142857,3.6113181,0.002827143,0.379142857,0.167728571,0.361797143,0.247454286,0.114341429,0.250612857,0.184522857,1.974847805,1.238068927,1122.218814,1189.5045,AAA_E05_CF_2.xlsx,AAA_E05_CF_2.xlsx
AAA_E06_M_total mean,,14.78571429,1.796397143,1.04841,0.747987143,41.52104811,0.745224286,4.758142857,3.626641439,0.002762857,0.367,0.168614286,0.362925714,0.244748571,0.118172857,0.248268571,0.187235714,1.967004135,1.257381011,1111.080643,1174.643657,AAA_E06_CF_2.xlsx,AAA_E06_CF_2.xlsx
AAA_E08_M_total mean,,14.6375,1.7646575,1.0503275,0.71433,40.33808849,0.712075,4.70975,3.63142969,0.002255,0.315625,0.161225,0.34320375,0.2315575,0.1116475,0.23814875,0.17884625,1.939433908,1.245954552,1132.9624,1204.232575,AAA_E08_CF.xlsx,AAA_E08_CF.xlsx
AAA_E09_M_total mean,,14.35375,1.62243125,0.9526275,0.66980375,41.12212705,0.66755375,4.511875,3.459385438,0.00225,0.334375,0.1567875,0.29582375,0.2012225,0.09460125,0.214295,0.159085,1.874738589,1.187992814,1131.285925,1205.544188,AAA_E09_CF.xlsx,AAA_E09_CF.xlsx
AAA_E11_M_total mean,,14.73428571,1.883248571,1.144902857,0.738345714,38.89700329,0.733052857,4.855,3.789839528,0.005292857,0.711714286,0.160571429,0.378871429,0.25132,0.127551429,0.251245714,0.193602857,1.987823668,1.313962616,1111.358586,1188.293414,AAA_E11_CF_2.xlsx,AAA_E11_CF_2.xlsx
AAA_E12_M_total mean,,14.5625,1.807975,1.11745125,0.69052375,38.02442521,0.6887575,4.64575,3.741922061,0.00176625,0.255,0.152125,0.34921625,0.23363875,0.11557875,0.23549375,0.18040125,1.961265283,1.271221628,1139.346513,1201.5756,AAA_E12_CF_2.xlsx,AAA_E12_CF_2.xlsx
AAA_E13_M_total mean,,13.8975,1.6906675,0.9862275,0.70444,41.57896841,0.70243,4.17675,3.516165788,0.00201,0.2855,0.16555,0.3194675,0.207985,0.1114825,0.2256825,0.1726375,1.83471358,1.286473889,1171.737175,1242.708625,AAA_E13_CF.xlsx,AAA_E13_CF.xlsx
AAA_E15_M_total mean,,14.67,1.7672575,1.0370225,0.730235,41.23159576,0.728175,4.604125,3.603551916,0.00206,0.27925,0.165,0.34869625,0.22728875,0.12140875,0.23825,0.18932375,1.883550063,1.273641964,1179.19275,1249.015863,AAA_E15_CF.xlsx,AAA_E15_CF.xlsx
AAA_E16_M_total mean,,14.24428571,1.521352857,0.937801429,0.583551429,38.28030945,0.58214,4.101,3.42875884,0.001411429,0.240285714,0.1424,0.243604286,0.157944286,0.085657143,0.17837,0.1424,1.757887637,1.198466167,1157.435,1236.288314,AAA_E16_CF.xlsx,AAA_E16_CF.xlsx
