Sample_Name,Sample Number,BV/TV,Tb.Th,Tb.N,Tb.Sp,Conn.D,App.D,Tiss.D,TV,BV,SMI,BS,BS/BV,BS/TV,BS/MV,DA,exp_name,gene_symbol
AAA_E01_F01_CV,1159.0,24.356068411291982,60.400000000000006,4.2888,238.5,160.7273,235.5924,742.796,1.9412,0.4728,0.9646,16.4477,36.7183,8.472954873274263,11.201103241623537,1.7941,AAA_E01 _CV.xlsx,AAA_E01 _CV.xlsx
AAA_E01_F02_CV,1160.0,23.12171299774606,59.7,4.0464,250.6,139.2274,222.6673,736.055,2.1296,0.4924,0.9443,16.945,36.1708,7.956893313298273,10.3499877840215,1.7715,AAA_E01 _CV.xlsx,AAA_E01 _CV.xlsx
AAA_E01_F03_CV,1161.0,24.07127598603658,57.3,4.8397,205.5,188.8746,233.5772,755.443,1.9193,0.462,1.0596,16.7773,38.6165,8.741364038972542,11.512591779317917,1.8806,AAA_E01 _CV.xlsx,AAA_E01 _CV.xlsx
AAA_E01_F04_CV,1162.0,26.47613657800415,59.7,4.9565,200.6,165.5344,249.2818,755.582,2.1204,0.5614,0.6775,19.3839,36.0243,9.141624221844936,12.433547145606157,1.9032,AAA_E01 _CV.xlsx,AAA_E01 _CV.xlsx
AAA_E01_F05_CV,1164.0,21.223817903161716,54.199999999999996,4.5549,219.9,182.7731,211.688,719.239,1.7617,0.3739,1.3597,14.1643,40.869,8.040131690980303,10.206297737426143,1.7566,AAA_E01 _CV.xlsx,AAA_E01 _CV.xlsx
AAA_E01_F06_CV,1165.0,22.80845556514236,58.4,4.3543,234.1,162.8582,223.6402,730.288,2.318,0.5287,1.0257,19.0727,38.1395,8.228084555651424,10.659308109316493,1.8123,AAA_E01 _CV.xlsx,AAA_E01 _CV.xlsx
AAA_E01_F07_CV,1166.0,22.72663649512434,57.8,4.1739,240.1,136.7076,221.486,757.597,2.1433,0.4871,1.0898,17.4728,37.9913,8.152288527037745,10.549933582900614,1.8702,AAA_E01 _CV.xlsx,AAA_E01 _CV.xlsx
AAA_E01_F08_CV,1167.0,22.259688669222598,56.5,4.4232,231.9,174.3713,218.9149,708.329,2.1649,0.4819,1.1502,17.7119,39.0653,8.181394059771815,10.52400475341652,1.7638,AAA_E01 _CV.xlsx,AAA_E01 _CV.xlsx
AAA_E02_F01_CV,1219.0,23.15439105573099,57.5,4.4538,229.1,173.682,222.2504,726.883,2.3434,0.5426,1.0721,20.1078,39.0517,8.580609370999403,11.166037316748113,1.8279,AAA_E02_CV.xlsx,AAA
AAA_E02_F02_CV,1220.0,25.420362158167038,59.6,4.4568,230.8,183.3848,234.7585,705.41,2.1648,0.5503,0.8068,19.0172,36.1943,8.784737620103472,11.77900278724063,1.7399,AAA_E02_CV.xlsx,AAA
