Sample Name,Unnamed: 1,Length,Tt.Ar,Ma.Ar,Ct.Mask,Ct.Ar_Tt.Ar,Ct.Ar,Ps.Pm,Ec.Pm,Po.Ar,Ct.Po,Ct.Th,J,Imax,Imin,Zmax,Zmin,Dmax,Dmin,App.D,Tiss.D,exp_name,gene_symbol,Apparent Density,Tissue Density,uCT #,Le
AAA_E02_F01_CF                            ,1052.0,14.9,1.6258,0.91087,0.71493,43.84303112313938,0.7128,4.425,3.383242527738935,0.0021299999999999653,0.2990000000000048,0.1708,0.30257,0.19472,0.10785,0.22059,0.16924,1.7654472097556553,1.2745213897423777,1138.3304,1208.3759,AAA_E02_CF_2.xlsx,AAA_E02_CF_2.xlsx,,,,
AAA_E02_F02_CF                            ,1053.0,14.8,1.60089,0.8765499999999999,0.72434,45.126148579852455,0.72242,4.359,3.318893213409635,0.0019200000000000328,0.2650000000000041,0.1784,0.29935,0.19371,0.10563,0.2172,0.1608,1.7837016574585633,1.3138059701492537,1140.6237,1208.6538,AAA_E02_CF_2.xlsx,AAA_E02_CF_2.xlsx,,,,
AAA_E02_F03_CF                            ,1054.0,14.9,1.60541,0.97361,0.6318,39.22487090525161,0.62972,4.448,3.4978199058622548,0.002080000000000082,0.32999999999999696,0.1493,0.26926,0.16841,0.10085,0.19502,0.15504,1.7271049123166855,1.3009545923632608,1115.3989,1192.3933,AAA_E02_CF_2.xlsx,AAA_E02_CF_2.xlsx,,,,
AAA_E02_F04_CF                            ,1055.0,15,1.65678,0.9670599999999999,0.68972,41.47382271635341,0.68713,4.5,3.4860341889204385,0.002589999999999981,0.3750000000000031,0.1633,0.30228,0.19512,0.10715,0.21979,0.17122,1.7755129896719595,1.2516061207802824,1126.5172,1198.0914,AAA_E02_CF_2.xlsx,AAA_E02_CF_2.xlsx,,,,
AAA_E02_F05_CF                            ,1057.0,15,1.61935,0.9452900000000001,0.67406,41.468490443696545,0.67152,4.434,3.4465728598199665,0.0025399999999999867,0.3770000000000051,0.1596,0.28572,0.17942,0.1063,0.20701,0.16586,1.733442828848848,1.2818039310261666,1122.6259,1191.9763,AAA_E02_CF_2.xlsx,AAA_E02_CF_2.xlsx,,,,
AAA_E03_F01_CF                            ,994.0,14.6,1.59617,0.9518900000000001,0.64428,40.23130368319163,0.64216,4.436,3.458583889990577,0.0021200000000000108,0.3290000000000015,0.155,0.27153,0.17173,0.09979,0.19566,0.15773,1.7553920065419604,1.2653268243200406,1117.2057,1190.4476,AAA_E03_CF_2.xlsx,AAA_E03_CF_2.xlsx,,,,
AAA_E03_F02_CF                            ,995.0,14.7,1.62223,0.9490200000000001,0.67321,41.356651029755334,0.6709,4.451,3.453366044953697,0.0023099999999999232,0.34399999999999986,0.1627,0.28787,0.18469,0.10317,0.20571,0.16052,1.7956346312770404,1.285447296287067,1121.2361,1192.1154,AAA_E03_CF_2.xlsx,AAA_E03_CF_2.xlsx,,,,
AAA_E03_F03_CF                            ,996.0,14.7,1.63884,0.9644900000000001,0.67435,41.06075028678821,0.67292,4.491,3.481398970793678,0.0014300000000000423,0.21200000000000108,0.1622,0.29427,0.19134,0.10292,0.2152,0.16752,1.7782527881040893,1.228748806112703,1126.8646,1197.9524,AAA_E03_CF_2.xlsx,AAA_E03_CF_2.xlsx,,,,
AAA_E03_F05_CF                            ,998.0,14.8,1.67412,0.96509,0.70903,42.185148018063224,0.70623,4.568,3.4824816749283687,0.0028000000000000247,0.3950000000000009,0.1631,0.30949,0.19682,0.11267,0.22204,0.17592,1.7728337236533958,1.2809231468849478,1126.1003,1193.5051,AAA_E03_CF_2.xlsx,AAA_E03_CF_2.xlsx,,,,
AAA_E03_F06_CF                            ,999.0,14.9,1.7248,0.9940000000000001,0.7308,42.24547773654916,0.72865,4.565,3.534256978584469,0.0021499999999999853,0.29400000000000537,0.1668,0.32821,0.2062,0.12201,0.23396,0.1905,1.7626944776884936,1.2809448818897637,1133.8832,1202.4692,AAA_E03_CF_2.xlsx,AAA_E03_CF_2.xlsx,,,,
AAA_E03_F07_CF                            ,1000.0,14.4,1.62706,0.9737399999999999,0.65332,40.04154733076838,0.6515,4.538,3.4980534189783463,0.0018200000000000438,0.2789999999999959,0.1519,0.29025,0.1948,0.09545,0.21116,0.15794,1.8450464103049822,1.2086868431049764,1122.6953,1194.478,AAA_E03_CF_2.xlsx,AAA_E03_CF_2.xlsx,,,,
AAA_E03_F08_CF                            ,1001.0,15,1.67082,0.95623,0.71459,42.616200428532096,0.71204,4.527,3.4664593712560183,0.002549999999999941,0.3569999999999962,0.1699,0.31722,0.21118,0.10604,0.2296,0.17388,1.8395470383275263,1.2196917414308717,1128.1849,1196.4237,AAA_E03_CF_2.xlsx,AAA_E03_CF_2.xlsx,,,,
AAA_E04_F01_CF                            ,1013.0,14.9,1.69698,1.02114,0.67584,39.685205482681,0.67345,4.57,3.582181414884892,0.0023900000000000032,0.35399999999999876,0.1566,0.30553,0.19633,0.1092,0.21834,0.17186,1.7983878354859393,1.2708018154311649,1123.2512,1195.7982,AAA_E04_CF_2.xlsx,AAA_E04_CF_2.xlsx,,,,
