Bone type,Bone #,R_BS,G_BS,R_G,Ronly_BS,Gonly_BS,sLS_BS,dLS_BS,LS_BS,R_LS,G_LS,MS_BS,sLS_LS,dLS_LS,dLS_sLS,MAR,BFR,BV_TV,Tb.Th,Tb.N,Tb.Sp,AP_BS,AP_R_BS,AP_G_BS,AP_RG_BS,AP_R_RG_BS,AP_L_BS,AP_NL_BS,AP_L_AP,AP_NL_AP,AP_R_R,AP_G_G,AP_RG_RG,AP_R_RG_R,AP_TRAP_BS,TRAP_BS,TRAP_L_BS,TRAP_NL_BS,AP_TRAP_R_RG_BS,TRAP_on_TRAP,TRAP_L_TRAP_on,TRAP_NL_TRAP_on,GFP_BS,GFP_R_BS,GFPonly_BS,Height_Width,Osteocytes_Density,Cortex_Width,AC_Intensity,RedBeads_Intensity,AC_RedBeads,AC_BR_Intensity,AC_BR_RedBeads,Calcein_Intensity,GreenBeads_Intensity,Calcein_GreenBeads,exp_name,gene_symbol,AP_Intensity,TRAP_Intensity,AP_Background_Intensity,TRAP_Background_Intensity
Female,AAA_E26_hF_F_s1,40.61867469,30.12208999,140.7312914,26.69055982,14.86726588,41.78306051,13.92811486,55.71117537,72.97263662,52.01285672,34.81964512,75.01450667,24.98549333,33.31220452,2.889828521,1.035358076,10.7662736,33.09947755,3.252701975,274.3372343,53.9978746,15.45237236,6.442489837,9.531721888,24.98409424,30.91921314,17.1771322,64.62439633,35.37560367,38.01897138,21.13000044,67.86083009,61.44418205,10.11176983,14.8832445,8.247842102,5.888844242,3.315013004,90.36452522,58.47274365,41.52725635,,,,0.963732954,604.4632362,724.2015274,106.6666667,237.6666667,0.448867971,58,0.244068989,143.5,231,0.62237395,AAA_E26F.xls,AAA_E26,,,,
,AAA_E26_hF_F_s2,41.37245249,27.05923231,163.0896488,28.07026525,13.13629973,40.18398389,13.30218724,53.48617113,77.46457786,47.50407924,33.39417919,75.0313429,24.9686571,33.33039862,3.57635666,1.09250048,8.744212423,30.45486324,2.879227454,317.448625,57.19315105,18.93694618,6.87569954,10.41362405,29.35057023,35.80059935,22.68890572,60.95499299,39.04500701,45.61274464,25.08280084,78.25701035,70.76017924,7.943770835,12.85637706,8.645533141,4.416002712,4.610951009,86.3483604,66.1907852,33.8092148,,,,1.01492509,601.0179641,630.2426692,100,240.6666667,0.415487485,59,0.245193307,169,228.6666667,0.733163938,AAA_E26F.xls,AAA_E26,,,,
,AAA_E26_hF_F_s3,41.88987107,25.09525359,166.9937238,29.79566088,13.0010434,42.79670428,12.09421019,54.89091447,76.35067689,45.71987429,33.49256233,77.92944881,22.07055119,28.3524071,3.490133388,1.169404904,6.464494584,27.55330165,2.502443832,373.2905685,63.99346209,20.63706734,8.111882162,9.33532534,29.97239268,38.08427484,25.90918725,59.47417774,40.52582226,49.22680358,32.2326753,77.17195389,71.49253392,10.64966973,13.68509487,7.422854076,6.262240797,3.673669743,84.91567556,52.83984691,47.16015309,,,,1.021508796,596.0956389,627.3118761,105.6666667,237.6666667,0.44458886,67.33333333,0.283082584,186,231,0.805425579,AAA_E26F.xls,AAA_E26,,,,
,AAA_E26_hF_F_s4,38.7857713,20.7849049,186.6420542,28.56408064,10.56321424,39.12729488,10.22169066,49.34898554,78.60746355,42.11694896,29.7853381,79.27558749,20.72441251,26.17985233,3.149385613,0.937118618,6.884377247,29.526549,2.347444143,397.6139986,67.1365572,21.13036195,6.966181175,7.970823046,29.101185,36.06736617,31.06919103,53.6221758,46.3778242,54.93220826,33.66417595,81.30680631,75.65369695,10.63239863,12.63240167,5.314480777,7.317920892,3.367096158,83.29577523,42.31285142,57.68714858,,,,1.031638531,910.4774596,477.431704,96.66666667,233.6666667,0.41423594,62.33333333,0.267045122,158,232.3333333,0.692982456,AAA_E26F.xls,AAA_E26,,,,
,AAA_E26_hF_F_s5,41.7191371,25.79044621,159.860365,28.1916806,12.28351539,40.89547426,13.52745649,54.42293075,76.64556235,48.24703596,33.97519362,75.10740169,24.89259831,33.31360919,3.018475047,0.971747236,7.574386119,27.24016058,2.793343604,335.9467245,65.19890607,19.96950292,6.360613862,11.53337766,31.50288058,37.80105089,25.81602674,59.36562632,40.63437368,47.88557923,24.64845854,84.72704594,75.6577838,14.01447017,15.90159627,8.000926697,7.900669568,4.660304899,86.32875177,50.28103176,49.71896824,,,,1.47337745,645.9930153,532.6623689,107.3333333,238.3333333,0.450197225,67.33333333,0.282341476,156.6666667,227,0.690425999,AAA_E26F.xls,AAA_E26,,,,
,AAA_E26_hF_F_s6,41.52543031,24.27803078,171.7397245,30.19606738,12.94866786,43.14473523,11.32936293,54.47409816,76.19855521,44.5999975,32.90173055,79.20144729,20.79855271,26.32268323,3.024393741,0.994439698,8.967389928,34.36437393,2.637117204,349.6047776,63.92757809,22.87444503,6.958850647,9.237745461,32.11219049,39.07104114,24.85653695,61.12252547,38.87747453,55.02191932,28.58921722,81.57843842,77.23063648,11.89270783,13.08380548,6.823268762,6.260536722,3.511664204,82.57016761,52.22974017,47.77025983,,,,1.036951731,513.8746598,634.0824829,90,242.3333333,0.37037037,59,0.242798354,140,224.3333333,0.638259227,AAA_E26F.xls,AAA_E26,,,,
,AAA_E26_hF_F_s7,40.90085055,24.78200306,165.4819912,29.35879658,13.23994909,42.59874566,11.54205397,54.14079964,75.53847795,45.72826547,32.8414268,78.73325658,21.26674342,27.0482763,2.648892427,0.86640267,8.23119885,32.36119095,2.541280668,368.5413267,63.22097745,22.62059164,6.9796502,9.136732182,31.75732382,38.73697402,24.48400343,61.31192934,38.68807066,55.07007295,27.87560001,78.01263108,77.1626088,13.17048886,16.56501387,8.479666991,8.085346879,4.734928597,88.03027657,51.63678223,48.36321777,,,,1.298287385,696.7097716,605.9429146,94.5,239.3333333,0.398717949,65,0.274038462,149,234.6666667,0.635210518,AAA_E26F.xls,AAA_E26,,,,
,AAA_E26_hF_F_s8,43.9657113,,,27.18553599,,,,,,,,,,,2.405999797,,11.6543122,40.07010791,3.016418929,293.5582737,57.83311107,18.6731313,,,,,,,,42.32640462,,,,7.126092088,11.76768125,,,,86.28158117,,,,,,1.635306945,723.2111523,514.3808879,101,238.6666667,0.423377717,62,0.259688376,173,231.6666667,0.746826764,AAA_E26F.xls,AAA_E26,,,,
Female,AAA_E27_hF_F_s1,32.78937345,11.87741313,276.4601662,28.91482817,7.257681789,35.45407014,4.619731338,40.07380148,81.78895228,29.66756588,22.34676641,88.54348184,11.45651816,13.03647909,1.317721412,0.296466049,4.296583271,33.00688263,1.155996695,827.8865945,60.38906785,20.36179574,4.989140927,3.560770592,24.0425917,29.03173263,32.35842986,47.27869422,52.72130578,62.05332455,37.11558855,91.33718134,73.14964161,20.7486271,30.06716538,11.71714125,18.35002413,6.402630309,54.54741964,38.88760145,61.11239855,,,,1.332373701,461.6446062,540.2574678,66.5,244.3333333,0.272022416,55,0.224974908,124.6666667,237,0.526502296,AAA_E27F.xls,AAA_E27,,,,
,AAA_E27_hF_F_s2,37.62704687,14.11329547,277.7381245,30.29994843,5.874804203,36.71543602,7.327098432,44.04253445,85.48025203,31.0860431,25.68481644,83.43370488,16.56629512,19.90758832,1.654385429,0.361418328,5.915627942,48.93127779,1.199448799,824.5198958,59.90381721,22.48916193,3.965390138,5.096370123,27.58553206,32.00169396,27.37369978,53.89687211,46.10312789,59.92329631,26.9614219,79.87209546,73.38077588,25.06277784,33.98407404,16.56304978,16.2474159,10.66108703,67.64204824,50.46710243,49.53289757,,,,0.928623509,506.5357588,481.3746439,66.33333333,243.3333333,0.27270173,48.66666667,0.200037134,115,237.6666667,0.48379977,AAA_E27F.xls,AAA_E27,,,,
