Bone type,Bone #,R_BS,G_BS,R_G,Ronly_BS,Gonly_BS,sLS_BS,dLS_BS,LS_BS,R_LS,G_LS,MS_BS,sLS_LS,dLS_LS,dLS_sLS,MAR,BFR,BV_TV,Tb.Th,Tb.N,Tb.Sp,AP_BS,AP_R_BS,AP_G_BS,AP_RG_BS,AP_R_RG_BS,AP_L_BS,AP_NL_BS,AP_L_AP,AP_NL_AP,AP_R_R,AP_G_G,AP_RG_RG,AP_R_RG_R,AP_TRAP_BS,TRAP_BS,TRAP_L_BS,TRAP_NL_BS,AP_TRAP_R_RG_BS,TRAP_on_TRAP,TRAP_L_TRAP_on,TRAP_NL_TRAP_on,GFP_BS,GFP_R_BS,GFPonly_BS,Height_Width,Osteocytes_Density,Cortex_Width,AC_Intensity,RedBeads_Intensity,AC_RedBeads,AC_BR_Intensity,AC_BR_RedBeads,Calcein_Intensity,GreenBeads_Intensity,Calcein_GreenBeads,exp_name,gene_symbol,AP_Intensity,TRAP_Intensity,AP_Background_Intensity,TRAP_Background_Intensity
Female,AAA_E26_hV_F_s1,61.99256305,28.36986217,219.3577817,41.98943448,8.366733595,50.35616807,20.00312857,70.35929665,88.1132147,40.31063771,45.18121261,71.57614758,28.42385242,39.79290938,1.82916737,0.827996481,22.4703343,37.54073216,6.003100475,129.2232923,87.4191347,38.36654189,6.881977305,18.97717058,57.34371247,64.22568977,23.19344493,73.46336207,26.53663793,61.88890857,24.22514604,94.6975102,92.50409746,18.16609114,15.66695838,10.93181928,4.735139101,9.388495862,81.55983495,69.66141264,30.33858736,,,,2.607333201,1595.875839,155.4105421,43.66666667,244,0.178963722,29,0.118859366,85,237.3333333,0.358362888,AAA_E26V.xls,AAA_E26,,,,
,AAA_E26_hV_F_s2,61.78643891,37.19919367,163.043541,38.24655335,14.51342014,52.51100693,22.68577353,75.19678046,80.67435072,49.49313622,48.941277,69.83251306,30.16748694,43.19979487,2.079454357,1.032516511,21.95236288,37.27120342,5.891931959,132.472242,89.73952489,35.76277831,12.97118943,20.84487742,55.76267437,68.7338638,19.59312989,77.87834867,22.12165133,57.90637351,34.89053608,92.05677092,92.03371112,18.01216411,14.9547035,11.06557202,3.88913148,8.654241711,93.13875622,76.05327221,23.94672779,,,,2.49462506,925.728156,84.56610157,44.33333333,244,0.18167763,29.66666667,0.12156069,117.6666667,237.6666667,0.495393699,AAA_E26V.xls,AAA_E26,,,,
,AAA_E26_hV_F_s3,58.96664879,26.33002572,224.5373863,40.2477157,7.611092633,47.85880834,18.71893309,66.57774143,88.55693924,39.50914288,42.64833726,71.93391788,28.06608212,39.11295203,1.835926887,0.78667822,21.33766432,34.72299514,5.627775567,142.9671043,82.01739853,35.47440681,5.77980673,16.82936446,52.30377127,58.083578,23.93382053,70.74421106,29.25578894,60.13598734,21.97974527,89.56922881,88.58167598,12.45962738,13.60773512,9.210262901,4.397472217,7.511284534,86.1286743,69.3654762,30.6345238,,,,2.564170107,1068.516906,124.0502329,46.66666667,242.3333333,0.192585565,30,0.123796915,113,237.3333333,0.476271577,AAA_E26V.xls,AAA_E26,,,,
,AAA_E26_hV_F_s4,59.80982121,36.06680383,165.9888411,36.20277965,12.45976226,48.66254191,23.60704157,72.26958348,82.7526316,49.88214262,47.93831252,67.36522578,32.63477422,48.54003492,1.895830856,0.909137289,19.47803783,32.37414347,6.088171855,133.8363886,91.28941098,34.57807403,10.90364529,23.19672488,57.77479891,68.6784442,22.61096678,75.23265418,24.76734582,57.35072476,29.9578342,95.98385949,95.74633677,8.359277682,8.074632212,5.498444891,2.576187321,4.552400821,86.91404737,68.21558692,31.78441308,,,,2.424534643,901.0535833,158.4881359,44.66666667,242,0.184567901,29.66666667,0.122599451,121.3333333,238,0.509650756,AAA_E26V.xls,AAA_E26,,,,
,AAA_E26_hV_F_s5,61.32109118,33.2131195,201.4954486,43.46921582,8.935458167,50.23018415,21.29203363,71.52221777,86.72776884,43.04204856,46.4071257,70.23018261,29.76981739,42.3889221,2.091589065,1.123782811,20.61020819,37.99174129,6.122489232,129.6691408,89.00174963,41.43420093,8.106485188,20.49139311,58.84207366,66.94855885,22.78823058,74.60547594,25.39452406,67.6363805,26.33289987,96.23971798,94.86124556,13.29337463,12.25351938,9.167333867,4.043234588,7.756204964,91.11542993,69.39393939,30.60606061,,,,2.479064751,1042.525271,142.6782022,50,241,0.20661157,32,0.132231405,102.3333333,229.3333333,0.446848042,AAA_E26V.xls,AAA_E26,,,,
,AAA_E26_hV_F_s6,58.34969808,28.18157318,208.881902,39.25031359,9.082188689,48.33250228,19.09938449,67.43188677,86.56482973,41.70803882,43.26563563,71.72713145,28.27286855,39.51923521,1.998014712,0.863335864,18.02795203,34.88357992,5.17881807,158.4021077,89.88334757,37.37214262,7.843982469,18.44190586,55.81404848,63.65803095,26.22531661,70.84456955,29.15543045,64.09172437,27.76426798,96.62638674,95.65159291,16.31328832,16.57330891,11.35555881,5.217750108,9.762738177,90.10319513,68.3121177,31.6878823,,,,2.494278794,1878.973237,127.974784,42,243.6666667,0.172369195,27.33333333,0.112169312,81.33333333,237.6666667,0.342213513,AAA_E26V.xls,AAA_E26,,,,
,AAA_E26_hV_F_s7,59.81048554,31.28732962,191.696362,39.30571792,10.78256201,50.08827993,20.50476762,70.59304755,84.63292207,44.22119902,45.54890758,71.14587891,28.85412109,41.20032124,1.919093819,0.802056748,18.88686659,33.294645,5.696142291,142.4800259,89.02779122,36.37750579,8.601324611,19.40648543,55.78399122,64.38531583,24.64247539,72.3518825,27.6481175,61.24982828,28.06240932,94.83392496,93.41446253,12.4885471,15.53033812,8.095694636,4.576985201,6.391836725,84.63703204,65.54668194,34.45331806,,,,2.503851694,1449.28773,104.2465521,46,244.3333333,0.188994771,31,0.127365492,82.66666667,239.3333333,0.345487246,AAA_E26V.xls,AAA_E26,,,,
,AAA_E26_hV_F_s8,60.67134644,31.05779831,195.8468129,39.13532897,9.521780837,48.65710981,21.53601747,70.19312728,86.48433165,44.20341981,45.86457238,69.31224854,30.68775146,44.27553918,2.191464384,0.939734882,19.55699617,34.18507621,5.729773934,140.399595,87.28009153,37.55685325,8.645073407,21.15452667,58.71137992,67.35645333,22.8258073,74.66184478,25.33815522,61.90260551,27.72294226,98.23595333,96.76427726,14.94244771,15.6551109,11.27524656,4.738850635,9.662841123,84.46894691,72.87211246,27.12788754,,,,2.633347118,1611.836918,166.7596467,41,243,0.168658228,30,0.123415486,96,236.3333333,0.406606467,AAA_E26V.xls,AAA_E26,,,,
Female,AAA_E27_hV_F_s1,59.40432471,25.58210776,233.7388277,41.6230567,7.800839751,49.42389646,17.78126801,67.20516446,88.3766888,37.93308043,42.49321623,73.69023077,26.30976923,35.84291376,1.505223172,0.64611515,16.50056133,56.40360507,2.943488057,285.3848167,85.26968975,37.79893086,6.467209965,16.75210051,54.55103138,61.01824134,24.2514484,71.45609509,28.54390491,63.69530261,25.39705173,94.06085636,91.71370921,13.7444463,14.61224542,8.884256184,5.727989238,7.256322361,83.66703554,60.96201394,39.03798606,,,,2.480551258,1497.933757,94.00169554,48.5,242.6666667,0.199224152,33.5,0.137594873,93,238.3333333,0.388319386,AAA_E27V.xls,AAA_E27,,,,
,AAA_E27_hV_F_s2,56.60605568,26.30241495,214.7778783,39.86884112,9.565200388,49.43404151,16.73721456,66.17125607,85.41840108,39.82909425,41.45423532,74.75250468,25.24749532,33.78552678,1.221742033,0.530473147,17.58881525,49.94592263,3.541082675,232.9916351,87.21976831,40.45753813,7.696474706,17.56396366,58.02150179,65.7179765,21.50179182,75.34757059,24.65242941,65.54820416,28.13404417,95.79545455,94.00486092,18.51820985,18.6759248,14.14974388,6.231217305,12.34686224,86.79043138,69.76920611,30.23079389,,,,2.927354869,1448.900782,67.91438238,46,243.6666667,0.188798736,31.33333333,0.128586866,85,238,0.357168079,AAA_E27V.xls,AAA_E27,,,,
,AAA_E27_hV_F_s3,58.99984945,22.86714771,269.7215777,46.15763708,7.528650255,53.86778438,15.33849745,69.20628183,89.12143514,33.04201165,42.27238964,77.8365532,22.1634468,28.47434256,1.157735858,0.637644723,19.42478866,55.78317687,3.488395654,231.0354555,88.20197895,43.82849689,6.122665535,14.38879457,58.18123939,64.30390492,24.06621392,72.76657061,27.23342939,74.34642849,26.774942,93.80837081,94.3311828,20.83245265,15.03862984,11.7200764,4.196731749,10.26634126,90.4208649,73.63333333,26.36666667,,,,2.975840678,1541.680151,144.2640755,45.33333333,244.6666667,0.185296086,29,0.118529051,89,236,0.388646288,AAA_E27V.xls,AAA_E27,,,,
,AAA_E27_hV_F_s4,59.18898782,26.58957942,225.4421461,42.06363252,9.464224123,51.52785665,17.1253553,68.65321195,86.212989,38.73877242,42.88928362,75.04823858,24.95176142,33.35359072,1.090107526,0.467445923,20.18252877,,,,89.09521877,39.69856754,7.768685371,16.26502916,55.96359671,63.73228208,25.3629367,71.52501843,28.47498157,66.9788374,29.34896995,95.10108336,94.51230168,19.72957324,19.99304462,13.68040205,6.312642573,11.53726053,86.61722062,68.30516373,31.69483627,,,,2.845579389,1730.501905,122.346364,48.5,238.6666667,0.203398622,29.5,0.123725297,92.66666667,231.6666667,0.400385927,AAA_E27V.xls,AAA_E27,,,,
,AAA_E27_hV_F_s5,60.57258598,29.01336801,210.0977058,41.41069295,9.327925578,51.1500811,19.16189303,70.31197414,86.13328791,41.12815582,44.73693358,72.73855627,27.26144373,37.49332406,1.277010739,0.567994279,20.72188607,69.33977233,3.005770286,264.9948471,90.34984934,39.70702843,8.162687216,18.58019353,58.28722197,66.63775762,23.47928923,73.96029466,26.03970534,65.5330353,28.07928461,96.95128438,96.24892122,16.75422441,17.11387094,13.30534211,5.255882291,11.30565108,91.86962823,71.299983,28.700017,,,,3.081444697,1745.330638,110.1732757,50,242.3333333,0.206319121,30.66666667,0.126553171,82.66666667,235.8333333,0.350576744,AAA_E27V.xls,AAA_E27,,,,
,AAA_E27_hV_F_s6,54.76978987,28.16906225,194.8231804,38.71431886,12.11359125,50.82791011,16.05547101,66.88338112,81.89170576,42.10050521,41.46942606,76.00778903,23.99221097,31.5953114,1.288223979,0.535987296,17.77818493,54.30418349,3.272176976,251.3920531,86.62053907,36.13762426,10.17523475,15.48187349,51.61949775,61.7947325,24.82580657,71.34393917,28.65606083,66.00103359,36.08720224,96.32318049,94.25967625,20.38109422,20.78352687,14.75630136,6.027225511,11.68588084,93.26804513,70.81996216,29.18003784,,,,,1768.530298,146.6287043,44.5,242.3333333,0.183473913,28.5,0.117517516,93,234.6666667,0.396100258,AAA_E27V.xls,AAA_E27,,,,
,AAA_E27_hV_F_s7,56.62658446,30.59588475,185.2192371,36.65357295,10.62287324,47.2764462,19.9730115,67.2494577,84.18863793,45.47556522,43.6112346,70.33579685,29.66420315,42.29454784,0.945905058,0.412416556,20.5302812,70.62648318,3.043791445,261.1485417,87.0821774,34.13906756,8.781061462,20.04012736,54.17919492,62.96025638,24.12192102,72.28218233,27.71781767,59.00533501,27.74884166,94.47313803,93.67612335,27.92763141,20.71125152,14.10642039,6.604831135,14.56626955,86.14507435,68.83830235,31.16169765,,,,2.942304946,1354.463441,122.0173558,47.33333333,244.6666667,0.193437047,30,0.122605108,92,237.3333333,0.387607068,AAA_E27V.xls,AAA_E27,,,,
,AAA_E27_hV_F_s8,55.18672344,25.44242692,207.5607689,39.84866854,11.17899385,51.15524001,15.3380549,66.49329491,82.99614105,40.07420553,40.9156749,76.92965342,23.07034658,30.08082132,1.009147449,0.441303024,18.10481864,66.89864503,2.717258811,302.2940267,89.34574804,38.18235464,9.768131296,14.83837589,53.02073053,62.92469193,27.27743376,69.76807022,30.23192978,69.18766298,38.53887015,96.67025255,96.075137,19.6792254,19.99001564,15.85052834,8.880623844,12.5538278,91.5933511,63.94431165,36.05568835,,,,2.786426918,1542.658201,120.0221321,46.33333333,241.6666667,0.191616746,29.33333333,0.121338545,90.66666667,234.6666667,0.386470015,AAA_E27V.xls,AAA_E27,,,,
Female,AAA_E28_hV_F_s1,47.92372145,25.32131062,173.0363941,32.72600251,12.46186232,45.16505316,15.19771894,60.36277211,79.13884917,45.71635999,37.78024552,75.14479083,24.85520917,33.47430973,1.364042559,0.489599694,19.99605248,54.4274616,3.92667105,204.2327112,88.81254672,31.95527336,11.88824793,14.3761903,46.33146366,58.64582716,33.53440963,63.67959255,36.32040745,67.19218738,47.10686272,97.09526892,96.71361834,27.29805312,27.74115866,14.49131489,12.74793615,10.56422822,86.60080824,54.92061061,45.07938939,,,,2.857797457,1359.5969,140.6906515,35.33333333,244.6666667,0.144451879,21.66666667,0.088569198,87.33333333,237.6666667,0.368170462,AAA_E28V.xls,AAA_E28,83.33333333,173,,
,AAA_E28_hV_F_s2,48.38697251,24.32673468,198.0422016,34.56425392,10.50401609,45.06827002,13.82271858,58.8909886,81.80504391,41.30650128,36.35685359,76.8884548,23.1115452,30.21436125,1.190503315,0.415141428,16.43657243,51.84782128,3.334061004,249.5348687,88.6015031,33.73418114,10.08348217,13.12424639,46.85842753,56.9419097,33.12975975,62.96216324,37.03783676,69.94738595,41.315741,96.23640981,96.50256867,27.99106777,28.35543053,14.27713955,12.63201658,10.8999709,85.27385698,54.52025673,45.47974327,,,,2.744888212,1366.123986,132.7892424,39.33333333,244.6666667,0.160795138,25.66666667,0.104918033,76,237.5,0.31990752,AAA_E28V.xls,AAA_E28,84.66666667,178,,
,AAA_E28_hV_F_s3,41.74898699,,,34.27194282,,,,,,,,,,,1.171474139,,17.70559464,49.04197527,3.610293946,227.9437812,,,,,,,,,,,,,,,20.64101332,,,,80.06575457,,,,,,2.793965243,1486.078068,112.5638689,43,239.6666667,0.179794985,25,0.10447041,75.66666667,235.3333333,0.321836484,AAA_E28V.xls,AAA_E28,79.66666667,173.5,,
