Sample_Name,Sample Number,BV/TV,Tb.Th,Tb.N,Tb.Sp,Conn.D,App.D,Tiss.D,TV,BV,SMI,BS,BS/BV,BS/TV,BS/MV,DA,exp_name,gene_symbol
AAA_E01_M01_CV,1169.0,26.005336828800154,57.2,5.6306,173.2,193.5788,254.424,757.806,2.1361,0.5555,1.3041,20.9819,40.1823,9.82252703525116,13.274642540807289,1.8763,AAA_E01 _CV.xlsx,AAA_E01 _CV.xlsx
AAA_E01_M02_CV,1170.0,31.246648793565683,63.70000000000001,5.5496,172.3,183.6473,289.3077,792.759,2.238,0.6993,0.8298,22.7922,33.984,10.184182305630028,14.812634041723534,2.0824,AAA_E01 _CV.xlsx,AAA_E01 _CV.xlsx
AAA_E01_M03_CV,1171.0,30.61085355876738,67.5,5.2025,182.29999999999998,165.4364,278.6759,795.955,2.2002,0.6735,0.8333,21.0506,32.4933,9.56758476502136,13.788301565468,1.957,AAA_E01 _CV.xlsx,AAA_E01 _CV.xlsx
AAA_E01_M04_CV,1172.0,30.88757997359601,65.4,5.566,174.2,176.196,289.4467,820.624,1.9694,0.6083,0.8455,19.6795,33.6748,9.992637351477608,14.458526192050549,2.0131,AAA_E01 _CV.xlsx,AAA_E01 _CV.xlsx
AAA_E01_M05_CV,1174.0,26.05227512165755,59.1,5.3323,184,177.843,252.6173,793.662,1.9933,0.5193,1.2973,18.5861,37.8742,9.324286359303667,12.609294436906374,1.8143,AAA_E01 _CV.xlsx,AAA_E01 _CV.xlsx
AAA_E01_M06_CV,1175.0,20.55822022655373,49.8,5.1422,189.4,197.7245,212.4524,754.539,1.9598,0.4029,1.5128,17.2953,46.6266,8.825033166649659,11.108805960562657,1.8287,AAA_E01 _CV.xlsx,AAA_E01 _CV.xlsx
AAA_E01_M07_CV,1176.0,23.77554955649827,53.699999999999996,5.4796,174.3,229.8274,237.6076,731.191,2.0744,0.4932,1.5065,20.0534,43.8607,9.667084458156577,12.682393119150015,1.6967,AAA_E01 _CV.xlsx,AAA_E01 _CV.xlsx
AAA_E01_M08_CV,1177.0,21.659341157279442,50.1,5.3562,183.5,209.1125,222.6673,739.738,2.2069,0.478,1.517,20.3285,46.1629,9.21133716978567,11.758054254150036,1.8333,AAA_E01 _CV.xlsx,AAA_E01 _CV.xlsx
AAA_E02_M01_CV,1225.0,21.705391382810742,51.4,5.3609,184.10000000000002,205.9533,224.2656,732.511,2.2165,0.4811,1.6013,20.4067,46.0015,9.206722309948118,11.759075717413854,1.8053,AAA_E02_CV.xlsx,AAA
AAA_E02_M02_CV,1226.0,24.267021512530494,52.3,5.2817,184.70000000000002,225.1024,235.106,732.511,2.2545,0.5471,1.1959,22.3694,43.4993,9.922111332889775,13.101440787161764,1.8438,AAA_E02_CV.xlsx,AAA
AAA_E02_M03_Cv,1227.0,20.482181175579587,50.5,5.1089,190.89999999999998,194.5955,209.8118,736.681,2.3767,0.4868,1.5601,21.003,46.5879,8.83704295872428,11.113286417270755,1.7652,AAA_E02_CV.xlsx,AAA
AAA_E03_M01_CV,1209.0,22.85747874132999,57.9,4.2064,240,166.4463,220.2352,757.319,2.5519,0.5833,1.0527,21.6283,38.8816,8.475371291978526,10.986640251955706,1.8066,AAA_E03_CV.xlsx,AAA_E03_CV.xlsx
AAA_E03_M02_CV,1210.0,25.760293355653868,60.6,4.4111,231.5,185.3385,239.8312,743.977,2.5089,0.6463,0.8844,23.0256,37.037,9.17756785842401,12.362074519488887,1.6991,AAA_E03_CV.xlsx,AAA_E03_CV.xlsx
AAA_E03_M03_CV,1211.0,24.46771680803185,57.5,4.4935,223,184.7861,234.689,737.515,2.3108,0.5654,1.0293,20.9681,38.9925,9.073957071144193,12.013349375501317,1.7464,AAA_E03_CV.xlsx,AAA_E03_CV.xlsx
AAA_E03_M04_CV,1212.0,22.027649769585253,56.099999999999994,4.5812,220.29999999999998,159.4443,219.2623,743.352,2.17,0.478,1.2573,17.8081,39.8018,8.206497695852535,10.524881796690307,1.7962,AAA_E03_CV.xlsx,AAA_E03_CV.xlsx
AAA_E03_M05_CV,1214.0,23.006021875384047,57.2,4.2937,235.1,153.2098,222.2504,740.572,2.4411,0.5616,0.9633,20.7661,38.8219,8.506861660726722,11.048736366054802,1.8018,AAA_E03_CV.xlsx,AAA_E03_CV.xlsx
AAA_E03_M06_CV,1215.0,22.037012731329575,57.4,4.4048,228.9,155.7527,215.4404,725.632,2.2857,0.5037,1.191,18.7998,39.5599,8.224963906024414,10.549831649831651,1.7103,AAA_E03_CV.xlsx,AAA_E03_CV.xlsx
AAA_E03_M07_CV,1216.0,22.839700139156978,57,4.287,232.6,155.3206,215.5794,753.914,2.2277,0.5088,1.17,18.9894,39.5005,8.52421780311532,11.047414043865261,1.7671,AAA_E03_CV.xlsx,AAA_E03_CV.xlsx
AAA_E03_M08_CV,1217.0,22.57054635903594,58.5,3.9154,255.5,146.8835,212.5219,745.992,2.3318,0.5263,1.1306,18.8624,37.8024,8.089201475255168,10.447189144281364,1.7312,AAA_E03_CV.xlsx,AAA_E03_CV.xlsx
