Bone type,Bone #,R_BS,G_BS,R_G,Ronly_BS,Gonly_BS,sLS_BS,dLS_BS,LS_BS,R_LS,G_LS,MS_BS,sLS_LS,dLS_LS,dLS_sLS,MAR,BFR,BV_TV,Tb.Th,Tb.N,Tb.Sp,AP_BS,AP_R_BS,AP_G_BS,AP_RG_BS,AP_R_RG_BS,AP_L_BS,AP_NL_BS,AP_L_AP,AP_NL_AP,AP_R_R,AP_G_G,AP_RG_RG,AP_R_RG_R,AP_TRAP_BS,TRAP_BS,TRAP_L_BS,TRAP_NL_BS,AP_TRAP_R_RG_BS,TRAP_on_TRAP,TRAP_L_TRAP_on,TRAP_NL_TRAP_on,GFP_BS,GFP_R_BS,GFPonly_BS,Height_Width,Osteocytes_Density,Cortex_Width,AC_Intensity,RedBeads_Intensity,AC_RedBeads,AC_BR_Intensity,AC_BR_RedBeads,Calcein_Intensity,GreenBeads_Intensity,Calcein_GreenBeads,exp_name,gene_symbol,AP_Intensity,TRAP_Intensity,AP_Background_Intensity,TRAP_Background_Intensity
Male,AAA_E26_hF_M_s1,23.45608722,30.52228561,76.92981728,15.93557355,23.00177194,38.93734549,7.520513669,46.45785916,50.44823417,65.68479174,26.98918641,83.86697409,16.13302591,19.4137486,2.114829365,0.578466926,23.71399089,58.04656798,4.119246877,186.3295808,51.94271957,10.10466086,12.75257811,5.431692679,15.53635354,28.28893165,23.65378792,54.22532511,45.77467489,43.0669392,42.21819333,72.74952867,65.88788208,9.831568112,16.67692981,7.073237636,9.603692175,2.876578625,93.61817706,42.67370116,57.32629884,,,,0.913609583,529.7355638,649.817007,80.66666667,241.6666667,0.333794375,44,0.182071729,109.6666667,235,0.467099011,AAA_E26F.xls,AAA_E26,,,,
,AAA_E26_hF_M_s2,23.4383584,26.97625307,86.81432466,17.21252673,20.7504214,37.96294813,6.22583167,44.1887798,53.01820968,61.05630223,25.20730574,85.92548809,14.07451191,16.52046286,1.84712638,0.464887611,17.68130325,45.59206267,3.91159331,210.8464506,46.94663949,10.36596603,10.69050368,4.416911808,14.78287784,25.47338152,21.47325797,53.81454942,46.18545058,44.14627808,39.40568616,70.19273706,62.67885016,7.789737283,12.60651175,5.277019672,7.329492079,2.306250701,86.96804453,41.88398324,58.11601676,,,,1.30264909,699.6291833,483.1417204,79.5,243.3333333,0.325858362,44.5,0.182406101,90,238.3333333,0.377599197,AAA_E26F.xls,AAA_E26,,,,
,AAA_E26_hF_M_s3,23.45076654,26.97020243,88.47208956,16.49017791,20.14350281,36.04084306,6.960588634,43.00143169,54.5391912,61.64893869,24.98101016,83.81187011,16.18812989,19.31506103,2.37978987,0.646073741,21.13499592,47.69860456,4.412204366,181.7322143,51.21346062,11.43596932,11.23806483,5.390188553,16.82615787,29.74427845,30.58076826,49.29951814,50.70048186,48.77024493,41.92434847,77.45475699,71.75989128,7.719516651,12.4323148,4.527768331,6.583379618,2.376704232,88.95652154,40.83427647,59.16572353,,,,0.852548486,,676.8614913,66,241,0.273897768,35.33333333,0.146634524,98.33333333,234.3333333,0.419531525,AAA_E26F.xls,AAA_E26,,,,
,AAA_E26_hF_M_s4,34.50560367,27.23095599,126.9039706,21.43483279,14.16018511,35.5950179,13.07077088,48.66578878,70.95077525,55.9675284,30.86827983,73.08169634,26.91830366,37.05603934,1.940381003,0.597756304,,34.69794193,,,45.81749854,12.20011804,7.038113582,9.760658783,21.96077682,28.9988904,16.81860813,63.29216306,36.70783694,35.36004044,25.30602069,70.31615178,63.62470137,5.472740181,11.1844611,5.393427025,5.791034072,2.044111679,79.39801189,47.57070478,52.42929522,,,,1.316371891,595.6521072,378.8346809,69,241.6666667,0.285850581,42,0.173848187,101.3333333,239.3333333,0.423297304,AAA_E26F.xls,AAA_E26,,,,
,AAA_E26_hF_M_s5,27.65160709,29.83497375,92.15545303,17.12144177,19.30480843,36.4262502,10.53016532,46.95641552,58.58855996,64.00546012,28.74329042,77.40597992,22.59402008,29.23847291,1.931725322,0.555092347,14.65120403,33.24315324,4.356929799,195.8920614,42.5140722,8.574548492,9.093649559,6.590551981,15.16510047,24.25875003,18.25532217,57.73078317,42.26921683,30.82804255,30.59523382,62.76207634,55.07798363,3.445124036,6.864475535,3.089104909,3.775370626,1.418671708,81.15782349,43.81370635,56.18629365,,,,1.441529843,608.5383952,447.4412181,73,243,0.300583348,44.66666667,0.18381098,117,236.3333333,0.495064907,AAA_E26F.xls,AAA_E26,,,,
,AAA_E26_hF_M_s6,36.676077,,,18.30584842,,,,,,,,,,,2.173030806,,21.50116608,,,,42.23813986,10.53454654,,,,,,,,28.78763002,,,,9.293119882,15.54939626,,,,94.83087235,,,,,,1.126867344,664.0323967,584.0326324,80,238.3333333,0.338983051,46,0.194915254,,230,,AAA_E26F.xls,AAA_E26,,,,
,AAA_E26_hF_M_s7,34.17798958,33.95425609,94.18255418,18.73695853,20.4684562,38.53863404,13.48579989,52.02443393,60.65080863,65.27371268,32.75511691,74.07547869,25.92452131,35.08093098,2.155839587,0.704379756,22.00288121,78.09898422,2.737838349,289.0885345,55.91069497,12.95161262,10.45642328,10.25801714,23.20962976,33.66605304,22.24464193,60.24385951,39.75614049,40.77056169,30.66085253,75.96956271,73.60909536,12.89378328,15.80336665,9.404450262,8.291884817,4.489528796,93.98509204,53.14349112,46.85650888,,,,1.39308957,601.4034759,643.7319044,64.33333333,244,0.263680867,38.33333333,0.157111145,126.6666667,235.3333333,0.538310533,AAA_E26F.xls,AAA_E26,,,,
,AAA_E26_hF_M_s8,34.29715235,29.0727077,119.8060155,21.06305953,15.83861488,36.90167442,13.23409281,50.13576723,68.45507991,57.67067464,31.68493002,73.87424546,26.12575454,35.82693444,2.175743102,0.719373917,20.61658489,70.12674997,2.997682868,270.6722811,52.68942708,14.3151656,8.337714452,9.818734243,24.13389984,32.4716143,20.21781279,61.46821708,38.53178292,41.88831648,28.21823368,72.42251853,70.15419478,10.38099595,15.19056812,7.443076704,7.747491413,4.108085273,91.61511555,49.9735999,50.0264001,,,,1.526216066,681.8737045,486.0755793,63,244.3333333,0.257837127,38.66666667,0.158259847,112.3333333,239,0.47005443,AAA_E26F.xls,AAA_E26,,,,
Male,AAA_E27_hF_M_s1,18.28204041,16.70397131,110.1653713,12.83644289,11.25837379,24.09481668,5.44559752,29.5404142,61.93619416,56.45340998,17.49300586,81.61039587,18.38960413,22.58821459,1.411315993,0.247109521,18.31983446,59.93644015,2.835450068,303.3477841,43.46393192,7.583543603,6.275185514,2.889964265,10.47350787,16.74869338,26.71523854,38.50928004,61.49071996,41.60753307,35.48400165,59.38108481,57.37947702,8.97837292,14.52566903,3.491023375,11.03464565,1.50405742,75.34276961,24.51954963,75.48045037,,,,1.087447672,524.4163466,632.8123638,49,244.1666667,0.200688368,35.33333333,0.144713757,97.66666667,240,0.406931785,AAA_E27F.xls,AAA_E27,,,,
,AAA_E27_hF_M_s2,18.7034029,22.72702764,82.30589725,11.62586153,15.64948627,27.27534781,7.077541369,34.35288918,54.431246,66.14144571,20.71521527,79.42730828,20.57269172,26.45104621,1.413123747,0.291549161,14.21583205,68.342562,2.127301297,411.1497513,41.0373552,7.315595278,7.096173562,4.748304538,12.06389982,19.16007338,21.87728182,46.60470863,53.39529137,39.84027227,29.71692422,68.43836281,64.56838474,8.497372499,15.44861376,4.672058658,10.77655511,1.693374457,74.43671336,30.24541341,69.75458659,,,,1.255371959,485.5447235,579.8879266,49.66666667,244,0.203559875,34.66666667,0.142072533,101.5,228.6666667,0.433774109,AAA_E27F.xls,AAA_E27,,,,
