Sample_Name,Sample Number,BV/TV,Tb.Th,Tb.N,Tb.Sp,Conn.D,App.D,Tiss.D,TV,BV,SMI,BS,BS/BV,BS/TV,BS/MV,DA,exp_name,gene_symbol
AAA_E01_M01_CF,1109.0,21.490000000000002,65.19999999999999,5.3697,174.8,132.1814,175.345,704.924,2.1448,0.4609,2.1737,17.1303,39.7361,7.98689854531891,10.172991270265454,1.4646,AAA_E01_CF.xlsx,AAA
AAA_E01_M02_CF,1110.0,24.240000000000002,66.10000000000001,5.3618,174.7,141.513,189.1734,709.927,2.2471,0.5447,1.6464,19.2321,37.0968,8.558631124560543,11.29705122180451,1.7391,AAA_E01_CF.xlsx,AAA
AAA_E01_M03_CF,1111.0,26.340000000000003,67,5.5812,166.1,143.8693,201.334,704.993,1.8871,0.4971,1.6319,16.87,35.8752,8.93964283821737,12.136690647482014,1.6365,AAA_E01_CF.xlsx,AAA
AAA_E01_M04_CF,1112.0,24.19,73.89999999999999,5.0452,188.29999999999998,113.833,193.7597,724.242,1.9985,0.4835,1.9285,15.6475,34.2455,7.829622216662497,10.32838283828383,1.6109,AAA_E01_CF.xlsx,AAA
AAA_E01_M05_CF,1114.0,17.990000000000002,63.4,5.0706,188.70000000000002,107.6389,152.6914,705.758,1.872,0.3367,2.5361,12.7226,41.5003,6.796260683760683,8.286719207972382,1.4099,AAA_E01_CF.xlsx,AAA
AAA_E01_M06_CF,1115.0,8.88,48.099999999999994,4.6225,216.1,39.0493,95.3625,688.038,1.895,0.1683,3.218,8.3196,59.4562,4.390290237467018,4.818208142699947,1.2668,AAA_E01_CF.xlsx,AAA
AAA_E01_M07_CF,1116.0,13.56,50.9,5.2203,187.6,96.9612,126.7718,681.437,1.9389,0.263,2.8746,12.2769,54.2188,6.331889215534581,7.325556417447341,1.3905,AAA_E01_CF.xlsx,AAA
AAA_E01_M08_CF,1117.0,14.21,52.3,4.9833,191.3,103.8745,128.2311,666.566,1.9783,0.2811,2.6826,12.7906,51.569,6.465450133953394,7.536295074239924,1.372,AAA_E01_CF.xlsx,AAA
AAA_E02_M01_CF,1058.0,15.39,51.5,5.2616,182.60000000000002,120.2614,139.002,661.563,2.0954,0.3224,2.5753,14.6623,51.2045,6.997375202825236,8.269768753525097,1.4884,AAA_E02_CF.xlsx,AAA
AAA_E02_M02_CF,1059.0,16.900000000000002,50.4,5.8318,164.3,162.1174,147.6881,624.177,1.9461,0.3289,2.4712,15.3111,52.3856,7.867581316479112,9.467660153351472,1.384,AAA_E02_CF.xlsx,AAA
AAA_E02_M03_CF,1060.0,14.39,51,5.4132,178.2,105.0492,132.4699,645.094,1.961,0.2821,2.5729,13.214,53.0831,6.738398776134625,7.870629578890941,1.3623,AAA_E02_CF.xlsx,AAA
AAA_E03_M01_CF,1003.0,11.600000000000001,49.6,4.7245,210.7,80.0416,111.2061,672.75,1.9615,0.2276,2.8966,10.7197,54.9702,5.465052255926587,6.182421131553146,1.3602,AAA_E03_CF.xlsx,AAA_E03_CF.xlsx
