Bone type,Bone #,R_BS,G_BS,R_G,Ronly_BS,Gonly_BS,sLS_BS,dLS_BS,LS_BS,R_LS,G_LS,MS_BS,sLS_LS,dLS_LS,dLS_sLS,MAR,BFR,BV_TV,Tb.Th,Tb.N,Tb.Sp,AP_BS,AP_R_BS,AP_G_BS,AP_RG_BS,AP_R_RG_BS,AP_L_BS,AP_NL_BS,AP_L_AP,AP_NL_AP,AP_R_R,AP_G_G,AP_RG_RG,AP_R_RG_R,AP_TRAP_BS,TRAP_BS,TRAP_L_BS,TRAP_NL_BS,AP_TRAP_R_RG_BS,TRAP_on_TRAP,TRAP_L_TRAP_on,TRAP_NL_TRAP_on,GFP_BS,GFP_R_BS,GFPonly_BS,Height_Width,Osteocytes_Density,Cortex_Width,AC_Intensity,RedBeads_Intensity,AC_RedBeads,AC_BR_Intensity,AC_BR_RedBeads,Calcein_Intensity,GreenBeads_Intensity,Calcein_GreenBeads,exp_name,gene_symbol,AP_Intensity,TRAP_Intensity,AP_Background_Intensity,TRAP_Background_Intensity
Male,AAA_E26_hV_M_s1,45.42657244,22.61435744,201.7252937,34.16153552,11.34932052,45.51085604,11.26503692,56.77589296,79.94961138,39.9771978,34.02046494,80.07319082,19.92680918,24.98461424,1.593161545,0.535194461,25.25647695,46.50747675,5.468810454,137.5320017,87.0176034,31.39202223,10.44042279,10.68720838,42.07923061,52.5196534,34.49795,60.33971586,39.66028414,69.03931994,46.17704086,94.71276243,92.76408447,15.62427117,12.5443588,7.506534176,5.037824621,6.006405176,92.68121744,62.12191934,37.87808066,,,,2.578015002,1479.92797,131.0958707,36.66666667,243,0.150932474,22.66666667,0.093282738,96.33333333,232.6666667,0.414451523,AAA_E26V.xls,AAA_E26,,,,
,AAA_E26_hV_M_s2,40.64471857,22.64502535,172.8909009,30.3030229,13.21257256,44.21014556,10.34169567,54.55184123,74.51732831,43.91677613,32.44676845,81.56589556,18.43410444,23.23029813,1.744951275,0.564300218,26.84689506,34.26264259,7.276231581,103.171136,81.64583044,26.04345626,11.06704503,9.297385325,35.34084158,46.48069137,33.90270026,57.69037096,42.30962904,64.67257888,49.79757706,88.59307548,86.86064163,9.380539917,10.35524852,5.534249532,4.484559236,4.487174605,88.39309562,58.94014014,41.05985986,,,,3.18045257,1662.047444,95.74265248,36,243.3333333,0.147992594,22,0.09041232,87,234,0.371914698,AAA_E26V.xls,AAA_E26,,,,
,AAA_E26_hV_M_s3,46.3624428,26.55685411,163.9983612,33.10130156,14.94735083,46.82637095,11.60950328,58.43587423,74.43407141,45.41027498,35.02268875,80.15565361,19.84434639,24.76397892,1.437320559,0.504133654,27.09625452,42.33090459,6.41386943,113.9509692,85.03838028,29.71913438,12.77331126,10.9172333,38.85945028,51.63276154,31.17464256,62.32263916,37.67736084,64.12293657,48.11711035,93.98898975,89.32695352,10.31907941,10.78596549,7.99574401,5.020491803,5.820460277,92.31296153,61.42900394,38.57099606,,,,2.909566208,1496.847395,107.5722653,35,244.6666667,0.143046727,22.33333333,0.091279135,78.5,236.3333333,0.334815583,AAA_E26V.xls,AAA_E26,,,,
,AAA_E26_hV_M_s4,50.17232821,18.52660513,304.0393574,41.05864695,7.38404081,48.81221746,9.113681263,57.92589872,86.64500982,29.0060979,33.51978999,84.34889228,15.65110772,18.67572248,1.660956446,0.566368639,21.70259068,29.81153916,5.609650292,143.9444611,89.12261467,38.09322034,6.777631853,10.50317797,48.59639831,56.46186441,33.60699153,62.68744487,37.31255513,74.49761757,33.17764915,95.93613933,95.03832608,13.24080674,13.67259314,11.23411017,7.457627119,9.131355932,88.14741277,60.1020119,39.8979881,,,,2.574585376,1118.205402,79.46687089,40.5,243.6666667,0.165983607,25,0.102459016,90,231.3333333,0.389303865,AAA_E26V.xls,AAA_E26,,,,
,AAA_E26_hV_M_s5,40.81773408,18.6147796,207.8414206,32.5484324,11.03590447,43.93258804,8.269301684,52.20188973,78.20356102,37.62963832,30.23559571,84.16680066,15.83319934,18.81193935,1.522671884,0.505133238,20.92191199,29.91287893,6.576177211,121.361332,86.52851907,30.03986632,10.07824509,7.918670694,37.95853701,48.40631598,40.41939136,54.46776767,45.53223233,73.58975579,54.33711974,95.75262724,92.97660732,5.748940731,7.599436358,2.96555436,2.545748116,2.319698601,88.04764725,53.80859375,46.19140625,,,,2.57727723,1898.621374,110.7016742,36,243,0.148148148,22.5,0.092592593,97.5,233.3333333,0.423968317,AAA_E26V.xls,AAA_E26,,,,
,AAA_E26_hV_M_s6,49.48570806,22.43764792,191.68357,32.50925061,11.93792099,44.44747861,10.49972693,54.94720553,78.27383418,40.8349209,32.72346623,80.89124493,19.10875507,23.62277289,1.79912859,0.630102009,27.94700011,45.26572627,6.208979966,116.4152773,82.4798085,28.3026861,10.29036956,9.885308575,37.29291826,47.58328782,30.48880393,60.94788388,39.05211612,57.61870922,45.86206897,94.14824447,86.70899471,10.75606382,12.06349746,8.237757145,8.251410887,5.880211178,90.33249443,49.95859785,50.04140215,,,,2.87858378,1841.546253,79.66097616,37.5,241.6666667,0.155246914,23,0.09524177,86.33333333,234.3333333,0.368406377,AAA_E26V.xls,AAA_E26,,,,
,AAA_E26_hV_M_s7,48.81799877,21.89589985,223.3320126,37.51512118,10.59302226,48.10814344,11.30287759,59.41102103,82.08500795,36.81046515,35.35694931,81.1045269,18.8954731,23.44454516,1.211699166,0.432284358,24.74454321,41.8133637,5.991979603,129.9121834,82.89947896,33.36045497,8.927002887,10.5891699,43.94962488,52.87662776,30.02285119,63.79835972,36.20164028,68.50067277,41.23355207,93.67773024,90.0287713,11.57844217,13.20076344,7.923377833,5.277385609,6.186593428,90.11669552,61.70485388,38.29514612,,,,2.36582553,1498.280498,86.67569862,37.66666667,243.6666667,0.154571722,23.66666667,0.097120387,74.5,234.3333333,0.315677966,AAA_E26V.xls,AAA_E26,,,,
,AAA_E26_hV_M_s8,41.80144112,23.57839143,177.7554387,31.99505006,13.77200037,45.76705043,9.806391063,55.57344149,75.1752703,42.33121083,32.68991628,82.49351888,17.50648112,21.30583474,1.213255593,0.403722159,24.29348041,34.44923005,7.193244346,107.83457,83.64586856,29.121878,11.72999147,9.441092732,38.56297073,50.2929622,33.35290636,60.10909884,39.89090116,69.88477858,49.98106184,96.01221994,92.25837023,12.52289247,13.20232952,7.785984459,5.307060743,6.011959839,87.59000159,59.81794284,40.18205716,,,,,1838.463098,115.5512874,36.33333333,241,0.150825259,21,0.087152505,79.66666667,237.3333333,0.335640354,AAA_E26V.xls,AAA_E26,,,,
Male,AAA_E27_hV_M_s1,39.20901067,22.6556714,172.4937938,29.03464865,12.48130938,41.51595803,10.17436201,51.69032005,75.1997964,44.51654076,30.93234103,80.28366284,19.71633716,24.60026639,0.985438003,0.304277429,24.71134789,63.11096943,3.922735069,192.8912379,78.26988238,24.82683456,10.46833138,9.504683604,34.33151817,44.79984955,33.47003283,56.95276294,43.04723706,62.76118851,46.258749,93.05684391,87.33723488,8.777581768,9.417972005,4.60571603,4.812255975,3.469983798,89.7879372,49.78060509,50.21939491,,,,2.71573938,1476.016496,114.1141796,38.33333333,240.6666667,0.159230243,24,0.099691096,80,239.6666667,0.333703487,AAA_E27V.xls,AAA_E27,,,,
,AAA_E27_hV_M_s2,38.585135,25.07014808,153.4271752,27.68932688,14.17433995,41.86366683,10.89580812,52.75947496,72.51659809,47.24473497,31.82764154,80.23866694,19.76133306,25.04911801,1.156498809,0.360138948,28.3470653,69.79259899,3.625823076,197.8695865,81.86070272,25.30458493,11.93885906,10.27162461,35.57620955,47.51506861,34.34563411,57.92562903,42.07437097,66.91422379,49.37057138,94.71387061,92.42601889,9.951665082,10.56021039,5.327152733,5.233057654,4.211349458,88.92491218,53.29352107,46.70647893,,,,2.877929698,1695.845306,119.9708589,39,242,0.161247534,23,0.095078566,82,236.3333333,0.347041847,AAA_E27V.xls,AAA_E27,,,,
,AAA_E27_hV_M_s3,47.05386062,26.31957937,176.5878788,34.10424185,14.77488829,49.7070547,11.54469108,61.25174578,75.89444242,42.97317175,36.39821843,81.13238583,18.86761417,23.33584428,1.141641801,0.425783789,25.82494855,71.90950895,3.666665863,200.8178259,81.90253828,30.3466534,12.77034518,10.49882405,41.93849194,54.70883712,28.54858538,65.7175055,34.2824945,64.58830917,48.5189244,91.11430417,90.24447405,13.89570293,14.9546011,9.602224918,4.870346337,7.376468916,91.97708873,67.90726296,32.09273704,,,,3.000863669,1664.763977,137.1812012,39,243,0.161157025,23,0.095041322,78.5,236.3333333,0.334770115,AAA_E27V.xls,AAA_E27,,,,
,AAA_E27_hV_M_s4,28.51675544,24.85988283,108.9278304,24.00256217,21.07729646,45.68191416,4.514193268,50.19610743,56.81938661,52.17482384,27.35515035,91.00578955,8.994210445,9.883206138,1.00197862,0.292992558,19.50514406,46.90829667,4.155816399,193.8415131,79.94915491,22.56026721,18.45877808,4.378449027,26.93871624,47.77083938,39.18820796,54.93486974,45.06513026,78.93800813,75.06333493,96.5572458,94.25813008,15.25197655,14.97934761,7.170529141,5.31392695,4.923032239,92.70002367,57.56734222,42.43265778,,,,2.793032591,1730.843982,91.76396777,34.33333333,244,0.140710383,21,0.086065574,76,237.1666667,0.319009029,AAA_E27V.xls,AAA_E27,,,,
,AAA_E27_hV_M_s5,36.25095825,22.51749132,221.3177619,28.28663625,9.433172713,44.52679167,11.89135107,56.41814274,83.39573071,37.68144499,34.15474691,78.9228243,21.0771757,26.70605859,1.087325309,0.3742531,25.56315129,66.41531208,3.87399774,194.1782914,80.33738803,25.16612355,7.885929791,10.82413103,42.45164159,50.15934188,28.87793671,63.4628909,36.5371091,70.35600892,35.08668833,91.02524151,90.22603765,14.77252053,16.10888609,9.301119099,6.985103387,7.366782776,91.95213197,57.11035267,42.88964733,,,,2.725612005,1464.303977,81.18070978,40.33333333,242,0.166719705,23.66666667,0.097819993,75,239.3333333,0.313934555,AAA_E27V.xls,AAA_E27,,,,
,AAA_E27_hV_M_s6,32.86307898,17.08333216,193.6998293,25.51828876,9.738541933,35.25683069,7.344790228,42.60162092,77.12128338,39.99160597,24.97320557,82.88711065,17.11288935,20.82853126,0.964792491,0.252317813,22.20255944,54.41786132,3.667677282,212.1163738,68.87970518,20.32969737,7.227216948,7.368517775,27.69821515,34.9254321,33.95427309,50.70957536,49.29042464,60.1382993,39.58118823,87.34297922,81.89150398,5.908398526,8.384813527,3.058493347,5.326320181,1.952098506,88.61448763,36.50965135,63.49034865,,,,3.148838644,1472.314424,85.36020513,33,244.3333333,0.134693878,23,0.093877551,77,240.3333333,0.32038172,AAA_E27V.xls,AAA_E27,,,,
,AAA_E27_hV_M_s7,41.61271147,21.89189085,212.6510721,31.6994743,9.923397039,44.37933568,11.96849381,56.34782949,82.19559779,39.13320183,34.15816165,78.67120038,21.32879962,27.14005008,1.100301209,0.372850043,27.03025266,68.2213867,3.868986313,195.8179607,77.06579248,28.00124686,7.838059519,10.62227869,41.15489598,48.9929555,30.00028543,61.80012606,38.19987394,67.49613632,35.85206052,88.67865189,88.37947106,15.02591318,14.80458816,8.512206029,6.292382135,6.566848831,90.67948455,58.22821639,41.77178361,,,,2.808157258,1616.852215,105.3639766,36.66666667,242.6666667,0.151053664,23,0.094765723,73,239.6666667,0.30463875,AAA_E27V.xls,AAA_E27,,,,
,AAA_E27_hV_M_s8,38.26302569,20.69672387,184.4735753,28.16216301,10.59586119,38.75802419,10.10086269,48.85888688,78.01433963,42.46197298,29.47987478,79.52368738,20.47631262,25.81780104,0.936785631,0.276785175,22.36055019,59.85303619,3.74614236,209.3862609,77.04480149,25.16614182,9.414260626,9.729334687,34.8954765,44.30973713,32.73506436,57.177,42.823,65.59866918,45.72802252,95.96137578,90.80554686,16.1574618,17.9394644,9.37482687,8.564637535,7.456650449,92.66676271,52.93546368,47.06453632,,,,2.86796829,1712.443284,76.12560833,36.66666667,243.3333333,0.150713544,22.33333333,0.09178973,73.33333333,238.1666667,0.307905534,AAA_E27V.xls,AAA_E27,,,,
Male,AAA_E28_hV_M_s1,50.1893207,30.64030856,165.3801595,34.26208704,14.7130749,48.97516193,15.92723367,64.9023956,77.44315989,47.075397,40.41481463,75.48144311,24.51855689,32.48760145,1.144693274,0.43667864,19.66347625,52.24517439,3.716929127,220.7572091,84.72244898,31.07755102,14.19591837,14.74693878,45.8244898,60.02040816,24.70204082,70.84357084,29.15642916,60.81469649,41.63773495,89.83092989,89.67252396,21.32653061,19.42316764,13.44500537,6.670907789,11.64897959,89.65628169,66.35403654,33.64596346,,,,2.719148745,1792.116845,88.30011094,42,243.6666667,0.171428571,25,0.102040816,89.33333333,234.6666667,0.380906284,AAA_E28V.xls,AAA_E28,85,152,,
,AAA_E28_hV_M_s2,28.33324423,23.47539857,120.3584988,20.51056451,15.65271885,36.16328337,7.822679718,43.98596308,64.37945373,53.52188678,25.9043214,82.09865949,17.90134051,21.82016371,0.875463855,0.226494988,17.8426773,49.31914102,3.610018857,231.7073267,88.72513463,19.66489881,15.01540674,7.102733509,26.76763232,41.78303906,46.94209557,47.0352286,52.9647714,69.24895371,63.84044564,97.05507697,94.47084988,15.19533955,15.67980495,6.814054413,8.865750537,5.024227943,85.26883272,44.49772684,55.50227316,,,,2.669300782,1801.322064,98.82964223,36,243.6666667,0.14776742,21.66666667,0.088928082,84,237.3333333,0.35397125,AAA_E28V.xls,AAA_E28,82.66666667,136,,
,AAA_E28_hV_M_s3,27.77937127,22.78157463,122.9403278,19.66740807,14.66961142,34.33701949,8.111963205,42.4489827,65.31978853,53.28507831,25.28047295,81.39513315,18.60486685,23.21502374,1.004619888,0.244876384,20.30503221,53.08121332,3.786465061,213.0207279,86.47148079,18.61000255,13.74301192,7.342523832,25.95252638,39.6955383,46.77594249,45.69379256,54.30620744,67.42100369,59.78547206,94.14492182,93.1930289,13.16068176,16.13957701,5.721090504,11.0367893,3.319144623,85.96380225,34.13970366,65.86029634,,,,2.653382838,1644.364027,117.4018393,34.66666667,244.3333333,0.141955004,19.33333333,0.079143807,81,238.5,0.341102726,AAA_E28V.xls,AAA_E28,82,142,,
