Sample_Name,Sample Number,BV/TV,Tb.Th,Tb.N,Tb.Sp,Conn.D,App.D,Tiss.D,TV,BV,SMI,BS,BS/BV,BS/TV,BS/MV,DA,exp_name,gene_symbol
4921509C19Rik_E01_F01_V,6091,13.13,43.8,4.337,226.4,115.0915,148.0708,739.3663,0.8385,0.1101,2.0726,4.9606,53.8082,5.916040549,6.810269083,2.2081,4921509C19Rik_E01_CV.xlsx,4921509C19Rik
4921509C19Rik_E01_F02_V,6092,18.89,52.7,3.917,256.1,146.3903,190.5946,834.7838,2.0835,0.3935,1.2603,15.3405,42.3734,7.362850972,9.077218935,1.8551,4921509C19Rik_E01_CV.xlsx,4921509C19Rik
4921509C19Rik_E01_F03_V,6093,19.05,50.2,4.5158,221.4,200.1336,196.5799,729.9708,1.474,0.2808,1.4995,11.0981,44.5461,7.529240163,9.301123031,1.679,4921509C19Rik_E01_CV.xlsx,4921509C19Rik
4921509C19Rik_E01_F04_V,6094,10.05,35.2,4.2692,231.6,118.8336,127.4006,751.6154,0.7279,0.0731,2.4154,3.6342,66.2163,4.99271878,5.550091631,2.077,4921509C19Rik_E01_CV.xlsx,4921509C19Rik
4921509C19Rik_E01_F05_V,6096,18.31,49.6,4.1559,241.3,154.798,187.4627,828.868,1.2016,0.2201,1.333,8.6093,43.8602,7.164863515,8.771574121,2.1506,4921509C19Rik_E01_CV.xlsx,4921509C19Rik
4921509C19Rik_E01_F06_V,6097,19.05,50.6,4.3476,233.2,164.667,192.8913,788.293,1.3937,0.2655,1.3917,10.486,44.1861,7.523857358,9.294451338,1.9775,4921509C19Rik_E01_CV.xlsx,4921509C19Rik
4930563E22Rik_F01_CV,13093,21.79,52.5,4.6771,214.9,208.9067,217.6678,785.6483,1.9411,0.423,1.1732,16.2423,41.9595,8.367575086,10.69909756,1.7913,4930563E22Rik_E01_CV.xlsx,4930563E22Rik
4930563E22Rik_F02_CV,13094,23.08,54.1,4.8609,203,209.6702,223.0964,780.0109,1.6335,0.377,1.1595,14.069,40.7368,8.612794613,11.19697573,1.8282,4930563E22Rik_E01_CV.xlsx,4930563E22Rik
4930563E22Rik_F03_CV,13095,18.46,48.8,4.3002,234.7,210.5403,190.1074,738.1136,1.7645,0.3257,1.6649,13.5493,46.8807,7.67883253,9.417083681,1.7907,4930563E22Rik_E01_CV.xlsx,4930563E22Rik
4930563E22Rik_F04_CV,13096,20.62,53.8,4.3398,230.8,156.2823,200.547,781.9597,1.734,0.3575,1.3659,13.6077,41.6509,7.847577855,9.885724664,1.8836,4930563E22Rik_E01_CV.xlsx,4930563E22Rik
