Sample_Name,Sample Number,BV/TV,Tb.Th,Tb.N,Tb.Sp,Conn.D,App.D,Tiss.D,TV,BV,SMI,BS,BS/BV,BS/TV,BS/MV,DA,exp_name,gene_symbol
4921509C19Rik_E01_F_total mean,,4.655,45.08333333,3.37095,310.2333333,12.98666667,62.98861667,736.408,1.383883333,0.068416667,3.946166667,3.214083333,61.2224,2.183256626,2.316922745,1.368516667,4921509C19Rik_E01_CF.xlsx,4921509C19Rik
4930563E22Rik_E01_F_total mean,,7.81,46.975,4.020925,248.225,41.2867625,91.8191375,745.4035,1.69695,0.1328,3.3971,6.4814875,60.227075,3.811189463,4.13996203,1.3333625,4930563E22Rik_E01_CF.xlsx,4930563E22Rik
Abca7_E01_F_total mean,,8.3,51.61428571,3.893142857,258.0428571,41.66467143,94.00398571,783.9577143,1.7452,0.145371429,3.444542857,6.627828571,54.69037143,3.785146466,4.144320739,1.337042857,Abca7_E01_CF.xlsx,Abca7
Acap1_E01_F_total mean,,7.8,49.575,3.8833375,258.175,35.55685,93.1067,780.462875,1.6473375,0.1285,3.4294625,5.9752625,57.007675,3.630956208,3.945438546,1.3922875,Acap1_E01_CF.xlsx,Acap1
Acsf2_E01_F_total mean,,8.702171533,50.2375,4.179875,239.2,43.6301625,108.4788875,762.889625,1.456575,0.1261375,3.4747875,5.8158875,56.6379125,4.00747345,4.393249807,1.3598625,Acsf2_E01_CF.xlsx,Acsf2
Acsm2_E01_F_total mean,,9.93625,54.5125,4.0774375,245.7875,45.18985,106.2344125,776.81775,1.6279625,0.1620375,3.320625,6.9031125,50.1040875,4.234910221,4.715886539,1.462525,Acsm2_E01_CF.xlsx,Acsm2
Adck2_E01_F_total mean,,6.42375,43.9125,3.9802,253.95,27.3040125,82.7889375,753.2505,1.3658875,0.087975,3.5738125,4.4657125,65.9746,3.260604007,3.489883289,1.31495,Adck2_E01_CF.xlsx,Adck2
Adck5_E01_F_total mean,,9.1225,53.425,4.0415,247.5875,40.4880375,101.8846,770.232125,1.6408,0.1494375,3.3800125,6.6395125,52.8307875,4.052761384,4.470523967,1.3832875,Adck5_E01_CF.xlsx,Adck5
Adgrb2_E01_F_total mean,,7.831428571,53.07142857,3.748671429,266.1857143,37.58722857,90.09664286,807.0737143,1.705128571,0.134157143,3.486328571,6.106242857,54.31831429,3.563576505,3.871125932,1.345114286,Adgrb2_E01_CF.xlsx,Adgrb2
Adora2b_F_total mean,,6.073284662,50,3.6932625,273.05,14.769525,84.1052625,643.886125,1.5761375,0.0962375,3.737975,4.3096125,56.3008625,2.716617837,2.895517829,1.3801875,Adora2b_E01_CF.xlsx,Adora2b
Ahrr_E01_F_total mean,,6.5225,52.95,3.6108875,287.8125,22.3395875,83.9315125,711.647125,1.73855,0.1151,3.709975,5.079525,54.6147375,2.880881084,3.109832468,1.44555,Ahrr_E01_CF.xlsx,Ahrr
Akap11_E01_F_total mean,,9.28375,49.725,4.1531875,240.4,57.9436125,102.302175,770.197375,1.48525,0.138225,3.1861,6.507125,56.2626,4.363886057,4.82483875,1.4211,Akap11_E01_CF.xlsx,Akap11
Akr1b8_E01_F_total mean,,9.99625,47.7375,4.4880125,223.5125,65.7166125,108.2440125,726.264125,1.322075,0.129425,3.1538625,6.1222,57.741475,4.72804245,5.279058295,1.3970375,Akr1b8_E01_CF.xlsx,Akr1b8
Akr1d1_E01_F_total mean,,10.16,52.075,4.1621,240.925,57.3237875,109.566375,760.653875,1.533225,0.156475,3.19295,6.945875,52.5004,4.511814043,5.03406992,1.4229,Akr1d1_E01_CF.xlsx,Akr1d1
Al464131_E01_F_total mean,,9.18125,53.475,4.019425,246.9,45.3570125,99.875,786.396125,1.6364875,0.1499625,3.3368375,6.6411375,52.87945,4.061871654,4.480178006,1.3798375,Al464131_E01_CF.xlsx,Al464131
Arhgef10_E01_F_total mean,,5.681168914,45.075,3.70475,273.2125,23.20435,86.912575,731.301375,1.510475,0.0866,3.7268,4.282825,64.6126,2.803729882,2.982919507,1.2648125,Arhgef10_E01_CF.xlsx,Arhgef10
Arrb1_E01_F_total mean,,5.6625,46.675,3.6145875,279.25,24.5217,82.806375,761.976125,1.36535,0.0772625,3.75555,3.647975,60.8787875,2.673170964,2.849711147,1.3533625,Arrb1_E01_CF.xlsx,Arrb1
Arsk_E01_F_total mean,,6.6725,53.2125,3.583125,280.2125,21.0701625,81.386475,715.903375,1.877825,0.125075,3.71695,5.569825,54.121425,2.967206632,3.184674912,1.3901,Arsk_E01_CF.xlsx,Arsk
BC030499_E01_E01_F_total mean,,7.95125,51.45,3.9334875,253.725,32.4992875,95.4295,766.152,1.455,0.1156375,3.4802,5.18615,55.3496875,3.566639853,3.883147201,1.3911875,BC030499_E01_CF.xlsx,BC030499
Bex4_E01_F_total mean,,9.78125,52.7875,4.130725,240.7125,57.0844625,111.73255,776.69575,1.744975,0.1717375,3.2997375,7.73695,53.704225,4.420929921,4.91064621,1.3863875,Bex4_E01_CF.xlsx,Bex4
Bex6_E01_F_total mean,,7.995,51.9875,3.8275375,261.5625,34.6422375,94.498625,785.3955,1.7269625,0.1378125,3.471675,6.308325,55.3060375,3.657297707,3.979275813,1.3287625,Bex6_E01_CF.xlsx,Bex6
Bhlhe_E01_F_total mean,,8.985,49.625,4.1629125,237.9625,52.5897,98.80495,761.167125,1.6736125,0.1491125,3.2758125,7.0072,57.2938375,4.200031644,4.62869633,1.4147,Bhlhe_E01_CF.xlsx,Bhlhe
Bzw2_F_total mean,,9.788845599,61.75,3.871575,261.375,36.99395,108.530825,702.405,1.840325,0.17925,3.4926125,7.0267375,45.42015,3.815330407,4.250087412,1.4527375,Bzw2_E01_CF.xlsx,Bzw2
C1qa_E01_F_total mean,,7.2225,47.65,4.00705,248.7125,34.4517375,91.56685,750.605875,1.4856125,0.1078375,3.490125,5.2378125,60.859375,3.512616348,3.796057529,1.3277125,C1qa_E01_CF.xlsx,C1qa
C1qb_E01_F_total mean,,9.352,50.92,4.01528,248.8,54.7865,103.72372,790.8536,1.75666,0.16582,3.17352,7.57114,54.65532,4.280305657,4.73226645,1.3681,C1qb_E01_CF.xlsx,C1qb
C1qtnf5_E01_F_total mean,,7.97125,54.3,3.6888,270.775,29.1536,91.26265,717.935875,1.811825,0.1445375,3.4441,6.347575,51.77575,3.493212201,3.797653135,1.3951625,C1qtnf5_E01_CF.xlsx,C1qtnf5
Car12_E01_F_total mean,,7.95,54.525,3.8112375,264.325,29.3338125,95.2381,779.62775,1.534475,0.12145,3.6486625,5.1291375,51.0238125,3.349515191,3.646087306,1.480325,Car12_E01_CF.xlsx,Car12
Carf_E01_F_total mean,,9.3575,54.6,3.9211875,255.4875,50.4149,104.703275,773.990625,1.69935,0.158175,3.3238875,6.954225,51.6335875,4.105100212,4.54035564,1.3900375,Carf_E01_CF.xlsx,Carf
