Sample Name,Sample Number,Length,Tt.Ar,Ma.Ar,Ct.Mask,Ct.Ar_Tt.Ar,Ct.Ar,Ps.Pm,Ec.Pm,Po.Ar,Ct.Po,Ct.Th,J,Imax,Imin,Zmax,Zmin,Dmax,Dmin,App.D,Tiss.D,exp_name,gene_symbol,Le,Apparent Density,Tissue Density,Unnamed: 1
4921509C19RIK_E01_F01_CF                    ,6053,13.22,1.31453,0.78964,0.52489,39.82335892,0.52349,3.438,3.150064903,0.0014,0.267,0.1354,0.18687,0.12307,0.0638,0.15072,0.11318,1.63309448,1.127407669,1128.5522,1203.8562,4921509C19Rik_E01_CF.xlsx,4921509C19Rik,,,,
4921509C19RIK_E01_F02_CF                    ,6054,14.53,1.78748,1.10002,0.68746,38.37973012,0.68603,4.58,3.717964363,0.00143,0.208,0.155,0.33242,0.21185,0.12058,0.22565,0.18812,1.877686683,1.281947693,1160.358,1229.259,4921509C19Rik_E01_CF.xlsx,4921509C19Rik,,,,
4921509C19RIK_E01_F03_CF                    ,6055,14.51,1.57209,0.95365,0.61844,39.24393642,0.61695,4.282,3.461779793,0.00149,0.24,0.1508,0.25969,0.16552,0.09416,0.18386,0.15322,1.800500381,1.229082365,1147.6914,1222.6473,4921509C19Rik_E01_CF.xlsx,4921509C19Rik,,,,
4921509C19RIK_E01_F04_CF                    ,6056,12.21,1.0425,0.65727,0.38523,36.84316547,0.38409,2.834,2.873934309,0.00114,0.294,0.1139,0.10886,0.06888,0.03998,0.10138,0.07459,1.358847899,1.071993565,1095.0762,1185.2738,4921509C19Rik_E01_CF.xlsx,4921509C19Rik,,,,
4921509C19RIK_E01_F05_CF                    ,6058,14.05,1.50128,0.93384,0.56744,37.70782266,0.5661,4.033,3.425635639,0.00134,0.235,0.1385,0.2274,0.13894,0.08846,0.1669,0.13719,1.664949071,1.289598367,1137.3911,1211.0247,4921509C19Rik_E01_CF.xlsx,4921509C19Rik,,,,
4921509C19RIK_E01_F06_CF                    ,6059,13.82,1.52464,0.9185,0.60614,39.69330465,0.60518,3.902,3.397383024,0.00096,0.158,0.1494,0.24204,0.14705,0.09499,0.18032,0.14514,1.630989352,1.308943089,1145.6731,1217.5668,4921509C19Rik_E01_CF.xlsx,4921509C19Rik,,,,
4930563E22Rik_F01_CF                      ,13053,,1.73957,1.01267,0.7269,41.64822341,0.7245,4.765,3.567294007,0.0024,0.33,0.1682,0.33889,0.22482,0.11408,0.2386,0.17775,1.884492875,1.283600563,1160.8452,1229.8854,4930563E22Rik_E01_CF.xlsx,4930563E22Rik,15.44,,,
4930563E22Rik_F02_CF                      ,13054,,1.56727,0.93703,0.63024,40.0869027,0.62827,4.242,3.431481642,0.00197,0.313,0.152,0.26486,0.17178,0.09308,0.20001,0.14491,1.717714114,1.284659444,1144.9772,1216.7316,4930563E22Rik_E01_CF.xlsx,4930563E22Rik,14.592,,,
4930563E22Rik_F03_CF                      ,13055,,1.59915,0.9374,0.66175,41.26879905,0.65995,4.417,3.43215906,0.0018,0.272,0.1586,0.27877,0.17772,0.10105,0.20101,0.16422,1.768270235,1.23066618,1156.3214,1228.1455,4930563E22Rik_E01_CF.xlsx,4930563E22Rik,15.008,,,
4930563E22Rik_F04_CF                      ,13056,,1.59176,0.90087,0.69089,43.27850932,0.68889,4.351,3.364619785,0.002,0.29,0.1641,0.28436,0.17584,0.10853,0.20927,0.16406,1.680508434,1.323052542,1173.3727,1243.5264,4930563E22Rik_E01_CF.xlsx,4930563E22Rik,15.056,,,
4930563E22Rik_F05_CF                      ,13058,,1.59405,0.90596,0.68809,43.01747122,0.68572,4.41,3.374111605,0.00237,0.344,0.1667,0.28871,0.18561,0.1031,0.21471,0.16179,1.728936705,1.274491625,1171.1456,1241.5776,4930563E22Rik_E01_CF.xlsx,4930563E22Rik,14.928,,,
4930563E22Rik_F06_CF                      ,13059,,1.46769,0.84939,0.6183,42.0122778,0.61661,4.073,3.267070482,0.00169,0.273,0.153,0.23642,0.14612,0.09029,0.18137,0.14351,1.611291834,1.258309525,1154.7207,1224.6656,4930563E22Rik_E01_CF.xlsx,4930563E22Rik,14.432,,,
4930563E22Rik_F07_CF                      ,13060,,1.47433,0.87152,0.60281,40.80429755,0.60159,3.976,3.309356934,0.00122,0.202,0.1506,0.23599,0.14975,0.08624,0.18561,0.14138,1.613598405,1.219974537,1149.4314,1218.6803,4930563E22Rik_E01_CF.xlsx,4930563E22Rik,14.32,,,
4930563E22Rik_F08_CF                      ,13061,,1.72488,1.03927,0.68561,39.65783127,0.68405,4.504,3.613841722,0.00156,0.227,0.1561,0.3211,0.21206,0.10904,0.22991,0.17214,1.844721848,1.266875799,1149.501,1214.4349,4930563E22Rik_E01_CF.xlsx,4930563E22Rik,14.8,,,
A1cf_E01_F01_CF                           ,7155,13.168,1.22342,0.73315,0.49027,40.00016348,0.48937,3.261,3.03529811,0.0009,0.184,0.1341,0.15816,0.09646,0.0617,0.12974,0.10997,1.486973948,1.122124216,1140.6621,1217.5668,A1cf_E01_CF.xlsx,A1cf,,,,
A1cf_E01_F02_CF                           ,7156,14.656,1.58323,0.91478,0.66845,42.11706448,0.66681,4.269,3.390496204,0.00164,0.244,0.1598,0.27998,0.18049,0.09949,0.20186,0.16594,1.788269097,1.199108111,1173.3727,1244.0831,A1cf_E01_CF.xlsx,A1cf,,,,
A1cf_E01_F03_CF                           ,7157,15.104,1.61263,0.93305,0.67958,42.03692105,0.6779,4.44,3.424186342,0.00168,0.246,0.1609,0.29145,0.19098,0.10048,0.21468,0.16752,1.77920626,1.199617956,1165.7866,1235.5227,A1cf_E01_CF.xlsx,A1cf,,,,
A1cf_E01_F04_CF                           ,7158,14.208,1.39325,0.77721,0.61604,44.12488785,0.61477,3.842,3.12517342,0.00127,0.205,0.1587,0.22571,0.14874,0.07698,0.17815,0.13734,1.669828796,1.121013543,1163.5596,1228.5631,A1cf_E01_CF.xlsx,A1cf,,,,
A1cf_E01_F05_CF                           ,7160,14.88,1.49304,0.82643,0.66661,44.50985908,0.66455,4.229,3.222611622,0.00206,0.308,0.1661,0.25824,0.16704,0.0912,0.19902,0.15079,1.678625264,1.209629286,1163.6987,1231.6949,A1cf_E01_CF.xlsx,A1cf,,,,
A1cf_E01_F06_CF                           ,7161,14.688,1.49021,0.82296,0.66725,44.64739869,0.66534,4.083,3.215838982,0.00191,0.285,0.1665,0.25849,0.16711,0.09137,0.19501,0.15521,1.713860828,1.177372592,1173.8599,1240.673,A1cf_E01_CF.xlsx,A1cf,,,,
A1cf_E01_F07_CF                           ,7162,15.072,1.54541,0.84564,0.69977,45.15694864,0.69786,4.251,3.259850556,0.00191,0.273,0.1721,0.27538,0.17027,0.10511,0.20166,0.1712,1.688683923,1.227920561,1176.087,1242.1344,A1cf_E01_CF.xlsx,A1cf,,,,
A1cf_E01_F08_CF                           ,7163,14.752,1.54127,0.86255,0.67872,43.93000577,0.67708,4.169,3.292282335,0.00164,0.241,0.1701,0.26916,0.16763,0.10153,0.19746,0.16558,1.697862858,1.22635584,1169.7537,1235.9403,A1cf_E01_CF.xlsx,A1cf,,,,
Abca7_E01_F01_CF                          ,11951,,1.73686,1.13358,0.60328,34.66830948,0.60214,4.421,3.774253092,0.00114,0.19,0.1368,0.28833,0.18499,0.10334,0.19607,0.16196,1.88697914,1.27611756,1145.1859,1218.6107,Abca7_E01_CF.xlsx,Abca7,14.384,,,
