Bone type,Bone #,R_BS,G_BS,R_G,Ronly_BS,Gonly_BS,sLS_BS,dLS_BS,LS_BS,R_LS,G_LS,MS_BS,sLS_LS,dLS_LS,dLS_sLS,MAR,BFR,BV_TV,Tb.Th,Tb.N,Tb.Sp,AP_BS,AP_R_BS,AP_G_BS,AP_RG_BS,AP_R_RG_BS,AP_L_BS,AP_NL_BS,AP_L_AP,AP_NL_AP,AP_R_R,AP_G_G,AP_RG_RG,AP_R_RG_R,AP_TRAP_BS,TRAP_BS,TRAP_L_BS,TRAP_NL_BS,AP_TRAP_R_RG_BS,TRAP_on_TRAP,TRAP_L_TRAP_on,TRAP_NL_TRAP_on,GFP_BS,GFP_R_BS,GFPonly_BS,Height_Width,Osteocytes_Density,Cortex_Width,AC_Intensity,RedBeads_Intensity,AC_RedBeads,AC_BR_Intensity,AC_BR_RedBeads,Calcein_Intensity,GreenBeads_Intensity,Calcein_GreenBeads,AP_Intensity,TRAP_Intensity,exp_name,gene_symbol,AP_Background_Intensity,TRAP_Background_Intensity,Osteocytes_N
Female,Acsf2_E01_hF_F_s1,40.1486075,25.29034842,181.9873317,26.14768785,11.56387665,43.86263516,13.72647177,57.58910693,79.92002782,43.91515994,35.65778935,76.16481224,23.83518776,31.29422506,1.8313815,0.48461784,6.133144096,41.11211635,1.479930401,688.7538587,70.40057802,21.65372859,9.651581898,10.71285543,37.03444133,46.68602323,26.28153785,63.98188804,36.01811196,57.38664629,37.27764888,86.78021087,80.46552099,28.51504065,35.31072208,22.74729676,14.80776932,12.63516219,82.23117485,60.57051453,39.42948547,,,,1.262223918,871.6755451,386.7592844,88.33333333,240,0.368716683,41.66666667,0.173733092,142.3333333,237,0.60034055,87,210,Acsf2_E01F.xls,Acsf2,,,
,Acsf2_E01_hF_F_s2,37.51765938,13.66241758,282.6180055,30.8314828,6.976240999,37.80772379,6.686176583,44.49390038,83.96724645,30.79946077,25.59003848,85.23329277,14.76670723,17.44525633,2.152310904,0.562795635,6.508657923,43.00942527,1.50628848,632.2575912,71.9112417,25.00120088,5.696587938,4.990891838,29.99209272,35.68868065,36.22256104,49.43162806,50.56837194,66.86952489,37.56968951,84.20949699,80.3025654,24.78563409,30.78103314,10.94617292,19.83486023,6.14556039,83.95764708,35.96133897,64.03866103,,,,1.288019594,873.8707613,421.5605958,82.66666667,240.6666667,0.343629477,40.33333333,0.167596419,161.3333333,231.3333333,0.697563193,89.66666667,218.3333333,Acsf2_E01F.xls,Acsf2,,,
,Acsf2_E01_hF_F_s3,32.46530049,8.746592364,373.3841463,29.05531726,6.386162194,34.85407275,3.409983233,38.26405598,84.67762198,23.43250474,20.83701961,91.88987329,8.110126712,9.219436293,2.07172055,0.43598597,5.00444667,30.21200492,1.652877602,574.7282995,57.23994665,21.32087956,4.217209841,2.387001226,23.70788078,27.69048997,31.00044047,46.42601819,53.57398181,65.3512414,48.20522118,63.51793663,71.93574365,24.96874813,32.45756873,11.05245547,20.65654571,6.808729198,62.69648253,34.28086043,65.71913957,,,,1.19251539,690.6154134,432.6881628,76,243.6666667,0.315352697,42,0.174273859,93.33333333,240.3333333,0.388522742,71.5,216,Acsf2_E01F.xls,Acsf2,,,
,Acsf2_E01_hF_F_s4,39.90561477,7.964791868,524.0918631,35.30379302,3.362970123,38.66676315,4.601821744,43.26858489,92.15910235,18.05405526,23.93520332,89.78684239,10.21315761,11.44766032,1.403346829,0.319684369,5.974687535,43.62897326,1.356327995,707.6109712,63.02230858,26.7395728,2.46885213,3.52945909,30.26903189,32.73788402,30.28442456,51.45112461,48.54887539,67.48676403,28.75090348,81.94709604,76.14214192,21.22359827,30.25665785,12.92765373,17.32900413,8.744974002,79.60557234,42.57612513,57.42387487,,,,1.538192388,1050.672072,380.8686576,87,242.3333333,0.359581239,33.33333333,0.137501546,76.5,240.3333333,0.31875,78.33333333,215.6666667,Acsf2_E01F.xls,Acsf2,,,
,Acsf2_E01_hF_F_s5,37.65993654,13.98292728,278.8549788,31.37145942,7.694450153,39.06590957,6.288477123,45.3543867,83.08158267,30.3129005,25.82143191,86.60551682,13.39448318,15.64960701,2.159769844,0.566122649,6.765698052,39.13767969,1.686422365,577.9894594,66.53316006,24.37050689,5.75668318,4.953725321,29.32423221,35.08091539,31.45224467,52.17808014,47.82191986,64.46911299,37.60187264,84.07478315,77.03061205,25.9859921,32.53983513,16.46027966,16.07955547,10.85587512,80.12074878,49.5622913,50.4377087,,,,1.709243336,868.759194,382.8125945,81.5,240.3333333,0.339705679,36.5,0.152071661,129.6666667,235.6666667,0.550049666,91.33333333,232.5,Acsf2_E01F.xls,Acsf2,,,
,Acsf2_E01_hF_F_s6,43.57791438,19.44922547,166.2057522,28.840564,9.810671256,32.49784854,9.638554217,42.13640275,76.71687516,46.15777381,25.88747849,77.12535103,22.87464897,29.65905329,1.631460485,0.547411438,7.221756886,49.22531335,1.572698187,589.9303748,67.91483227,24.92328785,9.283562823,6.024096386,25.80679862,35.09036145,29.28141136,54.51203209,45.48796791,57.78350531,44.25641026,82.96296296,79.83361065,26.03812845,33.70384898,15.21084337,16.9535284,6.626506024,82.68342714,47.2909699,52.7090301,,,,1.200610482,836.9213814,484.4262526,82.5,242.3333333,0.338330394,38,0.155740321,148.3333333,236,0.629315533,90.33333333,220,Acsf2_E01F.xls,Acsf2,,,
,Acsf2_E01_hF_F_s7,36.22928658,11.56657389,338.4536766,31.08789542,6.425182732,37.51307815,5.141391157,42.65446931,85.07450474,26.26445687,23.89793023,88.66103839,11.33896161,13.01879452,1.403981774,0.388219256,7.154227473,40.67754931,1.720362895,580.5376392,72.28794856,27.70818941,5.617026526,3.767338474,31.47552789,37.09255441,35.19539415,50.72155959,49.27844041,76.51015574,46.99856397,91.4914953,86.38451723,28.0405237,29.9162357,12.66518125,17.25105445,8.377873964,73.96053709,42.18159025,57.81840975,,,,1.12261488,720.8355999,473.6038834,77.66666667,241.6666667,0.321475512,41,0.169688517,,240.3333333,,83,222.3333333,Acsf2_E01F.xls,Acsf2,,,
,Acsf2_E01_hF_F_s8,37.2300097,19.25624813,191.5177901,25.54813069,9.648111281,35.04804659,9.608136845,44.65618344,78.20653995,41.78548872,27.13216014,80.00797133,19.99202867,26.08644807,1.952201024,0.483562679,6.555109956,42.23986408,1.551141462,632.0533698,60.77382734,20.04130684,5.636582018,9.411461908,30.77385038,36.4104324,19.28620453,65.37276648,34.62723352,47.56624744,20.82408875,68.64831039,72.33313168,18.38186598,29.72065829,,,,84.80318559,,,,,,,1065.815692,311.7941511,73,239.6666667,0.304432365,34.33333333,0.143178769,133,233.3333333,0.56975205,87,216,Acsf2_E01F.xls,Acsf2,,,
Female,Adck2_E01_hF_F_s1,40.61542966,23.4676242,175.0832082,30.16933716,13.0215317,43.19086886,10.4460925,53.63696136,75.64818926,43.89700272,32.04152693,80.45480802,19.54519198,24.41528148,2.010932631,0.643964047,7.17758937,45.77394905,1.693423506,544.7702093,39.88334728,17.95597673,3.348950716,5.231490094,23.18746683,26.53641754,13.34692974,66.33848074,33.66151926,43.95172243,13.43711764,51.57723502,56.83365939,4.638168042,12.65439968,7.609161896,5.04523778,2.531518698,88.07723107,59.31730459,40.68269541,,,,2.041765696,727.3408198,384.3503541,83.66666667,249.6666667,0.335164659,37,0.148182062,134,240.3333333,0.557289331,89,147.5,Adck2_E01F_v2.xls,Adck2,27.30667039,19.31401622,
,Adck2_E01_hF_F_s2,42.09689919,17.6601835,263.2196758,34.24656318,7.833544993,39.28961749,9.945355191,49.23497268,87.10691824,33.09285979,29.59016393,79.80022198,20.19977802,25.31293463,1.786464191,0.759301329,8.417746714,50.73372162,1.475957644,626.7924962,32.70796781,14.62398597,1.985711284,,,,,,,35.40339703,8.815298507,,,4.39683538,15.18258609,8.151183971,5.373406193,,87.55580009,60.26936027,39.73063973,,,,1.961319822,835.2936283,384.800181,109,250,0.436,44,0.176,124.6666667,238.3333333,0.523000832,89,145.6666667,Adck2_E01F_v2.xls,Adck2,26.60681991,20.35418539,
