Bone type,Bone #,R_BS,G_BS,R_G,Ronly_BS,Gonly_BS,sLS_BS,dLS_BS,LS_BS,R_LS,G_LS,MS_BS,sLS_LS,dLS_LS,dLS_sLS,MAR,BFR,BV_TV,Tb.Th,Tb.N,Tb.Sp,AP_BS,AP_R_BS,AP_G_BS,AP_RG_BS,AP_R_RG_BS,AP_L_BS,AP_NL_BS,AP_L_AP,AP_NL_AP,AP_R_R,AP_G_G,AP_RG_RG,AP_R_RG_R,AP_TRAP_BS,TRAP_BS,TRAP_L_BS,TRAP_NL_BS,AP_TRAP_R_RG_BS,TRAP_on_TRAP,TRAP_L_TRAP_on,TRAP_NL_TRAP_on,GFP_BS,GFP_R_BS,GFPonly_BS,Height_Width,Osteocytes_Density,Cortex_Width,AC_Intensity,RedBeads_Intensity,AC_RedBeads,AC_BR_Intensity,AC_BR_RedBeads,Calcein_Intensity,GreenBeads_Intensity,Calcein_GreenBeads,AP_Intensity,TRAP_Intensity,exp_name,gene_symbol,AP_Background_Intensity,TRAP_Background_Intensity,Osteocytes_N
Female,Acsf2_E01_hV_F_s1,57.48321307,26.29381759,200.2185611,39.62099524,10.97910218,50.61801018,17.86221784,68.48022802,83.78471854,41.95371864,43.17122293,74.26156282,25.73843718,35.28949476,1.079724877,0.462793371,14.69498582,54.78014206,3.061886177,273.3887961,86.59027406,37.47385747,9.924030124,16.03089406,53.50475153,63.66913198,23.62622946,72.82140393,27.17859607,65.58129019,38.70269819,91.77123815,92.97372723,24.57884745,25.28815752,16.13202005,6.798103632,13.19496783,80.73625756,70.73923419,29.26076581,,,,2.93168632,1433.227547,76.12738568,43,243,0.17816358,26.5,0.109722222,91.5,239.3333333,0.382845188,65.5,167,Acsf2_E01V.xls,Acsf2,,,
,Acsf2_E01_hV_F_s2,52.31550488,25.82087721,202.5870209,37.82952468,11.334897,49.16442168,14.48598021,63.65040188,82.20091782,40.57724918,39.06819105,77.22183299,22.77816701,29.50223911,1.148247959,0.447483152,12.5036129,41.55435185,3.012086631,291.770771,92.41789475,37.55850315,10.87255301,13.70097582,51.25947897,62.13203198,30.28586277,67.23097495,32.76902505,71.76531769,41.73979608,98.01507311,97.97715185,27.91713552,28.20132221,17.10664666,11.09467555,12.8531432,85.32809709,60.89022845,39.10977155,,,,2.621826623,1733.090622,78.43506434,41.33333333,244.3333333,0.169222586,29,0.118714482,102,240.3333333,0.424249484,85.5,168,Acsf2_E01V.xls,Acsf2,,,
,Acsf2_E01_hV_F_s3,60.7796349,27.11742415,254.2420557,43.20422313,6.834706512,49.54184175,17.57541177,67.11725352,90.58325934,35.64839468,42.34633264,73.76834598,26.23165402,35.75375776,1.080128052,0.457446926,20.10559126,56.34838477,3.585258175,224.1106115,92.89648578,42.85194031,7.121271591,16.29024235,59.14218266,66.19649361,26.00679094,71.77955524,28.22044476,70.50688173,26.03387228,97.37319331,97.30719361,20.63304391,24.79033186,20.46748413,10.69082549,17.45128093,84.78183042,65.68868587,34.31131413,,,,3.177091384,1536.543234,130.3326616,46,242.6666667,0.189380981,31.5,0.129621475,86,237,0.362974318,85,158.3333333,Acsf2_E01V.xls,Acsf2,,,
,Acsf2_E01_hV_F_s4,59.3477008,,,53.70886404,,,,,,,,,,,0.935926659,,17.11810246,49.13137025,3.4659888,239.6713618,91.20929247,51.38272628,,,,,,,,88.29286462,,,,21.55627885,29.96963326,,,,86.36716853,,,,,,2.708303239,1614.714482,97.90407332,46.33333333,242.3333333,0.191271494,28.66666667,0.118323925,77.5,240.6666667,0.322259682,85.33333333,171.3333333,Acsf2_E01V.xls,Acsf2,,,
,Acsf2_E01_hV_F_s5,51.1579825,22.8850304,213.3027079,36.31446947,9.70238182,45.95950944,14.84351303,60.80302246,84.1630817,40.2137059,37.82326775,75.6232124,24.3767876,32.43245105,1.288423288,0.469182834,11.29161358,43.11212073,2.967840922,299.0429629,86.76532958,36.15525672,8.195457105,12.07823961,48.23349633,55.4400978,31.50366748,63.76546682,36.23453318,69.7688134,40.35184649,94.90874159,93.07619722,27.06689888,28.00837129,15.96759981,11.9897009,13.67359413,81.55529899,57.08635927,42.91364073,,,,3.060787954,1256.663973,75.89838447,41.5,244.3333333,0.169387755,26,0.106122449,90,239.3333333,0.375998333,66.66666667,168,Acsf2_E01V.xls,Acsf2,,,
,Acsf2_E01_hV_F_s6,57.3251692,26.4138362,220.0836348,39.76097664,8.849643635,48.61062027,17.56419256,66.17481283,86.510275,39.63804719,41.8695027,73.85167781,26.14832219,36.16352872,1.07678436,0.459459519,16.56540488,51.01066565,3.520133511,242.7535634,88.7791853,39.18521634,8.112118564,16.33958691,55.52480325,63.63692181,25.14226349,71.63823647,28.36176353,68.97686444,32.24252502,96.71402867,96.92699641,23.94899728,24.36681645,17.7109677,6.655848754,15.14817406,85.11599767,72.70910142,27.29089858,,,,2.769716561,1321.728748,75.36781447,44,243.3333333,0.180734593,30.33333333,0.124620242,96.66666667,238.6666667,0.405066629,78.33333333,163.6666667,Acsf2_E01V.xls,Acsf2,,,
,Acsf2_E01_hV_F_s7,57.08119482,14.65923452,399.3723138,47.54383536,3.964277881,51.54198218,10.69495664,62.23693882,93.64355582,23.51822558,36.46594773,82.8382186,17.1617814,20.72782302,1.157262061,0.476456314,19.80122239,56.27162279,3.519187688,227.9490434,87.64086835,45.59905614,3.293282515,9.752687701,55.13029936,58.42358187,29.94118524,66.131737,33.868263,79.98524321,22.43101628,92.72408001,94.62458379,19.92183617,20.38527959,13.81116133,7.444767723,12.71648152,86.20503216,64.84574337,35.15425663,,,,,1493.523832,115.1308771,41,244.3333333,0.167794855,28.33333333,0.1159598,,240.6666667,,79.66666667,152,Acsf2_E01V.xls,Acsf2,,,
,Acsf2_E01_hV_F_s8,60.43301402,27.43903213,221.8820405,42.80672152,9.81273963,52.61946115,17.6262925,70.24575365,86.0363364,38.95885046,43.93602307,75.00481314,24.99518686,33.39848559,1.071682109,0.470596742,13.84599963,48.60918476,3.184045978,265.4598722,93.72907833,45.89377371,9.384066057,18.17674626,64.07051997,73.45458603,20.2744923,78.36904762,21.63095238,70.10397137,31.91650854,96.67655786,97.86943924,23.91765231,24.60540359,18.84928767,5.756115921,16.5866994,87.9557872,77.3100502,22.6899498,,,,3.007589363,1440.132539,96.09610145,44.33333333,243.6666667,0.181958218,30.66666667,0.125868583,96.33333333,239.3333333,0.402556022,87,161.3333333,Acsf2_E01V.xls,Acsf2,,,
Female,Adck2_E01_hV_F_s1,49.70726478,29.66506504,167.3905959,30.84003776,10.79783802,41.63787579,18.86722701,60.5051028,82.06715507,49.10138853,39.68616491,68.8314564,31.1685436,45.31581623,1.455192045,0.571688074,12.80104863,50.41418876,2.672355942,327.4765996,67.64514025,23.88562731,8.371385084,12.76364427,36.64927158,45.02065666,22.62448358,66.55416265,33.44583735,47.82324771,28.30882353,73.32916927,73.37831955,15.01413351,14.54060553,9.155756139,5.384849388,7.403783431,87.32193298,62.36550485,37.63449515,,,,3.393031229,1427.711829,223.8326714,48.33333333,251,0.192563081,29,0.115537849,83.66666667,235,0.356028369,41,148,Adck2_E01V_v2.xls,Adck2,,18.57208054,
,Adck2_E01_hV_F_s2,50.99664374,28.29157277,192.0459248,35.88812121,10.32619913,46.51171076,17.96537364,64.4770844,83.96550447,43.79088123,41.22122902,72.2436143,27.7563857,38.5556998,1.599167565,0.661383773,14.90013919,43.26995717,3.437589788,248.4871668,73.73758361,30.29678821,7.233721432,17.30271669,47.41267788,54.64639931,20.29969815,72.91426928,27.08573072,60.53087832,23.27436698,85.14588859,83.2166509,14.23571605,14.36253116,9.799686491,4.067048938,9.346701164,90.15950381,70.1417004,29.8582996,,,,4.975249164,1685.081724,191.3684015,47,250.6666667,0.187633466,27.5,0.109792829,72.66666667,237,0.306586967,46,159,Adck2_E01V_v2.xls,Adck2,19.31150536,21.17263568,
