Sample_Name,Sample Number,BV/TV,Tb.Th,Tb.N,Tb.Sp,Conn.D,App.D,Tiss.D,TV,BV,SMI,BS,BS/BV,BS/TV,BS/MV,DA,exp_name,gene_symbol
4921509C19Rik_E01_M01_V,6099,23.25,52.1,5.3759,177.6,210.3536,234.0927,824.553,1.4499,0.3371,1.3873,13.2527,43.2398,9.140423477,11.90932782,1.8603,4921509C19Rik_E01_CV.xlsx,4921509C19Rik
4921509C19Rik_E01_M02_V,6100,15.34,48.2,4.6064,211.1,119.0451,172.4994,845.5016,1.1214,0.172,2.1629,7.1875,49.0827,6.409398966,7.570570887,2.1594,4921509C19Rik_E01_CV.xlsx,4921509C19Rik
4921509C19Rik_E01_M03_V,6101,26.84,58.2,5.1649,188.3,195.8603,255.5981,829.4944,1.9861,0.5332,1.0049,18.6837,37.4995,9.40723025,12.85959116,1.843,4921509C19Rik_E01_CV.xlsx,4921509C19Rik
4921509C19Rik_E01_M04_V,6102,19.28,47.2,5.3661,180.8,198.3407,204.9315,781.4029,1.4596,0.2815,1.7764,12.0154,48.7748,8.231981365,10.19896443,1.7809,4921509C19Rik_E01_CV.xlsx,4921509C19Rik
4921509C19Rik_E01_M05_V,6104,20.69,52.7,4.4883,219.5,167.9268,195.7448,799.4285,1.8371,0.3801,1.4529,14.8573,43.1165,8.087365957,10.197186,1.8903,4921509C19Rik_E01_CV.xlsx,4921509C19Rik
4921509C19Rik_E01_M06_V,6105,24.63,51.6,5.5657,172.9,232.0435,235.5542,821.9779,1.8509,0.4559,1.1693,18.059,42.913,9.756875034,12.94551971,1.8004,4921509C19Rik_E01_CV.xlsx,4921509C19Rik
4921509C19Rik_E01_M07_V,6106,20,47.5,5.134,190.5,194.0264,204.0964,793.6519,1.4792,0.2958,1.5541,12.3248,47.0982,8.33207139,10.4147372,1.8787,4921509C19Rik_E01_CV.xlsx,4921509C19Rik
4921509C19Rik_E01_M08_V,6107,22.12,49.9,5.1166,192.6,203.4312,223.2355,813.9047,1.6861,0.373,1.3251,14.9983,44.3066,8.895261254,11.42205468,1.8423,4921509C19Rik_E01_CV.xlsx,4921509C19Rik
4930563E22Rik_M01_CV,13103,19.86,50.6,5.2173,187.1,170.1212,209.3858,780.2197,1.6753,0.3327,1.6503,13.7398,46.1439,8.201396765,10.23372561,1.8728,4930563E22Rik_E01_CV.xlsx,4930563E22Rik
4930563E22Rik_M02_CV,13104,21.78,51.5,5.0352,194.9,205.9649,221.2868,834.6445,1.5318,0.3336,1.4794,13.3844,44.6458,8.737694216,11.1704223,2.0732,4930563E22Rik_E01_CV.xlsx,4930563E22Rik
4930563E22Rik_M03_CV,13105,23.76,55.2,4.9713,190.4,203.8578,236.2502,829.2159,1.4299,0.3397,1.2474,12.7236,40.894,8.898244632,11.67088608,1.9652,4930563E22Rik_E01_CV.xlsx,4930563E22Rik
