Sample_Name,Sample Number,BV/TV,Tb.Th,Tb.N,Tb.Sp,Conn.D,App.D,Tiss.D,TV,BV,SMI,BS,BS/BV,BS/TV,BS/MV,DA,exp_name,gene_symbol
4921509C19Rik_E01_M_total mean,,15.1375,54.9875,4.973075,197.5625,107.507,138.962375,750.049,1.696125,0.2582375,2.574975,11.0272625,47.845275,6.45831993,7.63168873,1.4335,4921509C19Rik_E01_CF.xlsx,4921509C19Rik
4930563E22Rik_E01_M_total mean,,18.6675,55.925,5.203925,183.0625,127.216425,161.042,747.0215,2.0485,0.38475,2.1895625,15.530375,45.8209375,7.535538994,9.351752881,1.49865,4930563E22Rik_E01_CF.xlsx,4930563E22Rik
Abca7_E01_M_total mean,,15.85,54.51428571,4.942757143,195.7714286,95.76414286,145.4162571,759.5987143,1.854757143,0.309228571,2.498128571,12.07574286,49.79757143,6.352544709,7.718593562,1.422528571,Abca7_E01_CF.xlsx,Abca7
Acap1_E01_M_total mean,,18.732,59.76,5.13534,187.52,117.87314,164.48182,764.1006,1.92662,0.35868,2.2501,14.15312,42.80492,7.318656876,9.007131664,1.51158,Acap1_E01_CF.xlsx,Acap1
Acsf2_E01_M_total mean,,15.37697095,55.475,5.14255,190.525,111.5688875,149.1583125,749.588,1.5302125,0.2341875,2.8006625,9.8187375,48.6054,6.415004658,7.620947974,1.35215,Acsf2_E01_CF.xlsx,Acsf2
Acsm2_E01_M_total mean,,21.47125,61.375,5.3225875,180.275,134.790425,181.0772,761.732375,1.9169625,0.416225,2.0345625,15.3618625,41.413175,7.96396723,10.25820476,1.4774375,Acsm2_E01_CF.xlsx,Acsm2
Adck2_E01_M_total mean,,16.8225,56.4,5.0757625,194.1375,110.4791875,149.2888125,740.19225,1.4804375,0.2501375,2.5014875,10.033925,45.773225,6.749295709,8.188671555,1.5178375,Adck2_E01_CF.xlsx,Adck2
Adck5_E01_M_total mean,,18.6675,55.45,5.495425,174.2125,136.15925,163.008125,736.147,1.9056125,0.364275,2.340825,14.6668625,49.0484375,7.614075058,9.564120941,1.4145625,Adck5_E01_CF.xlsx,Adck5
Adgrb2_E01_M_total mean,,20.12125,62.8,5.1362875,183.6125,119.9409,175.666025,788.379625,1.9935625,0.4047,2.1770125,15.0757125,41.227125,7.543008367,9.479289641,1.507,Adgrb2_E01_CF.xlsx,Adgrb2
Adora2b_M_total mean,,12.53587792,54.94285714,4.709542857,209.8,69.18718571,126.6229,640.5172857,1.857314286,0.232585714,3.024485714,9.966942857,50.01608571,5.359898163,6.154951613,1.359271429,Adora2b_E01_CF.xlsx,Adora2b
