Bone type,Bone #,R_BS,G_BS,R_G,Ronly_BS,Gonly_BS,sLS_BS,dLS_BS,LS_BS,R_LS,G_LS,MS_BS,sLS_LS,dLS_LS,dLS_sLS,MAR,BFR,BV_TV,Tb.Th,Tb.N,Tb.Sp,AP_BS,AP_R_BS,AP_G_BS,AP_RG_BS,AP_R_RG_BS,AP_L_BS,AP_NL_BS,AP_L_AP,AP_NL_AP,AP_R_R,AP_G_G,AP_RG_RG,AP_R_RG_R,AP_TRAP_BS,TRAP_BS,TRAP_L_BS,TRAP_NL_BS,AP_TRAP_R_RG_BS,TRAP_on_TRAP,TRAP_L_TRAP_on,TRAP_NL_TRAP_on,GFP_BS,GFP_R_BS,GFPonly_BS,Height_Width,Osteocytes_Density,Cortex_Width,AC_Intensity,RedBeads_Intensity,AC_RedBeads,AC_BR_Intensity,AC_BR_RedBeads,Calcein_Intensity,GreenBeads_Intensity,Calcein_GreenBeads,AP_Intensity,TRAP_Intensity,exp_name,gene_symbol,AP_Background_Intensity,TRAP_Background_Intensity,Osteocytes_N
Male,Acsf2_E01_hF_M_s1,40.45289411,31.46568813,128.4964921,23.19877675,14.21157077,37.41034751,17.25411737,54.66446488,73.9219576,57.60168569,35.95929112,68.47635671,31.52364329,46.1317597,1.663926517,0.596818973,9.775706805,44.15853977,2.232113015,404.2102374,73.65785531,17.86921926,11.28680152,13.96495844,31.8341777,43.12097922,30.5368761,58.56563487,41.43436513,46.44647509,35.53938649,88.18096302,82.76646435,20.92642852,26.18532108,12.97501393,13.21030715,7.594313226,77.99127978,49.6194309,50.3805691,,,,1.184705382,778.6109524,455.2218609,68.33333333,240,0.284685016,34.33333333,0.143045621,104.3333333,233,0.447837096,83.66666667,182.6666667,Acsf2_E01F.xls,Acsf2,,,
,Acsf2_E01_hF_M_s2,35.03571429,28.59620412,122.542253,21.76328849,15.32377832,37.08706682,13.2724258,50.35949262,69.56994469,56.78230648,31.81595921,73.64774883,26.35225117,35.8630542,1.32326533,0.42195202,12.65906237,44.4434698,2.848950717,306.6002304,68.77217512,18.77154227,12.29601107,11.37847378,30.15001605,42.44602712,26.326148,61.74576564,38.25423436,53.44572189,40.75862604,87.96559633,85.78839985,16.25781663,23.06797604,12.04499554,11.02298049,6.81268151,80.27589594,52.31928921,47.68071079,,,,0.98546491,745.8749805,521.0213214,64.33333333,240.3333333,0.267761871,32,0.133180752,119.6666667,238,0.502879289,87.5,209,Acsf2_E01F.xls,Acsf2,,,
,Acsf2_E01_hF_M_s3,37.43879058,31.48479387,119.7316668,21.62883033,15.67483362,37.30366395,15.80996025,53.1136242,70.52406473,59.18089279,34.46179222,70.29504248,29.70495752,42.40055386,1.407344348,0.484680632,14.59357309,46.70562812,3.121901408,273.6206123,66.71091837,17.49854127,11.7773035,12.68699125,30.18553252,41.96283602,24.74808235,62.7580577,37.2419423,46.68229803,35.98562712,84.0226856,80.47401289,18.99849954,25.3718591,13.61032244,11.76153666,7.357449507,86.2273554,53.58614648,46.41385352,,,,0.935716904,933.7200473,465.8834556,65,242.3333333,0.268204239,34,0.140289317,115.6666667,232,0.498660383,80.66666667,204.6666667,Acsf2_E01F.xls,Acsf2,,,
,Acsf2_E01_hF_M_s4,31.99568614,29.18037578,101.953049,18.23909553,17.1156348,35.88958497,13.75659062,49.64617558,64.36659321,63.30801262,31.7013831,72.32539417,27.67460583,38.324569,1.456338981,0.48031838,12.64561724,47.3566644,2.35213852,376.3351894,55.80413115,13.52589416,10.62561947,9.851899282,23.37779344,34.00341291,21.80071824,60.99200328,39.00799672,42.42908598,31.51129062,75.33506256,73.45167592,15.34311057,24.50376624,11.27063189,12.12741455,5.255532866,82.49367005,48.10358249,51.89641751,,,,1.495847628,893.4419574,450.9896986,60,244,0.245884566,31,0.127024121,119.3333333,240,0.497222222,77.5,184.6666667,Acsf2_E01F.xls,Acsf2,,,
,Acsf2_E01_hF_M_s5,39.62243642,29.48925126,136.1175752,23.89868304,13.76549788,37.66418092,15.72375338,53.3879343,74.38761493,54.94172404,34.55584384,70.67066103,29.32933897,41.55346174,1.466374355,0.50515388,11.93076774,48.27226659,2.432490904,363.0974033,76.44124014,21.42431824,11.32988302,13.78125575,35.20557399,46.53545701,29.90578313,60.75321761,39.24678239,54.2206829,35.97495816,88.5476969,88.71620009,23.14479448,26.21057322,14.65117444,11.55939878,9.12180708,86.79518407,55.88749618,44.11250382,,,,1.732732261,956.1923019,315.753674,67,241.6666667,0.277336657,32,0.132415803,108.6666667,226.3333333,0.483551214,83,187.5,Acsf2_E01F.xls,Acsf2,,,
,Acsf2_E01_hF_M_s6,37.34305301,25.46844099,167.7869822,25.24390582,9.307803398,38.00910545,15.79918789,53.80829334,81.0541962,48.30779785,34.80374062,70.63800595,29.36199405,41.56685011,1.361651591,0.452424066,11.90082991,48.07152543,2.464206656,359.2935402,69.95972259,19.78827504,7.999345799,11.99704688,32.3181986,40.86993971,22.14839424,64.85404667,35.14595333,54.28155974,29.88179527,79.39739414,74.10071942,18.03741826,24.06028593,13.06140027,10.35437431,6.9213732,82.10770505,55.78034682,44.21965318,,,,1.077830048,824.4564482,480.5910349,68,239.3333333,0.283333333,36,0.15,93.5,237.3333333,0.394477282,89,203,Acsf2_E01F.xls,Acsf2,,,
,Acsf2_E01_hF_M_s7,35.46830715,27.13415157,121.3685613,21.53328008,15.24315622,36.91981809,13.93502707,50.85484516,69.7855137,57.61091307,32.39493611,72.60357323,27.39642677,37.73546234,1.577670685,0.525024397,10.74715622,50.54053223,2.107708504,432.4598448,67.75314707,18.88543842,11.01619779,11.278319,30.16375742,41.32527808,25.77577302,61.58125673,38.41874327,53.24708149,38.02408046,87.26003924,85.0445962,18.7764657,24.64676837,13.98591989,10.76489698,6.899539999,74.82887902,56.42189469,43.57810531,,,,1.176187295,864.298327,456.2330337,66,241.3333333,0.271604938,35,0.144032922,122,234.6666667,0.524058577,84.66666667,205.3333333,Acsf2_E01F.xls,Acsf2,,,
,Acsf2_E01_hF_M_s8,40.42482101,25.86673701,156.3115047,26.64177735,12.08369336,38.72547071,13.78304366,52.50851436,77.01307078,49.26770136,33.14577901,73.71922785,26.28077215,35.67499238,1.556587825,0.492905486,10.9083995,45.27872019,2.412591193,369.4898744,67.2084224,21.87115923,10.17452853,12.1510844,34.02224363,44.19677216,27.04328932,62.26991925,37.73008075,54.15199746,36.90462921,90.45202277,84.22849829,17.21958412,22.67192596,10.68573446,9.260834436,6.792650196,80.46949209,53.57178275,46.42821725,,,,1.552060348,904.4412918,345.1337164,67.5,243.3333333,0.277777778,34,0.139917695,96.33333333,233.8333333,0.413124092,82,196.5,Acsf2_E01F.xls,Acsf2,,,
Male,Adck2_E01_hF_M_s1,,31.1379881,,,30.99843794,,,,,,,,,,,,10.53176091,48.67475673,2.147432805,419.3984936,10.78485829,,4.740677241,,,,,,,,14.51063825,,,1.430873148,10.64171184,,,,86.42465212,,,,,,1.218087444,735.055373,492.3810057,,250.6666667,,,,86,237.3333333,0.365810747,93,129,Adck2_E01F_v2.xls,Adck2,29.83321926,18.88814592,
,Adck2_E01_hF_M_s2,,27.83895057,,,27.83895057,,,,,,,,,,,,15.33789784,55.74508908,2.752313992,307.6765537,12.12712234,,5.211404612,,,,,,,,16.51471438,,,1.667815467,9.573752822,,,,94.9467564,,,,,,0.924747408,587.1075123,638.1848626,83,250.3333333,0.332,59,0.236,96.5,231,0.428491784,98,136,Adck2_E01F_v2.xls,Adck2,30.485298,19.34227163,
