Sample_Name,Sample Number,BV/TV,Tb.Th,Tb.N,Tb.Sp,Conn.D,App.D,Tiss.D,TV,BV,SMI,BS,BS/BV,BS/TV,BS/MV,DA,exp_name,gene_symbol
4921509C19Rik_E01_M01_CF,6061,16.03,57.9,4.8679,204.3,108.5087,145.5654,782.168,1.7418,0.2792,2.481,11.2159,44.1309,6.439258239,7.668467113,1.4379,4921509C19Rik_E01_CF.xlsx,4921509C19Rik
4921509C19Rik_E01_M02_CF,6062,13.52,66.5,4.305,232.2,57.0947,129.7669,805.065,1.4362,0.1942,2.9961,6.7619,38.7747,4.708188275,5.444363929,1.5099,4921509C19Rik_E01_CF.xlsx,4921509C19Rik
4921509C19Rik_E01_M03_CF,6063,17.3,62.4,4.7913,199.7,99.9541,156.3529,787.318,1.8809,0.3253,2.5628,12.4908,41.9712,6.640863416,8.029570584,1.4312,4921509C19Rik_E01_CF.xlsx,4921509C19Rik
4921509C19Rik_E01_M04_CF,6064,14.07,49.1,4.9222,198,116.243,131.646,721.271,1.7162,0.2415,2.4162,11.3157,52.6172,6.5934623,7.673221672,1.5302,4921509C19Rik_E01_CF.xlsx,4921509C19Rik
4921509C19Rik_E01_M05_CF,6066,17.34,54.6,5.3725,177.8,137.9378,152.9426,766.787,1.816,0.315,2.4358,13.553,47.6175,7.463105727,9.029313791,1.3926,4921509C19Rik_E01_CF.xlsx,4921509C19Rik
4921509C19Rik_E01_M06_CF,6067,16.96,49.9,5.7309,168,162.3949,149.6716,717.791,1.6565,0.281,2.3903,13.1132,52.3208,7.916208874,9.533406034,1.3757,4921509C19Rik_E01_CF.xlsx,4921509C19Rik
4921509C19Rik_E01_M07_CF,6068,12.83,51,4.8873,199.1,83.1786,122.5984,729.762,1.7012,0.2183,2.7075,10.0466,52.5108,5.90559605,6.774967968,1.4105,4921509C19Rik_E01_CF.xlsx,4921509C19Rik
4921509C19Rik_E01_M08_CF,6069,13.05,48.5,4.9075,201.4,94.7442,123.1552,690.23,1.6202,0.2114,2.6101,9.721,52.8191,5.999876558,6.900198751,1.38,4921509C19Rik_E01_CF.xlsx,4921509C19Rik
4930563E22Rik_M01_CF,13063,20.48,59,5.0001,189.3,125.2943,171.2466,750.014,2.0671,0.4234,1.8768,16.1816,40.832,7.828165062,9.844618848,1.5727,4930563E22Rik_E01_CF.xlsx,4930563E22Rik
4930563E22Rik_M02_CF,13064,15.86,52.9,5.0938,186.7,116.8588,144.8694,750.153,1.8997,0.3012,2.5338,13.1966,48.8397,6.946675791,8.255614639,1.3953,4930563E22Rik_E01_CF.xlsx,4930563E22Rik
4930563E22Rik_M03_CF,13065,20.5,62.2,5.3185,180.1,111.9511,176.188,768.457,1.6525,0.3387,2.2448,12.4557,39.8771,7.537488654,9.480666768,1.5957,4930563E22Rik_E01_CF.xlsx,4930563E22Rik
4930563E22Rik_M04_CF,13066,20.23,57,5.3505,172.9,150.0921,172.7778,763.029,2.1487,0.4347,2.0148,17.6007,43.4078,8.191324987,10.26878646,1.4704,4930563E22Rik_E01_CF.xlsx,4930563E22Rik
4930563E22Rik_M05_CF,13068,23.67,62.4,5.4329,172.1,145.6203,192.4041,754.051,2.1975,0.5202,1.7509,18.9758,38.6269,8.635176337,11.31330114,1.6395,4930563E22Rik_E01_CF.xlsx,4930563E22Rik
4930563E22Rik_M06_CF,13069,22.26,59.7,5.4899,170.9,134.9195,184.1917,738.531,2.2606,0.5031,1.779,19.175,40.3321,8.482261347,10.91038407,1.5971,4930563E22Rik_E01_CF.xlsx,4930563E22Rik
4930563E22Rik_M07_CF,13070,9.45,43.3,4.6788,209.3,77.112,100.9538,710.135,1.9647,0.1856,3.0176,9.8533,64.5885,5.01516771,5.538362093,1.2887,4930563E22Rik_E01_CF.xlsx,4930563E22Rik
4930563E22Rik_M08_CF,13071,16.89,50.9,5.2669,183.2,155.8833,145.7046,741.802,2.1972,0.3711,2.2988,16.8043,50.0634,7.648052066,9.202289031,1.4298,4930563E22Rik_E01_CF.xlsx,4930563E22Rik
Abca7_E01_M01_CF,11960,15,56.3,4.9211,195.1,103.5203,143.3383,791.216,1.9368,0.2905,2.6933,12.3979,47.6792,6.401228831,7.53076596,1.3368,Abca7_E01_CF.xlsx,Abca7
Abca7_E01_M02_CF,11961,24.9,71,4.9879,189.9,105.0625,204.4444,788.919,2.2701,0.5653,1.4646,17.8005,32.7609,7.841284525,10.44140075,1.6106,Abca7_E01_CF.xlsx,Abca7
Abca7_E01_M03_CF,11962,26.53,67.9,5.0921,182.8,116.3525,216.2063,791.494,2.1443,0.5689,1.2202,18.3791,33.5372,8.571142098,11.66630697,1.8033,Abca7_E01_CF.xlsx,Abca7
Abca7_E01_M04_CF,11963,10.97,44.1,4.9868,197,88.1682,110.4189,720.296,1.6503,0.1811,2.9434,9.0013,60.3978,5.454341635,6.126667574,1.3258,Abca7_E01_CF.xlsx,Abca7
Abca7_E01_M05_CF,11965,9.44,43.1,4.7358,210,75.443,102.2065,712.78,1.5972,0.1508,3.1607,7.719,63.5418,4.832832457,5.336698009,1.2388,Abca7_E01_CF.xlsx,Abca7
Abca7_E01_M06_CF,11966,11.66,49.6,4.8461,200.8,79.7224,118.701,751.545,1.6996,0.1982,3.0676,9.2003,54.9315,5.413214874,6.12781404,1.3226,Abca7_E01_CF.xlsx,Abca7
Abca7_E01_M07_CF,12007,12.45,49.6,5.0295,194.8,102.0801,122.5984,760.941,1.685,0.2098,2.9371,10.0321,55.7346,5.953768546,6.800501627,1.3198,Abca7_E01_CF.xlsx,Abca7
Acap1_E01_M01_CF,12019,21.22,64.4,5.0141,192.6,102.4583,178.9023,760.732,1.7422,0.3697,2.0316,12.93,37.5625,7.421650786,9.420765027,1.6329,Acap1_E01_CF.xlsx,Acap1
Acap1_E01_M02_CF,12020,17.71,57.7,5.0369,192.2,106.1069,154.8218,741.454,1.8802,0.3329,2.271,13.3253,43.7264,7.087171577,8.611969237,1.5641,Acap1_E01_CF.xlsx,Acap1
Acap1_E01_M03_CF,12021,19.29,64.8,4.7773,203.7,84.4101,173.4041,802.908,1.6941,0.3268,2.108,11.4314,37.5293,6.747771678,8.360564616,1.7094,Acap1_E01_CF.xlsx,Acap1
Acap1_E01_M04_CF,12022,17.22,54.9,5.4114,177,136.7922,154.265,749.805,2.2552,0.3884,2.4841,17.0344,48.4767,7.553387726,9.124919649,1.3722,Acap1_E01_CF.xlsx,Acap1
Acap1_E01_M05_CF,12024,18.22,57,5.437,172.1,159.5982,161.0159,765.604,2.0614,0.3756,2.3558,16.0445,46.7297,7.78330261,9.517439791,1.2793,Acap1_E01_CF.xlsx,Acap1
Acsf2_E01_M01_CF,4422,11.00173353,51.9,4.7593,207.2,77.3876,121.8328,743.055,1.6152,0.1777,3.154,8.2457,54.6429,5.105064388,5.73613913,1.2411,Acsf2_E01_CF.xlsx,Acsf2
Acsf2_E01_M02_CF,4423,14.07791911,50,5.1714,187.9,114.0825,138.5361,718,1.7531,0.2468,2.8483,11.1297,52.5441,6.348582511,7.388767178,1.241,Acsf2_E01_CF.xlsx,Acsf2
Acsf2_E01_M03_CF,4424,12.09235586,49.3,4.949,199.1,84.4639,128.7229,751.406,1.5332,0.1854,3.0354,8.6011,54.9874,5.609900861,6.381584805,1.3664,Acsf2_E01_CF.xlsx,Acsf2
