Sample Name,Sample Number,Tt.Ar,Ct.Ar,Ma.Ar,Ct.Ar/Tt.Ar,Ct.Th,Ps.Pm,Ec.Pm,I_max,I_min,J,I_max/C_max,I_min/C_min,Ct.Po,Po.A,BMD,TMD,Length,exp_name,gene_symbol
CCC_E01_F01_CF                            ,84,1.35888,0.60016,0.7576800000000001,0.4416578358648299,0.1561,4.17889079947259,3.1931911367746335,0.14808,0.07161,0.21969,0.17774,0.12899,0.0017300000000000093,0.0010399999999999299,1207.2935,1299.2186,13.31,CCC_E01.xlsx,CCC
CCC_E01_F02_CF                            ,85,1.51341,0.64509,0.8667499999999999,0.42624933098102963,0.1609,4.410277452903382,3.391281134894545,0.17471,0.08807,0.26278,0.20471,0.14383,0.0024199999999999777,0.0015699999999999603,1189.5118,1280.8593,14.46,CCC_E01.xlsx,CCC
CCC_E01_F03_CF                            ,86,1.52676,0.62108,0.9043199999999999,0.4067960910686683,0.1516,4.434167401328429,3.475214816873682,0.16682,0.08955,0.25637,0.19383,0.14433,0.0021900000000000253,0.0013600000000000279,1181.8727,1272.5142,14.44,CCC_E01.xlsx,CCC
CCC_E01_F04_CF                            ,87,1.45817,0.63765,0.81902,0.43729469129113896,0.1615,4.319809611189836,3.297320286445248,0.16074,0.08601,0.24675,0.19032,0.14328,0.0023400000000000087,0.0014999999999999458,1197.1509,1286.3799,14.43,CCC_E01.xlsx,CCC
CCC_E01_F05_CF                            ,89,1.50351,0.64355,0.8584799999999999,0.4280317390639238,0.1584,4.396566209677993,3.392438687957091,0.17483,0.08642,0.26125,0.19519,0.14893,0.0022999999999999687,0.0014800000000000368,1230.9808,1328.5552,14.4,CCC_E01.xlsx,CCC
CCC_E01_F06_CF                            ,90,1.48239,0.63769,0.84308,0.43017694398909867,0.1578,4.373177967118291,3.3800790476845832,0.16534,0.08682,0.25217,0.19571,0.1474,0.0025300000000000322,0.0016200000000000658,1226.6157,1324.7677,14.35,CCC_E01.xlsx,CCC
CCC_E01_F07_CF                            ,91,1.54497,0.64871,0.8946799999999999,0.4198851757639307,0.1579,4.436951402738689,3.4375362699981715,0.17267,0.09446,0.26714,0.19972,0.15789,0.0024300000000000432,0.0015800000000000258,1217.0508,1315.9731,14.25,CCC_E01.xlsx,CCC
CCC_E01_F08_CF                            ,92,1.55785,0.66339,0.8926999999999999,0.42583689058638513,0.1632,4.45520566812914,3.42423404321986,0.17705,0.09721,0.27426,0.20251,0.15981,0.0026399999999999757,0.0017599999999999838,1231.9437,1329.0687,15,CCC_E01.xlsx,CCC
CCC_E03_F01_CF                            ,280,1.64875,0.71881,0.9278399999999999,0.435972706595906,0.1714,4.588423744296793,3.5050578048889953,0.19735,0.11326,0.31061,0.2261,0.18068,0.0029200000000000337,0.002100000000000102,1216.1521,1303.2628,15.04,CCC_E03.xlsx,CCC_E03.xlsx
CCC_E03_F02_CF                            ,281,1.69413,0.71044,0.9818999999999999,0.41935388665568757,0.1664,4.6638491960899096,3.610609518156944,0.20972,0.11226,0.32198,0.22352,0.17827,0.0025199999999999667,0.0017900000000000693,1222.1222,1313.598,15.26,CCC_E03.xlsx,CCC_E03.xlsx
