Sample Name,Sample Number,Tt.Ar,Ct.Ar,Ma.Ar,Ct.Ar/Tt.Ar,Ct.Th,Ps.Pm,Ec.Pm,I_max,I_min,J,I_max/C_max,I_min/C_min,Ct.Po,Po.A,BMD,TMD,Length,exp_name,gene_symbol
CCC_E01_M01_CF                            ,94,1.71331,0.71946,0.9925700000000001,0.41992400674717356,0.1631,4.761881434537356,3.729793738199505,0.23991,0.10305,0.34296,0.24046,0.17534,0.0017700000000000493,0.0012800000000000589,1211.2092,1298.7051,14.68,CCC_E01.xlsx,CCC
CCC_E01_M02_CF                            ,95,1.63666,0.72178,0.91309,0.4410079063458507,0.1681,4.609409799356008,3.54946523921727,0.21926,0.1006,0.31985,0.23276,0.17413,0.0024699999999999722,0.0017900000000000693,1229.6328,1313.9189,,CCC_E01.xlsx,CCC
CCC_E01_M03_CF                            ,96,1.74932,0.72925,1.0186899999999999,0.41687627192280424,0.1641,4.7912507057623746,3.7506476812602005,0.24455,0.10825,0.3528,0.24817,0.18146,0.0018899999999999473,0.0013800000000000479,1206.2664,1291.3229,14.46,CCC_E01.xlsx,CCC
CCC_E01_M04_CF                            ,97,1.62644,0.68543,0.9395200000000001,0.4214296254396104,0.1613,4.589233323556601,3.5741762835473945,0.20677,0.09869,0.30546,0.2197,0.15795,0.0021700000000000053,0.0014899999999999913,1224.8182,1317.9631,14.51,CCC_E01.xlsx,CCC
CCC_E01_M05_CF                            ,99,1.67398,0.711,0.96124,0.4247362573029546,0.166,4.651220996293463,3.60405365521838,0.22109,0.10378,0.32487,0.23161,0.17379,0.0024399999999999977,0.0017400000000000748,1222.3789,1312.7635,14.68,CCC_E01.xlsx,CCC
CCC_E01_M06_CF                            ,100,1.6369,0.75931,0.87616,0.46387073126030914,0.1858,4.628255914998124,3.4525644063915877,0.22791,0.10364,0.33155,0.24209,0.17566,0.0018700000000000383,0.0014299999999999313,1239.005,1322.6493,14.76,CCC_E01.xlsx,CCC
CCC_E01_M07_CF                            ,101,1.74274,0.77781,0.96346,0.44631442441213265,0.1797,4.728999595566221,3.5961700858641996,0.23752,0.12036,0.35787,0.25025,0.19412,0.0018799999999999928,0.0014699999999999713,1230.4673,1312.6351,14.65,CCC_E01.xlsx,CCC
CCC_E01_M08_CF                            ,102,1.54144,0.68444,0.8553899999999999,0.44402636495744247,0.1676,4.442172678702788,3.38362532125835,0.18409,0.09507,0.27916,0.20625,0.16295,0.0023499999999999632,0.0016100000000000003,1231.1735,1322.0073,14.12,CCC_E01.xlsx,CCC
CCC_E03_M01_CF                            ,250,2.06148,0.88262,1.17687,0.42814870869472416,0.1905,5.166458900469995,3.9640265994911443,0.31549,0.16844,0.48393,0.30587,0.24093,0.0022499999999999742,0.0019900000000000473,1242.0221,1324.8961,15.14,CCC_E03.xlsx,CCC_E03.xlsx
CCC_E03_M02_CF                            ,251,1.89278,0.84745,1.0425999999999997,0.447727680977187,0.1954,5.045274520105449,3.802427438345697,0.3003,0.13264,0.43295,0.28717,0.20997,0.0032200000000000006,0.00273000000000001,1223.2776,1303.6481,14.85,CCC_E03.xlsx,CCC_E03.xlsx
