Sample Name,Sample Number,TV,BV,BS,BV/TV,BS/TV,BS/BV,Conn.D,SMI,Tb.N,Tb.Th,Tb.Sp,Tb.Th.SD,Tb.Sp.SD,DA,BMD,TMD,exp_name
CCC_E01_M01_CV,133,1.7397,0.4982,18.9027,0.2863,10.865494050698397,40.6807,244.7292,1.1334,6.2588,53.900000000000006,149.60000000000002,14.4,51.9,1.7877,229.3038,792.153,CCC_E01.xlsx
CCC_E01_M02_CV,134,1.8854,0.4683,18.2402,0.2484,9.674445740956827,42.2817,205.7881,1.4835,5.6675,54,170.1,15.100000000000001,63.70000000000001,1.8432,201.3796,807.624,CCC_E01.xlsx
CCC_E01_M03_CV,135,1.8883,0.4691,18.4555,0.2484,9.773605888894773,42.4103,209.1832,1.3498,5.6264,53.8,170.7,14.9,63.8,1.8969,202.2783,807.752,CCC_E01.xlsx
CCC_E01_M04_CV,136,1.7152,0.4346,17.1494,0.2534,9.998484141791044,42.6093,200.2677,1.2698,5.8445,52.6,160.39999999999998,14.4,51.2,1.8875,204.0757,806.083,CCC_E01.xlsx
CCC_E01_M05_CV,138,1.763,0.428,17.5935,0.2428,9.97929665343165,44.8289,214.6953,1.4457,5.9017,51.3,159.8,14.3,52.1,1.8513,200.0315,788.237,CCC_E01.xlsx
CCC_E01_M06_CV,139,2.0177,0.5285,20.1833,0.2619,10.003122367051592,40.7823,215.1001,1.2953,5.6418,56.2,169.4,14.6,65.10000000000001,1.8178,209.147,818.28,CCC_E01.xlsx
CCC_E01_M07_CV,140,1.935,0.5055,18.9234,0.2612,9.779534883720931,40.2399,201.5461,1.1738,5.6239,54.6,170,14.6,66.10000000000001,1.8066,210.2383,814.813,CCC_E01.xlsx
CCC_E01_M08_CV,141,1.8526,0.4469,17.5051,0.2412,9.44893662960164,42.3556,194.0472,1.5073,5.5167,54.300000000000004,171.5,13.6,61.5,1.8539,197.4638,806.34,CCC_E01.xlsx
CCC_E03_M01_CV,295,2.5022,0.6993,23.689,0.2795,9.46726880345296,35.4012,153.0637,1.0875,5.0859,63.70000000000001,180.9,16.2,77.2,2.1433,221.4722,863.921,CCC_E03.xlsx
CCC_E03_M02_CV,296,1.9904,0.5179,20.223,0.2602,10.160269292604502,41.7419,211.5141,1.2159,5.7765,55.1,163.3,15.299999999999999,56.5,2.0119,205.6164,810.256,CCC_E03.xlsx
CCC_E03_M03_CV,297,2.1567,0.54,20.3406,0.2504,9.431353456669912,40.0711,175.3864,1.3165,5.2628,57.6,179.79999999999998,16.8,64.10000000000001,2.0047,199.7106,831.76,CCC_E03.xlsx
CCC_E03_M04_CV,298,1.8617,0.5134,18.1987,0.2758,9.77531288607187,37.2211,170.2777,0.9329,5.4506,58.6,166.8,15.2,59.3,2.1278,221.6648,884.592,CCC_E03.xlsx
CCC_E03_M05_CV,300,2.4209,0.7477,24.5226,0.3089,10.129538601346606,34.0728,170.3914,0.8512,5.3873,65.4,172.7,18.5,75.7,1.9741,241.6932,854.742,CCC_E03.xlsx
CCC_E03_M06_CV,301,1.9027,0.4093,16.8812,0.2151,8.87223419351448,45.0341,171.7331,1.6041,5.2939,51.6,182.29999999999998,14.9,60.900000000000006,1.8732,176.1515,800.177,CCC_E03.xlsx
CCC_E03_M07_CV,302,1.9077,0.4694,18.7014,0.246,9.803113697122189,42.5612,186.0919,1.2875,5.6121,53.6,167.9,14.200000000000001,55.9,1.8084,196.8218,817.509,CCC_E03.xlsx
CCC_E03_M08_CV,303,1.6589,0.3541,14.3645,0.2135,8.65905117849177,44.7148,173.9112,1.6383,5.1643,51.4,185.9,13.899999999999999,67.9,1.8175,174.0331,806.917,CCC_E03.xlsx
CCC_E04_M01_CV,726,2.2425,0.5558,22.1411,0.2478,9.87340022296544,42.4208,210.0324,1.1838,5.4194,52.900000000000006,174.4,14.5,69,1.7839,194.3825,821.04,CCC_E04.xlsx
CCC_E04_M02_CV,727,1.9017,0.509,19.6069,0.2676,10.310196140295526,41.0183,218.4878,1.0282,5.6356,53.400000000000006,166.3,14.1,62.4,1.9577,212.2925,839.143,CCC_E04.xlsx
CCC_E04_M03_CV,728,2.0307,0.5107,20.024,0.2515,9.860639188457183,41.9441,210.2729,1.1616,5.6892,52.6,166.7,14.4,53.1,1.935,203.1128,847.68,CCC_E04.xlsx
CCC_E04_M04_CV,729,2.4496,0.6815,24.8864,0.2782,10.159372958850422,38.1313,182.685,0.8859,5.4803,58.1,170.2,15.100000000000001,61.9,2.0207,222.9486,840.876,CCC_E04.xlsx
CCC_E04_M05_CV,731,2.2821,0.6291,22.2987,0.2757,9.771131852241357,37.0486,169.5813,0.9459,5.3091,60.8,176,16.7,65.69999999999999,2.0129,220.1883,864.499,CCC_E04.xlsx
CCC_E04_M06_CV,732,2.49,0.4159,19.3112,0.167,7.755502008032128,51.7518,160.037,1.8125,4.8391,45.1,203.7,12.7,77,1.7789,135.9021,762.688,CCC_E04.xlsx
CCC_E04_M07_CV,733,2.0983,0.4939,20.2718,0.2354,9.661058952485345,43.9567,202.5406,1.2257,5.5344,50.8,172.3,14,56.9,1.8331,187.0644,802.231,CCC_E04.xlsx
CCC_E04_M08_CV,734,2.0187,0.4554,18.5619,0.2256,9.194976965373757,43.9952,195.423,1.3244,5.2222,50.9,187.1,13.6,72.7,1.8196,181.7364,816.675,CCC_E04.xlsx
CCC_E05_M01_CV,1241,2.2356,0.5119,20.45,0.229,9.1474324566112,42.6089,173.7784,1.3785,4.9857,54.9,191.39999999999998,16.2,80.4,1.8003,183.5338,846.974,CCC_E05.xlsx
CCC_E05_M02_CV,1242,2.3251,0.565,22.5664,0.243,9.705561051137586,42.5769,205.3647,1.2391,5.4702,52.900000000000006,175.7,14.200000000000001,70.9,1.7446,193.2912,826.432,CCC_E05.xlsx
CCC_E05_M03_CV,1243,1.961,0.4808,18.7297,0.2452,9.551096379398267,41.5417,188.4261,1.2579,5.4389,53.900000000000006,176.6,14.8,63.2,1.7658,194.7035,828.037,CCC_E05.xlsx
CCC_E05_M04_CV,1244,2.3179,0.575,23.3061,0.2481,10.054834117088745,43.0752,221.5404,1.1364,5.6147,52.1,171,14.9,64.4,1.8922,197.0144,834.649,CCC_E05.xlsx
CCC_E05_M05_CV,1246,2.3548,0.7422,23.7434,0.3152,10.082979446237474,33.1298,168.8051,0.844,5.4123,68.6,171.5,21.7,69,1.8909,254.0826,881.061,CCC_E05.xlsx
CCC_E05_M06_CV,1247,2.5214,0.7263,24.6729,0.288,9.785397001665741,35.2988,165.5829,0.8812,5.3295,63.4,178.29999999999998,18.8,70.1,2.1611,231.679,882.024,CCC_E05.xlsx
CCC_E05_M07_CV,1248,2.2602,0.5532,21.6451,0.2447,9.576630386691441,41.5118,191.1368,1.1804,5.2675,54.1,182.5,14.9,78.5,1.8577,192.6493,825.855,CCC_E05.xlsx
CCC_E05_M08_CV,1249,2.6768,0.9109,29.259,0.3403,10.930588762701733,32.8974,186.6964,0.3198,5.8412,64.9,158.6,17.2,66.4,1.9847,270.8371,875.091,CCC_E05.xlsx
CCC_E06_M01_CV,2127,2.1532,0.4852,19.6586,0.2253,9.12994612669515,43.6089,191.2239,1.3221,4.9277,51.9,199,15.2,92.8,1.8149,176.4725,800.883,CCC_E06.xlsx
CCC_E06_M02_CV,2128,2.278,0.5619,21.3498,0.2467,9.372168568920104,40.2806,186.1266,1.1421,4.999,55.800000000000004,195.1,16.2,85.9,1.7489,193.2912,836.126,CCC_E06.xlsx
CCC_E06_M03_CV,2129,2.4818,0.813,27.1249,0.3276,10.929526956241439,34.4327,206.5003,0.5727,5.8277,63.1,157.9,17.6,67.8,2.0517,259.9884,855.961,CCC_E06.xlsx
CCC_E06_M04_CV,2130,2.3554,0.5259,21.7131,0.2233,9.218434236223148,44.4227,193.1697,1.503,5.2428,52.400000000000006,184.2,14.8,75.89999999999999,1.7441,173.0702,812.31,CCC_E06.xlsx
CCC_E06_M05_CV,2132,2.3883,0.5457,22.537,0.2285,9.436419210316961,44.0331,203.2792,1.2759,4.9995,52.1,198.8,14.200000000000001,101.6,1.817,178.7193,811.09,CCC_E06.xlsx
CCC_E06_M06_CV,2133,2.3056,0.615,23.233,0.2667,10.07676960444136,39.8429,209.7066,1.0779,5.3286,56.9,181.79999999999998,16.9,95.8,1.9454,206.8361,840.298,CCC_E06.xlsx
CCC_E06_M07_CV,2134,2.1686,0.5347,21.4475,0.2466,9.890021211841741,43.0025,221.3415,1.3043,5.3444,52.900000000000006,182.79999999999998,15.2,95.4,1.8454,188.0273,826.368,CCC_E06.xlsx
CCC_E06_M08_CV,2135,2.3306,0.6679,23.5924,0.2866,10.122886810263452,36.9914,193.9449,0.9821,5.8101,60.8,162.1,18.5,59.9,1.9959,226.9929,862.894,CCC_E06.xlsx
