Sample Name,Sample Number,TV,BV,BS,BV/TV,BS/TV,BS/BV,Conn.D,SMI,Tb.N,Tb.Th,Tb.Sp,Tb.Th.SD,Tb.Sp.SD,DA,BMD,TMD
CCC_E01_M01_CF,94,2.5414,0.3418,17.137,0.1345,6.743133705831432,58.2812,128.2764,2.7582,5.2921,48.300000000000004,181.29999999999998,14.4,14.4,1.265,101.366,780.405
CCC_E01_M03_CF,96,2.5492,0.3784,18.4371,0.1484,7.232504315079241,55.5544,143.3777,2.618,5.5213,49.099999999999994,175.7,15.4,15.4,1.3355,110.8024,783.102
CCC_E01_M04_CF,97,2.3744,0.2558,12.9919,0.1077,5.471655997304582,61.082,88.6548,2.9948,4.7471,46.300000000000004,206.1,14,14,1.2667,81.5301,799.407
CCC_E01_M05_CF,99,2.494,0.3335,16.393,0.1337,6.572975140336808,57.3572,125.102,2.766,5.2009,47.199999999999996,189.9,14.8,14.8,1.2908,101.4301,792.345
CCC_E01_M06_CF,100,2.2875,0.3858,16.5717,0.1687,7.244459016393442,47.637,133.3311,2.5928,5.2565,56.9,184.4,19.3,19.3,1.3656,124.5399,864.435
CCC_E01_M07_CF,101,2.5745,0.3434,16.3815,0.1334,6.362983103515245,54.5463,109.1465,2.7626,4.9022,50.7,196.70000000000002,16.2,16.2,1.3615,99.1192,819.628
CCC_E01_M08_CF,102,2.2278,0.2876,13.8034,0.1291,6.195978094981597,55.6782,109.526,2.7954,4.8196,48.800000000000004,201.8,16.400000000000002,16.400000000000002,1.3192,99.5043,794.721
,,,,,,,,,,,,,,,,,
CCC_E03_M01_CF,250,2.608,0.395,13.899,0.1515,5.329371165644171,37.4486,63.0752,1.8367,3.5584,64.19999999999999,281,19.400000000000002,115,1.8893,103.7411,863.151
CCC_E03_M02_CF,251,2.4541,0.3598,15.808,0.1466,6.441465302962389,49.0477,111.0408,2.4868,4.8818,52.699999999999996,201.9,16.400000000000002,66,1.5119,100.724,784.899
CCC_E03_M03_CF,252,2.6273,0.3469,15.0666,0.132,5.734632512465268,48.1413,90.0152,2.4816,4.4527,54,223.5,17.3,70.3,1.4611,86.2805,793.18
CCC_E03_M04_CF,253,2.196,0.3035,11.9372,0.1382,5.435883424408014,43.3973,71.2675,2.7905,4.2595,62.199999999999996,232.6,23.099999999999998,74.89999999999999,1.4134,98.3488,869.57
CCC_E03_M05_CF,255,2.4349,0.601,20.2195,0.2468,8.304037126781388,35.1709,129.7818,1.5844,5.0005,69,192.70000000000002,20.9,81.9,1.5772,180.0031,860.519
CCC_E03_M06_CF,256,2.1796,0.2532,12.5895,0.1162,5.776059827491282,57.9415,95.4319,2.7962,4.8596,47.300000000000004,203.5,14.200000000000001,57.7,1.3308,85.1892,790.484
