Sample Name,Sample Number,TV,BV,BS,BV/TV,BS/TV,BS/BV,Conn.D,SMI,Tb.N,Tb.Th,Tb.Sp,Tb.Th.SD,Tb.Sp.SD,DA,BMD,TMD,exp_name,gene_symbol,Gender
Acvr2a_E01_F01_CV,3604,2.3735,0.5848,21.6759,0.2464,9.132462607962923,39.0099,179.6892,0.963,4.7635,56.5,202.9,14.7,84.4,1.8802,190.7877,796.197,Acvr2a_E01.xlsx,Acvr2a,Female
Acvr2a_E01_F02_CV,3605,2.3945,0.6833,24.0381,0.2854,10.038880768427648,36.386,176.0292,0.5481,5.3322,58.8,180.5,14.8,76,1.9196,218.0699,826.496,Acvr2a_E01.xlsx,Acvr2a,Female
Acvr2a_E01_F03_CV,3606,2.4112,0.6627,23.4567,0.2748,9.728226609157266,36.8289,179.1635,0.7947,4.9782,58.6,192.3,14.7,83.1,1.8453,213.2554,807.816,Acvr2a_E01.xlsx,Acvr2a,Female
Acvr2a_E01_F04_CV,3607,2.3078,0.6164,22.6443,0.2671,9.812072103301848,38.2782,191.3103,0.7377,5.0021,56.9,191.39999999999998,14.5,82.60000000000001,1.858,202.856,802.681,Acvr2a_E01.xlsx,Acvr2a,Female
Acvr2a_E01_F05_CV,3609,2.5305,0.734,25.1732,0.2901,9.94791543173286,35.2898,173.4823,0.4514,4.9244,60,194.5,15.5,86.6,1.8219,222.1783,828.936,Acvr2a_E01.xlsx,Acvr2a,Female
Acvr2a_E01_F06_CV,3610,2.2163,0.5843,21.6929,0.2636,9.787889726120111,38.7711,184.0943,0.831,4.8999,56.099999999999994,195.39999999999998,14.9,90.89999999999999,1.7988,200.9302,833.494,Acvr2a_E01.xlsx,Acvr2a,Female
Acvr2a_E01_F07_CV,3611,2.3024,0.6502,22.0751,0.2824,9.587864836692146,35.1219,164.2837,0.5707,4.8119,60.699999999999996,199.7,15.4,94.7,1.8361,216.1441,839.078,Acvr2a_E01.xlsx,Acvr2a,Female
Acvr2a_E01_F08_CV,3612,2.5312,0.5912,22.0375,0.2336,8.706344816687738,39.2221,172.8431,0.978,4.0725,57.4,250.4,16.6,151.79999999999998,1.6946,175.317,812.438,Acvr2a_E01.xlsx,Acvr2a,Female
Alg3_E01_F01_CV,1857,2.2048,0.5337,18.2975,0.2421,8.298938679245282,35.7948,121.7814,0.8133,3.9598,60.199999999999996,251.5,14.5,135.9,1.8825,171.4654,827.845,Alg3_E01.xlsx,Alg3,Female
Alg3_E01_F02_CV,1858,2.0967,0.3687,15.1031,0.1759,7.203271808079363,45.0293,147.016,1.5696,3.9181,51.5,255.30000000000004,15.4,111.8,1.7952,131.0234,778.929,Alg3_E01.xlsx,Alg3,Female
