Sample Name,Sample Number,Tt.Ar,Ct.Ar,Ma.Ar,Ct.Ar/Tt.Ar,Ct.Th,Ps.Pm,Ec.Pm,I_max,I_min,J,I_max/C_max,I_min/C_min,Ct.Po,Po.A,BMD,TMD,Length,exp_name,gene_symbol,Gender
ACVR2A_E01_F01_CF                         ,3564,1.59434,0.706,0.8869400000000001,0.4428164632387069,0.1675,4.5429002385399455,3.4832698376665663,0.2038,0.09763,0.30143,0.22368,0.16492,0.0019700000000000273,0.0014000000000000679,1230.7241,1319.8248,14.69,Acvr2a_E01.xlsx,Acvr2a,Female
ACVR2A_E01_F02_CF                         ,3565,1.65304,0.66141,0.9904200000000001,0.4001173595315298,0.1521,4.59419725608251,3.6348869716747068,0.19292,0.10378,0.29669,0.21374,0.16981,0.0018399999999999528,0.0012099999999999334,1206.9724,1301.2086,14.46,Acvr2a_E01.xlsx,Acvr2a,Female
ACVR2A_E01_F03_CF                         ,3566,1.72606,0.67828,1.0464499999999999,0.3929643233723046,0.1579,4.7051557328608205,3.707625555712457,0.21206,0.10933,0.32139,0.2276,0.17098,0.0019500000000000073,0.0013300000000000534,1209.9253,1305.6381,14.61,Acvr2a_E01.xlsx,Acvr2a,Female
ACVR2A_E01_F04_CF                         ,3567,1.59503,0.66997,0.92375,0.4200359867839476,0.1616,4.522864328373403,3.502921305751318,0.1876,0.09939,0.28699,0.21741,0.16379,0.0019500000000000073,0.0013100000000000334,1207.8711,1298.1273,14.43,Acvr2a_E01.xlsx,Acvr2a,Female
ACVR2A_E01_F05_CF                         ,3569,1.65252,0.68688,0.96421,0.4156560888824341,0.1617,4.624220206741279,3.599147325057388,0.21063,0.10047,0.3111,0.22565,0.16914,0.0020700000000000163,0.0014299999999999313,1220.3247,1311.8647,14.37,Acvr2a_E01.xlsx,Acvr2a,Female
ACVR2A_E01_F06_CF                         ,3570,1.50587,0.65503,0.8493400000000001,0.4349844276066327,0.1605,4.383562021434099,3.3696583076702664,0.17256,0.0902,0.26275,0.20105,0.14759,0.0022799999999999487,0.0014999999999999458,1215.2534,1306.7935,14.51,Acvr2a_E01.xlsx,Acvr2a,Female
ACVR2A_E01_F07_CF                         ,3571,1.53497,0.6545,0.87911,0.42639269822862985,0.1617,4.448434729924108,3.427272325057387,0.1828,0.08983,0.27263,0.20383,0.15014,0.0020700000000000163,0.0013600000000000279,1209.5402,1301.8506,14.11,Acvr2a_E01.xlsx,Acvr2a,Female
ACVR2A_E01_F08_CF                         ,3572,1.67074,0.74699,0.9219699999999998,0.4471012844607779,0.1753,4.648737309890796,3.541912736397137,0.22007,0.11079,0.33086,0.23355,0.17642,0.0023699999999999832,0.0017800000000000038,1220.5173,1304.5468,14.65,Acvr2a_E01.xlsx,Acvr2a,Female
ALG3_E01_F01_CF                           ,1817,1.54642,0.64976,0.89543,0.4201704582196299,0.153,4.480672129633583,3.5176622168579046,0.18276,0.09027,0.27303,0.20489,0.14833,0.0019000000000000128,0.0012299999999999534,1175.9669,1261.7938,14.37,Alg3_E01.xlsx,Alg3,Female
ALG3_E01_F02_CF                           ,1818,1.48219,0.65664,0.8244999999999999,0.44302012562491994,0.1671,4.369032745314558,3.3148836175851457,0.17818,0.08432,0.2625,0.20183,0.14654,0.0016000000000000458,0.0010499999999999954,1191.887,1278.0348,,Alg3_E01.xlsx,Alg3,Female
ALG3_E01_F03_CF                           ,1819,1.59328,0.6725,0.91973,0.4220852580839526,0.1609,4.513654625679103,3.4956338134659735,0.18901,0.09929,0.2883,0.21182,0.16285,0.0015699999999999603,0.0010499999999999954,1189.7686,1273.7338,14.45,Alg3_E01.xlsx,Alg3,Female
ALG3_E01_F04_CF                           ,1820,1.56724,0.66463,0.90143,0.42407672085960035,0.1619,4.487534484740909,3.46570650652667,0.18986,0.09301,0.28287,0.2117,0.15531,0.0017599999999999838,0.0011799999999999589,1189.1266,1274.8251,14.61,Alg3_E01.xlsx,Alg3,Female
