Sample Name,Sample Number,TV,BV,BS,BV/TV,BS/TV,BS/BV,Conn.D,SMI,Tb.N,Tb.Th,Tb.Sp,Tb.Th.SD,Tb.Sp.SD,DA,BMD,TMD,exp_name,gene_symbol,Gender
Acvr2a_E01_M01_CV,3614,2.5087,0.6564,26.7259,0.2616,10.653286562761588,42.9633,237.6715,1.0542,6.0663,51.8,156.6,13.899999999999999,50.9,1.7425,205.4238,806.532,Acvr2a_E01.xlsx,Acvr2a,Male
Acvr2a_E01_M02_CV,3615,2.3812,0.6267,24.7295,0.2632,10.385309927767512,41.5159,224.8845,0.8944,5.4902,52.900000000000006,174.6,14.9,78.89999999999999,1.8644,201.0586,810.384,Acvr2a_E01.xlsx,Acvr2a,Male
Acvr2a_E01_M03_CV,3616,1.8422,0.5828,20.1292,0.3164,10.926718054500055,36.1583,214.9588,0.7017,6.1304,59.6,150.7,16.8,55.1,1.8977,250.0384,822.452,Acvr2a_E01.xlsx,Acvr2a,Male
Acvr2a_E01_M04_CV,3617,2.4674,0.8291,28.7156,0.336,11.637999513658102,35.6389,235.6702,0.4235,6.1921,61,149,18,65.10000000000001,1.9329,260.3093,819.692,Acvr2a_E01.xlsx,Acvr2a,Male
Acvr2a_E01_M05_CV,3619,2.2794,0.5859,23.6236,0.257,10.36395542686672,42.592,221.3302,1.0091,5.6003,52,170.2,13.799999999999999,65.10000000000001,1.7505,200.9302,801.654,Acvr2a_E01.xlsx,Acvr2a,Male
Acvr2a_E01_M06_CV,3620,2.0493,0.4891,19.3518,0.2387,9.44312692138779,42.2141,193.7248,1.1642,4.8601,53.8,198.1,15.100000000000001,106.80000000000001,1.908,184.8818,814.685,Acvr2a_E01.xlsx,Acvr2a,Male
Acvr2a_E01_M07_CV,3621,2.5169,0.6876,26.9137,0.2732,10.693194008502521,41.118,236.205,1.087,5.8658,55.300000000000004,160.70000000000002,15.100000000000001,62.300000000000004,1.718,218.2625,808.394,Acvr2a_E01.xlsx,Acvr2a,Male
Acvr2a_E01_M08_CV,3622,2.6944,0.9631,30.6065,0.3574,11.359300771971498,32.5289,217.1181,0.2187,5.9834,65.60000000000001,153.10000000000002,18.700000000000003,66.5,1.8871,280.7229,856.411,Acvr2a_E01.xlsx,Acvr2a,Male
Alg3_E01_M01_CV,1867,2.1795,0.5217,21.1429,0.2394,9.700802936453316,43.3531,214.9618,1.2263,5.421,52.2,176,13.6,66.10000000000001,1.8582,186.4225,823.415,Alg3_E01.xlsx,Alg3,Male
Alg3_E01_M02_CV,1868,2.1936,0.5508,21.1032,0.2511,9.620350109409191,40.5619,185.999,1.1346,5.3078,55,180.7,15.100000000000001,69.5,1.8391,193.0986,832.146,Alg3_E01.xlsx,Alg3,Male
Alg3_E01_M03_CV,1869,2.0096,0.5477,20.8249,0.2725,10.362708996815288,40.069,205.266,0.8468,5.5615,54.4,171.8,14.1,75.7,1.9004,211.0086,824.892,Alg3_E01.xlsx,Alg3,Male
Alg3_E01_M04_CV,1870,2.214,0.5088,21.4447,0.2298,9.685953026196929,45.1557,214.7741,1.3412,5.5283,50.8,177,13.6,79.2,1.7514,175.317,799.022,Alg3_E01.xlsx,Alg3,Male
Alg3_E01_M05_CV,1872,2.4268,0.7382,25.419,0.3042,10.47428712708093,35.5315,182.7507,0.7227,5.4425,61.800000000000004,170.8,17.4,70.6,1.9666,241.3722,886.325,Alg3_E01.xlsx,Alg3,Male
Alg3_E01_M06_CV,1873,2.4412,0.7699,25.2354,0.3154,10.337293134524005,33.8759,179.3181,0.6951,5.4762,65,166.8,18.5,67,1.9816,251.7074,876.568,Alg3_E01.xlsx,Alg3,Male
Alg3_E01_M07_CV,1874,2.267,0.7258,24.1968,0.3202,10.67348919276577,34.5204,198.2821,0.5645,5.6703,62.9,166.6,18.4,70.1,2.0509,250.8087,861.225,Alg3_E01.xlsx,Alg3,Male
Alg3_E01_M08_CV,1875,2.0308,0.5226,19.4642,0.2573,9.584498719716368,39.3616,179.4818,1.1139,4.9461,56.9,193.8,15.8,103.6,1.8526,200.9944,833.494,Alg3_E01.xlsx,Alg3,Male
Cacna1c_E01_M01_CV,2323,2.1507,0.6445,22.3279,0.2997,10.381689682428977,36.2686,200.5185,0.8541,5.7668,61.199999999999996,164.20000000000002,17.2,69.2,1.8088,235.338,836.703,Cacna1c_E01.xlsx,Cacna1c,Male
Cacna1c_E01_M02_CV,2324,2.4771,0.8171,26.211,0.3299,10.581324936417584,33.0143,191.558,0.4305,5.3466,65.60000000000001,179.79999999999998,21.5,93.60000000000001,1.9391,251.6432,859.813,Cacna1c_E01.xlsx,Cacna1c,Male
Cacna1c_E01_M03_CV,2325,2.1638,0.6506,23.0484,0.3007,10.651816249191237,36.8332,211.8987,0.5997,5.6912,58.8,167.1,16,73.89999999999999,1.9304,242.8487,897.559,Cacna1c_E01.xlsx,Cacna1c,Male
Cacna1c_E01_M04_CV,2326,2.4073,0.7483,25.3342,0.3109,10.523906451210898,35.119,209.7784,0.6662,5.5948,62.300000000000004,167.8,17.9,74,1.9541,250.4877,909.242,Cacna1c_E01.xlsx,Cacna1c,Male
Cacna1c_E01_M05_CV,2328,2.5165,0.7916,26.2948,0.3146,10.44895688456189,34.4818,199.9778,0.756,5.6881,64.60000000000001,165.7,19.3,73.6,1.8912,245.8016,858.208,Cacna1c_E01.xlsx,Cacna1c,Male
Cacna1c_E01_M06_CV,2329,2.4144,0.7302,25.0336,0.3024,10.368455931080184,35.5838,196.5278,0.698,5.3977,61.199999999999996,175.3,16.5,80.5,1.9561,238.4193,845.305,Cacna1c_E01.xlsx,Cacna1c,Male
Cacna1c_E01_M07_CV,2330,2.536,0.7952,27.287,0.3136,10.759858044164037,35.6342,200.8069,0.7503,5.8504,62.199999999999996,158.79999999999998,18.9,66.60000000000001,2.0044,250.8729,871.368,Cacna1c_E01.xlsx,Cacna1c,Male
Cacna1c_E01_M08_CV,2331,2.3617,0.6423,25.2931,0.272,10.709700639369945,41.3654,240.5051,0.9797,5.9697,55,161,16.1,69,1.8151,214.5393,826.111,Cacna1c_E01.xlsx,Cacna1c,Male
Chn1_E01_M01_CV,5364,2.5793,0.8267,27.9834,0.3205,10.849222657310124,34.8992,204.8976,0.5665,5.857,63,159,17.7,61.6,1.9438,254.4035,866.104,Chn1_E01.xlsx,Chn1,Male
Chn1_E01_M02_CV,5365,2.4292,0.7145,25.6946,0.2941,10.577391733904168,37.3539,215.5021,0.7152,5.6899,59.1,166.3,17.2,67.7,1.8697,225.388,806.275,Chn1_E01.xlsx,Chn1,Male
Chn1_E01_M03_CV,5366,2.2383,0.3807,17.8408,0.1701,7.9706920430684,52.9516,168.4338,1.9558,4.9634,45.699999999999996,199.8,13.100000000000001,78.5,1.7358,141.166,755.049,Chn1_E01.xlsx,Chn1,Male
Chn1_E01_M04_CV,5367,2.5336,0.6077,23.7453,0.2399,9.372158193874329,41.6292,180.7715,1.4129,5.3607,55.300000000000004,178.5,15.100000000000001,68.5,1.8314,189.3112,825.855,Chn1_E01.xlsx,Chn1,Male
Chn1_E01_M05_CV,5369,1.6849,0.4752,18.1977,0.282,10.800462935485786,40.653,234.7323,0.8,5.8266,53.900000000000006,160.20000000000002,14.6,59,2.0312,222.1141,825.598,Chn1_E01.xlsx,Chn1,Male
Chn1_E01_M06_CV,5370,1.9749,0.633,21.2449,0.3205,10.757456073725251,34.9508,184.0627,0.4335,5.623,60.199999999999996,165.9,16,70.3,2.1778,249.0754,837.024,Chn1_E01.xlsx,Chn1,Male
Chn1_E01_M07_CV,5371,2.5148,0.7321,26.0325,0.2911,10.351717830443771,37.187,219.8999,0.8635,5.4163,59.8,179,16.1,87.7,1.7373,228.9828,835.163,Chn1_E01.xlsx,Chn1,Male
Chn1_E01_M08_CV,5372,2.5445,0.6633,24.6661,0.2607,9.693888779720966,39.2375,191.9845,1.2366,5.2993,59.4,178.60000000000002,17.7,68.2,1.7429,206.1941,832.081,Chn1_E01.xlsx,Chn1,Male
Clcnkb_E01_M01_CV,5953,2.1827,0.5811,22.3737,0.2662,10.250469601869243,40.5736,204.1079,1.106,5.6824,55,167.4,15.100000000000001,68.9,1.8624,212.4851,844.278,Clcnkb_E01.xlsx,Clcnkb,Male
