Sample Name,Sample Number,Tt.Ar,Ct.Ar,Ma.Ar,Ct.Ar/Tt.Ar,Ct.Th,Ps.Pm,Ec.Pm,I_max,I_min,J,I_max/C_max,I_min/C_min,Ct.Po,Po.A,BMD,TMD,Length,exp_name,gene_symbol,Gender
ACVR2A_E01_M01_CF                         ,3574,1.78874,0.73717,1.04999,0.41211690910920534,0.1668,4.844690022335284,3.7868082382383648,0.25389,0.1129,0.36679,0.25697,0.18816,0.0021499999999999853,0.0015800000000000258,1197.536,1283.427,,Acvr2a_E01.xlsx,Acvr2a,Male
ACVR2A_E01_M02_CF                         ,3575,1.71394,0.71434,0.99815,0.41678238444753024,0.1613,4.736207564863041,3.7159173549759665,0.22919,0.10735,0.33655,0.23483,0.18125,0.0020299999999999763,0.0014500000000000624,1209.9895,1300.0532,14.58,Acvr2a_E01.xlsx,Acvr2a,Male
ACVR2A_E01_M03_CF                         ,3576,2.03251,0.83963,1.19128,0.41310005854829746,0.1781,5.142466805035133,4.016933241252801,0.31074,0.15254,0.46328,0.29586,0.22846,0.0018899999999999473,0.0016000000000000458,1190.6672,1267.9564,14.83,Acvr2a_E01.xlsx,Acvr2a,Male
ACVR2A_E01_M04_CF                         ,3577,2.14982,0.91712,1.22993,0.42660315747364896,0.1898,5.416524956469256,4.125265892920086,0.3572,0.17559,0.53278,0.32271,0.25811,0.0030200000000000227,0.002769999999999939,1200.9382,1272.5782,14.99,Acvr2a_E01.xlsx,Acvr2a,Male
ACVR2A_E01_M05_CF           ,3579,1.80039,0.69984,1.09897,0.38871577824804626,0.1538,4.866241780205381,3.8974034070207466,0.24075,0.11294,0.35369,0.23803,0.18671,0.0022600000000000398,0.0015800000000000258,1200.168,1293.698,14.81,Acvr2a_E01.xlsx,Acvr2a,Male
ACVR2A_E01_M06_CF                         ,3580,1.5803,0.68629,0.8925700000000001,0.434278301588306,0.1626,4.618639849598422,3.591855605954871,0.21829,0.08778,0.30606,0.22094,0.14742,0.0020900000000000363,0.0014399999999999968,1214.2905,1303.327,13.81,Acvr2a_E01.xlsx,Acvr2a,Male
ACVR2A_E01_M07_CF                         ,3581,1.9411,0.79077,1.14886,0.40738241203441344,0.1703,5.045277173847126,3.9677769496650868,0.2905,0.13304,0.42353,0.27971,0.20485,0.0018500000000000183,0.0014700000000000824,1212.1721,1296.4584,14.69,Acvr2a_E01.xlsx,Acvr2a,Male
ACVR2A_E01_M08_CF                         ,3582,2.17857,0.89799,1.27889,0.41219240143764024,0.1855,5.305537678508485,4.12984616990195,0.33519,0.18517,0.52036,0.32265,0.25697,0.0018700000000000383,0.0016900000000000803,1211.0166,1286.3799,15.26,Acvr2a_E01.xlsx,Acvr2a,Male
ALG3_E01_M01_CF                           ,1827,1.61748,0.6547,0.9611700000000001,0.4047654375942824,0.1555,4.57736132747222,3.5968618066525018,0.19701,0.0961,0.2931,0.21197,0.15768,0.0024600000000000177,0.0016100000000000003,1222.3147,1321.6222,14.49,Alg3_E01.xlsx,Alg3,Male
ALG3_E01_M02_CF                           ,1828,1.70968,0.75047,0.9550400000000001,0.43895348837209297,0.173,4.785621199888946,3.695901792357537,0.24289,0.10791,0.3508,0.25422,0.17559,0.005530000000000035,0.004170000000000007,1216.7299,1306.8577,14.77,Alg3_E01.xlsx,Alg3,Male
