AC_BR_Intensity,AC_BR_RedBeads,AC_Intensity,AC_RedBeads,AP_BS,AP_G_BS,AP_G_G,AP_L_AP,AP_L_BS,AP_NL_AP,AP_NL_BS,AP_RG_BS,AP_RG_RG,AP_R_BS,AP_R_R,AP_R_RG_BS,AP_R_RG_R,AP_TRAP_BS,AP_TRAP_R_RG_BS,BFR,BV_TV,Calcein_GreenBeads,Calcein_Intensity,Cortex_Width,GFP_BS,GFP_R_BS,GFPonly_BS,G_BS,G_LS,Gonly_BS,GreenBeads_Intensity,Height_Width,LS_BS,MAR_um,MS_BS,Osteocytes_Density,R_BS,R_G,R_LS,RedBeads_Intensity,Ronly_BS,TRAP_BS,TRAP_L_BS,TRAP_L_TRAP_on,TRAP_NL_BS,TRAP_NL_TRAP_on,TRAP_on_TRAP,Tb.N,Tb.Sp,Tb.Th,dLS_BS,dLS_LS,dLS_sLS,exp_name,gene_symbol,sLS_BS,sLS_LS,AP_Intensity,TRAP_Intensity,AP_Background_Intensity,TRAP_Background_Intensity
41.6875,0.172382221,71.9375,0.297560685,48.65908154,9.943863927,34.04693838,57.15348793,28.98598563,42.84651207,21.89202845,7.380965027,71.69533315,11.31032344,39.20225667,18.80211374,66.11322838,8.353323171,2.802847288,0.609432943,20.18601804,0.455850987,107.9047619,543.7420292,,,,29.22309066,61.61534407,19.0953944,235.9583333,1.234110234,47.34721087,2.089808179,28.74701707,625.8378324,29.70670523,97.89488926,59.52155125,242.1666667,18.2875524,13.288503,6.029726363,45.69906615,7.017477829,54.30093385,88.81620731,3.755915928,222.4268538,52.50058065,10.14682327,21.13689533,27.49309288,AAA_E26F.xls,AAA_E26,37.2003876,78.86310467,,,,
35.5625,0.145947461,49.10416667,0.201523237,40.76719647,5.861980642,32.31826511,42.92419453,17.3709125,57.07580547,23.43018929,3.414329866,59.79773682,8.538771726,40.39251246,11.9916164,56.31202517,9.139480664,1.989172348,0.248192067,17.50309051,0.416680318,98.52083333,622.3284582,,,,17.47075631,55.2988154,11.45315224,236.1875,1.224770445,31.6022868,1.371306716,18.76608183,454.7743177,19.94013931,119.7599624,62.96292033,243.1875,14.05443037,15.13318701,4.313800091,29.50985457,10.30566736,70.49014543,77.46504419,2.477793905,348.7344144,66.34392122,5.929876855,18.26173573,22.84114519,AAA_E27F.xls,AAA_E27,25.67240994,81.73826427,,,,
30.11111111,0.124162755,55.47222222,0.228723627,71.60309648,16.17263248,52.24646912,51.67627681,37.78982476,48.32372319,34.95422003,8.754410154,90.37201874,12.33492749,54.25016693,21.99501251,86.67003203,16.15667167,4.031183244,0.378425284,11.67284473,0.459293247,106.7777778,425.5892281,,,,29.96977883,66.99525915,18.8911466,232.2222222,1.275030863,42.89899157,1.316242862,26.51846586,854.7674348,22.86525712,85.92324329,56.25070704,242.3333333,13.8894064,19.45409018,7.737411197,41.74546953,11.3290189,58.25453047,81.62914051,2.361860588,380.34494,48.49885239,10.13794015,23.24596619,31.07318014,AAA_E28F.xls,AAA_E28,32.76105142,76.75403381,95.44444444,177.5277778,,
32.125,0.132537091,61.10416667,0.252133933,71.12630152,13.46963484,49.82123371,50.05470526,35.82660852,49.94529474,35.49896123,7.878825216,91.48895978,14.31971257,55.2814402,22.11831096,84.85222355,12.49650982,3.43355222,0.355745805,13.59463089,0.503067423,117.375,503.7094073,,,,25.86668783,60.74265628,16.03907872,233.6666667,1.287197067,41.58837602,1.398484524,25.4719731,695.102452,25.57132734,103.5210311,61.49295311,242.3333333,16.07244921,15.63282005,6.10963906,38.57435726,9.840585174,61.42564274,81.26200535,2.599114961,337.3577184,51.14538587,9.35557018,22.23560939,29.05966761,AAA_E29F.xls,AAA_E29,32.23280584,77.76439061,104.0208333,165.2708333,,
28.3125,0.117173446,52.70833333,0.218393416,51.96699571,10.31697986,40.51404584,49.94155233,27.36322148,50.05844767,26.6570936,6.008220227,74.53159414,10.37278547,49.77788062,17.04624162,70.92028574,7.261564977,1.737323269,0.364520854,15.53008195,0.418664739,95.4047619,547.7655058,,,,24.19114141,60.37039893,15.551481,231.9166667,0.930847556,39.40922936,1.523521905,24.02444489,505.9877102,21.33850384,103.3771505,60.64493868,241.5833333,14.43649365,10.00108904,3.427768722,40.96932698,5.231293395,59.03067302,81.63118993,3.001131729,294.6042326,52.89415178,8.639660413,21.01533761,27.26825069,AAA_E30F_v2.xls,AAA_E30,30.76956894,78.98466239,86.64583333,145.6458333,27.01539107,23.71688817
28.95833333,0.11901956,54.14583333,0.222561996,54.52896363,10.45727471,39.3812695,51.29037474,28.33326511,48.70962526,26.34922506,6.478041207,81.17831256,11.67792601,48.79420333,17.88574199,73.52307881,14.9365727,4.074979474,0.376623189,12.27871438,0.35501667,83.70833333,532.4916618,,,,25.72288383,60.71894799,16.25226742,235.1666667,1.263876896,42.24809419,1.40498722,25.88205111,573.8663263,25.52249065,103.4884648,60.99716372,242.8333333,16.35818963,21.9552096,8.91557449,40.88749921,12.8136574,59.11250079,77.35973589,2.559581695,352.7630712,47.81421186,9.516008039,21.71611171,28.29521737,AAA_E31F_v2.xls,AAA_E31,32.73208615,78.28388829,84.9375,182.2916667,,
30.25,0.12418593,55.625,0.228384688,62.81295566,12.88338002,41.98762444,57.43142268,36.03498998,42.56857732,26.70331845,9.679898249,84.21900211,14.01661506,47.74615132,23.66576891,80.15921119,20.4037266,5.98170963,0.454731294,9.337658691,0.378841522,89.33333333,425.4869674,,,,29.18215633,62.76655777,17.89705857,235.875,1.474760483,46.81547247,1.473304074,29.37114383,697.6236339,29.44705504,100.4183837,62.53123816,243.25,17.29800662,27.90218651,12.18322968,44.93403899,15.12463952,55.06596101,76.42472488,2.182398898,423.4977486,45.57547185,11.92681518,25.29779593,34.31687493,AAA_E32F_v2.xls,AAA_E32,34.88865729,74.70220407,84.0625,192.5833333,,
32.72222222,0.136054178,62.97222222,0.262044053,48.78155024,10.33033626,33.77775068,62.53185696,31.34667778,37.46814304,18.74191923,9.163741233,70.59610769,12.64868904,37.7029227,21.93982616,65.21752212,13.39715547,5.321936193,0.422750497,11.06193199,0.392945446,91.54761905,490.2838632,,,,29.84626697,59.62720991,17.62618284,232.6666667,1.235789664,50.76091829,1.310471587,32.50884156,717.9668536,34.19331105,116.092308,68.36332594,240.0952381,20.3317604,24.06579217,12.89297996,52.72357913,11.47707163,47.27642087,78.43554845,2.282620242,394.9287527,48.8460326,14.25676482,27.99053584,39.01391144,AAA_E33F_v2.xls,AAA_E33,36.50415347,72.00946416,101.3333333,180.1904762,36.47437641,26.18284306
28.58333333,0.117474149,51.89583333,0.213371274,65.1272444,10.13770582,43.93503538,47.72529788,31.1514105,52.27470212,33.862279,6.998639056,84.20099091,13.43808194,54.04196746,21.27571902,81.77744306,19.23421058,5.186213617,0.385810207,10.30974529,0.373247721,88.22916667,440.5324536,,,,22.84065394,58.05400078,14.08680493,236.5416667,1.30817575,39.96261875,1.524232905,24.63170705,678.7932387,24.96343543,115.7245675,65.12123259,243,15.86829431,24.52730773,9.800855275,38.88844894,15.52533758,61.11155106,77.38884747,2.225679002,425.1804731,45.07072845,9.300795342,23.17523337,30.3815558,AAA_E34F_v2.xls,AAA_E34,30.66182341,76.82476663,89.625,185.2291667,26.56676433,24.56149339
30,0.123961853,57.875,0.239193192,50.59501959,9.527934598,33.76066204,56.60344329,29.00060905,43.39655671,22.00524757,7.748394708,74.35357421,11.63664136,40.36816324,19.32357997,65.33249434,9.591209406,3.454952469,0.365749196,13.60822364,0.391966613,91.80952381,545.6784958,,,,27.01223277,59.53495021,15.92840637,234.625,1.030824628,45.49170882,1.262748852,28.2038508,568.4883755,28.91025283,108.7899019,64.17116687,241.7916667,18.46307758,15.92567724,7.663639044,49.00272053,7.995305241,50.99727947,86.91033132,2.798027899,313.3225121,47.03902274,10.91599278,23.70611708,31.42809766,AAA_E35F_v2.xls,AAA_E35,34.57571604,76.29388292,82.20833333,156.125,28.32716553,23.65082473
29.20833333,0.121831961,59.1875,0.247040559,63.55892288,13.54631379,49.21909886,51.18604783,33.63725274,48.81395217,31.85719538,7.640948817,84.60021467,11.64612553,48.32649375,19.67758473,79.19648868,4.231855091,1.23152523,0.372613773,11.5689853,0.509930555,117.7291667,512.2582509,,,,25.73017813,64.78107546,17.28486649,232.25,1.208442324,42.95261979,1.431039083,26.31719048,612.6461951,24.27928504,89.63935755,57.51682993,239.4583333,14.65731604,4.606888809,2.175672697,45.32860152,2.624387123,54.67139848,89.62663798,2.307237054,389.2095313,49.97994931,9.681761184,22.29790539,29.11479051,AAA_E36F_v2.xls,AAA_E36,33.2708586,77.70209461,92.4375,170.2083333,29.81699867,28.90053198
32.89583333,0.136367456,59.5,0.24668777,69.76942752,14.79428505,45.93317106,58.63514875,41.00862685,41.36485125,29.40177699,10.80674496,88.22096492,15.17849013,49.76687674,26.2143418,84.01654169,12.46799101,3.557589233,0.499739025,15.18725606,0.480739326,113.125,626.693683,,,,31.16676323,62.83216476,17.68188857,234.0416667,1.122745833,49.83455158,1.544687244,31.5870652,588.3171065,31.30126854,102.0521062,63.52700319,241.3125,18.41716244,14.08240845,6.422200692,48.06514228,7.562681874,51.93485772,86.6046534,2.925515607,298.1994362,51.65781371,13.33957882,26.35916794,36.21279844,AAA_E37F_v2.xls,AAA_E37,36.49497277,73.64083206,94.54166667,162.1904762,30.58901038,21.97289994
