AC_BR_Intensity,AC_BR_RedBeads,AC_Intensity,AC_RedBeads,AP_BS,AP_G_BS,AP_G_G,AP_Intensity,AP_L_AP,AP_L_BS,AP_NL_AP,AP_NL_BS,AP_RG_BS,AP_RG_RG,AP_R_BS,AP_R_R,AP_R_RG_BS,AP_R_RG_R,AP_TRAP_BS,AP_TRAP_R_RG_BS,BFR,BV_TV,Calcein_GreenBeads,Calcein_Intensity,Cortex_Width,GFP_BS,GFP_R_BS,GFPonly_BS,G_BS,G_LS,Gonly_BS,GreenBeads_Intensity,Height_Width,LS_BS,MAR,MS_BS,Osteocytes_Density,R_BS,R_G,R_LS,RedBeads_Intensity,Ronly_BS,TRAP_BS,TRAP_Intensity,TRAP_L_BS,TRAP_L_TRAP_on,TRAP_NL_BS,TRAP_NL_TRAP_on,TRAP_on_TRAP,Tb.N,Tb.Sp,Tb.Th,dLS_BS,dLS_LS,dLS_sLS,exp_name,gene_symbol,sLS_BS,sLS_LS,AP_Background_Intensity,TRAP_Background_Intensity,Osteocytes_N,Bone #,Bone type
28.875,0.118619147,43.4375,0.178489258,90.00355108,8.128968423,33.34546613,79.125,70.24806029,63.27897787,29.75193971,26.68292738,14.6241961,95.45470182,42.01254127,73.12265583,55.26650458,95.82218419,23.6925863,14.51776301,0.463345551,15.74081662,0.382278522,91.42857143,93.16154529,,,,24.37560746,37.21545595,8.782535522,239.4166667,2.896714492,65.52977303,1.104772421,40.66864112,1478.703122,56.99042677,244.526905,86.70316352,243.5,42.59870126,25.70191447,163.7083333,17.14930962,67.03848611,8.632862566,32.96151389,84.7556837,3.289553485,258.0183728,50.10223036,15.80750922,23.91861947,31.89539715,Acsf2_E01V.xls,Acsf2,49.72226381,76.08138053,,,,,
28.47916667,0.113552125,47.60416667,0.189804117,77.04519134,8.060629649,27.85082771,54.5,68.52402668,52.56120856,31.47597332,24.19807193,15.17606561,85.80835171,31.47210671,62.25862661,44.50057892,84.10625273,18.47499925,9.238594567,0.554538287,16.48567823,0.363701228,86.8125,253.7887778,,,,27.82257147,44.59110515,9.879739622,238.8333333,3.436832349,62.4579969,1.379425022,40.20041437,1602.137921,51.0107624,193.5201833,84.10756023,250.7916667,36.0741374,18.46500014,157.25,11.79698564,65.36731181,6.440838397,34.63268819,86.94227345,3.263687744,262.2257098,51.49131639,17.94283185,28.69866537,40.51396672,Adck2_E01V_v2.xls,Adck2,44.51516506,71.30133463,23.65981374,21.08032827,,,
27.22916667,0.108539509,48.32291667,0.192616202,82.99654696,8.072215288,34.60745147,70.33333333,63.30587881,51.95298358,36.69412119,30.10718248,11.44701232,92.37583949,32.68412556,67.50504519,43.93008404,91.53827719,16.01732246,9.069221278,0.523362033,15.2271386,0.351853223,82.66666667,261.1048581,,,,21.91581905,37.21878932,9.081267182,235.7916667,2.71206925,56.9564392,1.505468405,34.61561753,1730.00238,48.42574207,240.7605336,83.97778962,250.8333333,35.74569828,18.18125462,162.5416667,11.30990064,60.43825435,7.759470695,39.56174565,87.76529681,2.934650866,292.0853881,54.1191455,12.27479586,21.19657894,27.56163314,Akap11_E01V_v2.xls,Akap11,44.68164333,78.80342106,30.06555509,21.26179646,,,
28.10416667,0.115774644,44.9375,0.185127949,88.15999741,8.901543323,34.21032324,72,64.91577983,57.62194513,35.08422017,31.07383794,14.91367481,96.11588031,33.92346351,67.10086179,48.60968729,95.06031833,12.606747,5.231993536,0.512968467,15.3355184,0.345948331,81.10416667,227.8202279,,,,25.34728547,41.3505662,9.198315471,234.5625,3.060699276,60.82684601,1.380216128,38.31964315,1480.664541,50.77133724,207.251795,84.50021171,242.5416667,35.95206017,10.36208827,135.625,6.467869054,60.67796871,4.165098048,39.32203129,80.65539406,3.151626546,281.4166017,49.12129183,15.81244029,25.8507779,35.17597781,Arrb1_E01V_v2.xls,Arrb1,45.01440571,74.1492221,24.54840841,19.2507994,,,
30.1875,0.119318182,59.33333333,0.234519104,88.69917351,12.58024557,29.40765615,86.85416667,76.93165838,68.1349819,23.06834162,20.45465282,26.720937,94.78605554,28.77504004,48.89559488,55.55473633,93.97730187,10.12558168,5.552797247,0.755968436,19.33472089,0.623790642,151.1458333,290.1412457,,,,42.38048159,57.84666992,14.02294977,241.75,2.834362797,72.87744233,1.460838524,50.6816734,1752.233742,59.14544164,140.5702376,81.09130275,253,30.536698,9.086204255,123.4375,7.244818625,77.81194062,2.062930364,22.18805938,87.83370722,3.265662201,249.7290418,62.30246547,28.48590447,38.93797267,64.30339249,Bex4_E01V_v2.xls,Bex4,44.39153786,61.06202733,34.08181112,12.70804048,,,
25.125,0.10138125,45.39583333,0.183186375,87.42086288,9.592203875,35.97385838,,67.38297388,59.22019798,32.61702613,28.64640327,15.72555458,95.25294748,33.62662935,63.94962835,49.75355506,94.44119602,16.77113563,7.883651604,0.545745833,17.85649167,0.438769021,103.3125,126.1600961,,,,25.86644167,42.51340417,11.33561458,235.6875,2.712495417,62.1435125,1.4501625,38.74166875,,51.6710125,194.9163104,82.03305625,247.7916667,35.655675,15.84267913,,10.14890871,63.23123767,6.046864979,36.76876233,85.96717327,4.851585417,172.2008875,37.131,15.33982917,24.54643958,32.90080417,Bzw2_E01V.xls,Bzw2,46.80369167,75.45356042,,,1684.544432,,
25.13333333,0.103812684,40.33333333,0.166613434,83.96368612,9.809362797,53.80569388,77.16666667,46.17719645,38.26148181,53.82280355,44.24183769,7.021660736,91.22860667,23.86345203,71.06007881,30.88511277,90.92660318,27.03770712,8.784393933,0.345204242,14.40300389,0.327673007,76.75,199.3422802,,,,17.62723517,38.83212438,10.4831138,234.5555556,3.087505564,42.22556632,1.281371389,25.34188668,1637.534402,34.11003607,209.7127265,80.5591705,242,25.65182903,27.55170495,202.9444444,11.52863649,42.84794066,15.22945956,57.15205934,81.7605061,3.213788468,279.2273038,45.30402336,8.458207041,19.39129488,24.36076842,C19Rik_E01V_v2.xls,C19Rik,33.76735928,80.60870512,,,,,
27.2,0.107509881,44.9,0.177470356,81.72146073,13.76097009,39.17672138,56.86666667,70.93595764,57.6652121,29.06404236,23.4891397,19.20830569,92.70975683,29.36857539,55.23861498,48.57688108,90.98584193,22.25856585,12.56118404,0.506592063,20.95057893,0.505965418,123.2,288.7639668,,,,32.55344627,49.72599005,15.74980594,243.4,3.238932705,64.11095903,1.064232782,42.48446657,1984.474282,51.83246064,167.4431946,82.62132234,253,31.79920097,22.83458113,161.55,16.35447833,69.0518515,7.569569327,30.9481485,88.82040859,3.628582068,218.9151906,59.37346928,20.8579741,32.34731239,48.24653361,C1qb_E01V_v2.xls,C1qb,43.25298493,67.65268761,20.57188988,16.99985211,,,
24.22916667,0.100685229,41.02083333,0.17040925,74.54147165,7.922986542,37.84313158,,58.8261584,44.52495856,41.1738416,31.12173788,9.796854167,90.01403094,27.21731792,64.08046829,36.77094735,87.83841298,16.7353226,7.532302595,0.445095833,14.31626458,0.403545521,90.54166667,99.0012824,,,,21.25558333,41.5400625,10.90145625,224.375,2.836173625,51.62932917,1.411752083,31.19053542,,41.77812083,193.5393896,79.02625,240.625,30.49432292,17.11386133,,9.548608854,54.23634931,8.086700771,45.76365069,78.96702642,5.091916667,172.3790083,26.78361458,10.75172708,20.56631458,26.07335,C1qtnf5_E01V.xls,C1qtnf5,40.87758542,79.43368542,,,1378.766462,,
,,40.42857143,0.163014,74.1306311,8.321131952,41.17266676,,54.87285533,40.09678233,45.12714467,32.88948081,7.831550667,90.14784567,24.20111279,65.62593267,31.70832971,87.32830362,20.80709208,8.970795524,0.36006875,14.30679583,0.379497938,86.04166667,90.0829791,,,,20.40043542,42.706725,11.12252292,226.9375,2.887093146,47.76866875,1.25963125,28.49101042,,37.13139375,182.8374896,76.35511042,248,27.77718958,22.69815896,,11.9635711,53.19137275,10.46765433,46.80862725,80.79388604,4.925958333,178.0294958,29.75844167,9.21335625,19.06182917,23.8336125,Ccdc120_E01V.xls,Ccdc120,38.55529583,80.93817083,,,1543.552409,,
