AC_BR_Intensity,AC_BR_RedBeads,AC_Intensity,AC_RedBeads,AP_BS,AP_G_BS,AP_G_G,AP_Intensity,AP_L_AP,AP_L_BS,AP_NL_AP,AP_NL_BS,AP_RG_BS,AP_RG_RG,AP_R_BS,AP_R_R,AP_R_RG_BS,AP_R_RG_R,AP_TRAP_BS,AP_TRAP_R_RG_BS,BFR,BV_TV,Calcein_GreenBeads,Calcein_Intensity,Cortex_Width,GFP_BS,GFP_R_BS,GFPonly_BS,G_BS,G_LS,Gonly_BS,GreenBeads_Intensity,Height_Width,LS_BS,MAR,MS_BS,Osteocytes_Density,R_BS,R_G,R_LS,RedBeads_Intensity,Ronly_BS,TRAP_BS,TRAP_Intensity,TRAP_L_BS,TRAP_L_TRAP_on,TRAP_NL_BS,TRAP_NL_TRAP_on,TRAP_on_TRAP,Tb.N,Tb.Sp,Tb.Th,dLS_BS,dLS_LS,dLS_sLS,exp_name,gene_symbol,sLS_BS,sLS_LS,AP_Background_Intensity,TRAP_Background_Intensity,Osteocytes_N,Bone #,Bone type
23.77083333,0.097497578,35.22916667,0.144494607,85.65610981,9.688329108,53.27569872,68.04166667,54.24503377,46.52762688,45.75496623,39.15744557,7.572688559,96.80637949,29.21827958,75.9088887,36.83929778,94.48211029,16.17779457,7.378113734,0.260704201,14.50440172,0.32448218,77.45833333,82.69739717,,,,18.120844,36.82700031,9.876784399,238.375,2.933852405,48.83434397,0.892383386,28.51259199,1401.142763,38.66467206,222.1188547,79.48178751,243.5,30.60895363,17.45772042,142.4285714,9.326282067,52.34123758,8.497006467,47.65876242,82.25781052,3.554540978,247.44868,39.63604106,8.190840004,16.30878783,19.8340778,Acsf2_E01V.xls,Acsf2,40.64350397,83.69121217,,,,,
21.20833333,0.084495352,38.70833333,0.154216467,66.50027726,9.07865201,44.20891443,45.35416667,48.78909147,32.80562396,51.21090853,34.17107924,6.077812,84.19959841,17.8428541,60.31650741,24.3192863,80.0538158,10.35965745,3.719107297,0.31536348,20.67043128,0.273039504,64.97916667,252.0014784,,,,19.53073733,46.38165459,12.54788863,238.4583333,2.908452988,42.11332198,1.250850141,25.01184364,1425.939867,30.22093174,171.4832221,71.61336546,250.9583333,22.47516977,14.51698054,142.25,5.273021635,43.14680111,7.3060721,56.85319889,90.10335419,3.731948992,217.3891058,53.56588956,7.910365291,17.99502006,22.4332988,Adck2_E01V_v2.xls,Adck2,34.20295669,82.00497994,23.20857076,19.6544015,,,
22.16666667,0.088386454,37.72916667,0.150442895,65.10498536,5.205219098,48.08728011,44.08333333,44.45382829,28.63383673,55.54617171,35.34876947,3.148410367,84.87971796,20.28020727,65.88289751,23.42861763,75.77085632,8.65338109,3.797203784,0.220265331,25.28295514,0.306926002,73.91666667,272.9267296,,,,9.666088145,26.31593272,6.201591945,241,3.494896964,35.24722735,1.168414236,19.37253777,1816.897918,29.10367128,353.8680003,83.03190554,250.7083333,25.60582309,10.64538513,138.9166667,4.935901796,42.6166127,6.544808126,57.3833873,91.03092815,4.299033013,184.3133547,56.46939771,3.49784819,9.347838266,10.42963139,Akap11_E01V_v2.xls,Akap11,31.74937916,90.65216173,19.21937084,20.21695044,,,
25.4375,0.104856126,42.52083333,0.17537185,87.47376431,9.57963864,44.95606885,70.02083333,59.70136713,52.34556702,40.29863287,35.20072531,10.69557241,96.28233656,30.73259745,72.77424998,42.64491263,95.74036544,8.597969781,3.650650684,0.420302738,16.35423402,0.299491803,70.125,219.9160894,,,,21.55140638,39.41005392,10.26779397,235.6458333,3.260324224,54.79434254,1.259714902,33.14313134,1534.010942,42.8332135,222.6637234,80.92905716,242,31.69841852,7.703800222,123.2708333,4.545787695,58.02377204,3.353118822,41.97622796,83.87518844,3.47420122,248.4560407,46.47512463,11.49192013,20.33911109,26.14155921,Arrb1_E01V_v2.xls,Arrb1,43.30242241,79.66088891,26.14751833,19.47854993,,,
22.41666667,0.088603426,37.1875,0.146986166,72.52276245,12.52883931,41.28104653,46.47916667,63.35910103,45.16269451,36.64089897,25.72091584,12.05401641,87.37107477,20.89595215,51.21937673,32.75942859,81.71828418,10.24354013,5.468354822,0.359450178,23.63412012,0.438571998,106.25,261.8071502,,,,29.03323583,52.8998639,15.2712293,242.3541667,3.102401912,53.70502109,1.088857289,33.44240062,1969.813474,39.49122526,135.0337262,71.17607802,253,25.31132423,13.05628673,132.0625,8.58203865,58.6868306,6.153587801,41.3131694,86.49371295,4.354929138,177.6664519,57.08575596,13.17978015,24.07594191,32.23864721,Bex4_E01V_v2.xls,Bex4,40.52524095,75.92405809,19.77413158,15.23526758,,,
18.54166667,0.074829229,38.41666667,0.155023979,79.42508246,10.5320155,62.51490037,,54.24806667,42.18214639,45.75193333,35.38466406,7.911986667,92.43285389,25.29996367,79.73027042,32.83787528,88.95353433,14.71165827,4.725179778,0.311433333,19.72670833,0.321673611,76.19444444,68.07820579,,,,17.5534,41.92193333,12.54772,238,2.755272917,47.30346667,1.148090476,27.69337778,,31.08066111,180.7020667,74.59813333,247.75,26.98375,14.67591,,6.971304111,46.51334678,8.248142778,53.48665322,87.96757696,5.8680625,140.5593271,34.47949792,8.083344444,16.52005556,20.16142222,Bzw2_E01V.xls,Bzw2,39.22012222,83.47994444,,,1735.864813,,
22.29166667,0.091645356,35.58333333,0.146312263,78.24340858,9.723222297,53.18565127,66.20833333,50.23217305,40.48967254,49.76782695,39.81083124,6.617742157,93.02273196,23.89060097,70.47924994,30.76645024,90.13350394,17.58029355,6.762744358,0.289750596,14.65749393,0.37485682,88.8125,219.9280448,,,,18.51011123,40.84225969,10.95116249,237.1875,2.636414716,44.96212335,1.086187385,26.26053605,1770.814399,34.20763625,186.6842957,75.36701629,242.9583333,26.46033166,19.24908093,179.4895833,8.873366958,47.64286181,10.0291361,52.35713819,76.85606161,3.29306002,262.746544,43.08906016,7.558948743,16.20927597,19.74759974,C19Rik_E01V_v2.xls,C19Rik,37.40317461,83.79072403,,,,,
22.58333333,0.089262187,36.58333333,0.144598155,65.86872896,10.43099641,35.57474749,44.77083333,69.51228738,44.5661203,30.48771262,19.37596282,13.65554847,81.82396078,21.09235672,47.57234484,34.67132227,75.34999549,19.18592945,10.56724477,0.377361184,23.60307306,0.397061236,97.08333333,269.2448806,,,,29.82310279,51.28059409,14.2436202,244.2083333,3.171446692,59.41065751,1.00693105,38.00214331,1788.831568,45.12900693,151.1455302,76.31802448,253,28.52359807,24.18107023,158.875,15.50139981,62.51573888,9.142302475,37.48426112,85.39120749,4.324483262,181.9450125,51.40224808,16.5936291,27.59861857,38.86573464,C1qb_E01V_v2.xls,C1qb,42.81702841,72.40138143,20.68220481,12.0523925,,,
20.14583333,0.082996354,35.10416667,0.144645521,74.34964508,12.41104004,59.05978156,,44.30590671,33.45570812,55.69409329,41.61806329,5.390163881,91.90132969,15.20224064,66.45340229,20.59240467,89.16882533,16.58502031,5.6376005,0.168911905,14.5696875,0.4146695,97.79166667,84.29049992,,,,20.8263,55.05057857,15.29112292,234.6041667,2.597726625,38.49151905,0.767997917,22.10960714,,22.66451905,110.6683286,59.27335476,242.5,16.93682143,19.16805821,,8.247917833,41.61357974,11.12617724,58.38642026,83.14556829,5.8403125,148.8919854,25.4055625,5.727697619,14.32393571,17.05104762,C1qtnf5_E01V.xls,C1qtnf5,32.76382381,85.67606429,,,1414.516136,,
,,42.70833333,0.172869625,80.73718123,10.315232,48.93209421,,54.40074152,43.5283029,45.59925848,36.37320681,8.115068708,94.37853744,24.75042565,69.2082915,32.86549435,91.26728358,13.91122535,6.382605619,0.291354167,17.71213333,0.375616208,85.85416667,82.69134375,,,,21.4700125,43.84398125,12.41198958,228.125,2.584349375,48.152125,0.967129167,28.2750125,,34.7702125,168.0204729,73.1747625,247.125,26.60981667,14.39239344,,7.823949976,53.6683945,6.907727738,46.3316055,86.15346446,5.5891,148.9054929,31.92570952,8.39790625,17.018725,20.80171042,Ccdc120_E01V.xls,Ccdc120,39.75420625,82.981275,,,1694.061874,,
