Sample Name,Unnamed: 1,Length,Tt.Ar,Ma.Ar,Ct.Mask,Ct.Ar_Tt.Ar,Ct.Ar,Ps.Pm,Ec.Pm,Po.Ar,Ct.Po,Ct.Th,J,Imax,Imin,Zmax,Zmin,Dmax,Dmin,App.D,Tiss.D,exp_name,gene_symbol
AAA_E01_F_total mean,,14.92,1.621646,0.934676,0.68697,42.22727275,0.684718,4.4332,3.426512539,0.002252,0.3292,0.16428,0.291836,0.186276,0.105556,0.211922,0.164432,1.75704192,1.284538401,1128.69922,1199.89814,AAA_E02_CF_2.xlsx,AAA_E02_CF_2.xlsx
AAA_E06_F_total mean,,14.72857143,1.650577143,0.964922857,0.685654286,41.39101122,0.683485714,4.510857143,3.482085764,0.002168571,0.315714286,0.161657143,0.299834286,0.193822857,0.106007143,0.21619,0.169144286,1.792771582,1.25282422,1125.167157,1195.341629,AAA_E03_CF_2.xlsx,AAA_E03_CF_2.xlsx
AAA_E04_F_total mean,,14.625,1.67784375,1.00409625,0.6737475,40.01165433,0.67119625,4.56725,3.551205864,0.00255125,0.378125,0.1565,0.3023675,0.19526,0.107105,0.21326125,0.16856375,1.830049337,1.269596156,1116.449938,1187.633225,AAA_E04_CF_2.xlsx,AAA_E04_CF_2.xlsx
AAA_E05_F_total mean,,14.9,1.70511125,1.00861375,0.6964975,40.74456825,0.69429375,4.576625,3.558843093,0.00220375,0.3165,0.1624125,0.31606375,0.20437125,0.11169,0.2225625,0.1756525,1.833716832,1.271176273,1121.818013,1191.350912,AAA_E05_CF_2.xlsx,AAA_E05_CF_2.xlsx
AAA_E06_F_total mean,,14.48333333,1.516885,0.881425,0.63546,41.74495376,0.6333075,4.308125,3.327977312,0.0021525,0.3395,0.15695,0.25538625,0.16621375,0.0891725,0.1909,0.14575,1.740114239,1.223674256,1112.845188,1183.472588,AAA_E06_CF_2.xlsx,AAA_E06_CF_2.xlsx
AAA_E08_F_Total mean,,14.645,1.711372857,1.029852857,0.68152,39.76211476,0.679195714,4.61,3.594609783,0.002324286,0.341285714,0.155514286,0.313531429,0.20377,0.109761429,0.222584286,0.171448571,1.829095833,1.278006913,1143.095443,1221.807214,AAA_E08_CF.xlsx,AAA_E08_CF.xlsx
AAA_E09_F_Total mean,,14.5625,1.5793275,0.93290875,0.64641875,40.79524517,0.6442025,4.4125,3.423191081,0.00221625,0.342625,0.154475,0.27110875,0.17454,0.09656875,0.19679125,0.15719125,1.771174816,1.228456709,1137.088313,1213.3965,AAA_E09_CF.xlsx,AAA_E09_CF.xlsx
AAA_E11_F_Total mean,,14.18875,1.45418375,0.86526625,0.5889175,40.35326821,0.58668875,3.925375,3.29618409,0.00222875,0.374,0.146925,0.227845,0.1445675,0.0832775,0.171655,0.13849625,1.680385937,1.20079525,1172.002775,1256.5274,AAA_E11_CF_2.xlsx,AAA_E11_CF_2.xlsx
AAA_E12_F_Total mean,,14.52875,1.638405,0.98296625,0.65543875,39.91753039,0.65376,4.331625,3.513944947,0.00167875,0.256625,0.1532,0.28634875,0.18201375,0.104335,0.2020475,0.1649525,1.800844121,1.265006034,1146.6739,1208.617,AAA_E12_CF_2.xlsx,AAA_E12_CF_2.xlsx
AAA_E13_F_Total mean,,14.09,1.530426,0.919404,0.611022,39.73844539,0.609094,4.0502,3.396945469,0.001928,0.3122,0.14846,0.251038,0.158556,0.092482,0.185608,0.147052,1.700463214,1.253748922,1174.41662,1253.93808,AAA_E13_CF.xlsx,AAA_E13_CF.xlsx
