Sample Name,Sample Number,Length,Tt.Ar,Ma.Ar,Ct.Mask,Ct.Ar_Tt.Ar,Ct.Ar,Ps.Pm,Ec.Pm,Po.Ar,Ct.Po,Ct.Th,J,Imax,Imin,Zmax,Zmin,Dmax,Dmin,App.D,Tiss.D,exp_name,gene_symbol,Le,Apparent Density,Tissue Density,Unnamed: 1
4921509C19RIK_E01_F_total mean,,13.72333333,1.457086667,0.892153333,0.564933333,38.61521971,0.56364,3.844833333,3.337793672,0.001293333,0.233666667,0.1405,0.226213333,0.142551667,0.083661667,0.168138333,0.13524,1.661011311,1.218162125,1135.790333,1211.604633,4921509C19Rik_E01_CF.xlsx,4921509C19Rik,,,,
4930563E22Rik_E01_F_total mean,,,1.5948375,0.93176375,0.66307375,41.47178904,0.6611975,4.34225,3.419991904,0.00187625,0.281375,0.1586625,0.2811375,0.1804625,0.10067625,0.20756125,0.15872,1.731191806,1.267703777,1157.5394,1227.205913,4930563E22Rik_E01_CF.xlsx,4930563E22Rik,14.822,,,
A1cf_E01_F_total mean,,14.566,1.4853075,0.83947125,0.64583625,43.31540613,0.64421,4.068,3.245717196,0.00162625,0.24825,0.1610375,0.25207125,0.16109,0.0909825,0.1896975,0.15294375,1.687913872,1.185392763,1165.847537,1234.522288,A1cf_E01_CF.xlsx,A1cf,,,,
Abca7_E01_F_total mean,,,1.726754286,1.083377143,0.643377143,37.20981173,0.641681429,4.511571429,3.687552162,0.001695714,0.262,0.145528571,0.303155714,0.196251429,0.106908571,0.211498571,0.16927,1.855315912,1.261041845,1151.688271,1224.297771,Abca7_E01_CF.xlsx,Abca7,14.624,,,
Acap1_E01_F_total mean,,,1.58550125,0.93208125,0.65342,41.10785518,0.6515775,4.2645,3.420323173,0.0018425,0.2815,0.156925,0.2748275,0.1755775,0.09925,0.20271,0.16069,1.726915584,1.233264759,1161.5325,1231.103325,Acap1_E01_CF.xlsx,Acap1,14.576,,,
ACSF2_E01_F_total mean,,14.4975,1.51032375,0.87953375,0.63079,41.68440704,0.62926875,4.069625,3.322078356,0.00152125,0.2395,0.1565125,0.250105,0.15743625,0.0926675,0.18854375,0.14599875,1.665487541,1.269365804,1170.07555,1243.404588,Acsf2_E01_CF.xlsx,Acsf2,,,,
Acsm2_E01_F_total mean,,,1.5961725,0.95285375,0.64331875,40.20758345,0.641635,4.2615,3.459247305,0.00168375,0.260875,0.1539,0.27501,0.17670125,0.09831,0.20256125,0.15808875,1.741176823,1.242620276,1146.638763,1214.626263,Acsm2_E01_CF.xlsx,Acsm2,14.55,,,
Adck2_E01_F_total mean,,,1.45829875,0.8932925,0.56500625,38.62108139,0.56367625,3.976625,3.349846526,0.00133,0.23475,0.1406,0.2212425,0.13917125,0.0820725,0.16976125,0.13640375,1.636219697,1.201971524,1154.468425,1230.920663,Adck2_E01_CF.xlsx,Adck2,14.952,,,
Adck5_E01_F_total mean,,,1.5699775,0.91073375,0.65924375,41.8453085,0.65714375,4.347,3.382168184,0.0021,0.31925,0.1598125,0.2746625,0.1782375,0.09642375,0.20206,0.1582475,1.75805735,1.218124967,1159.905713,1229.415625,Adck5_E01_CF.xlsx,Adck5,14.872,,,
Adgrb2_E01_F_total mean,,,1.60639,0.943315714,0.663074286,41.23609166,0.66131,4.364428571,3.439398273,0.001764286,0.266142857,0.157528571,0.284038571,0.182561429,0.10148,0.209271429,0.161971429,1.735154261,1.251069714,1158.101114,1226.027729,Adgrb2_E01_CF.xlsx,Adgrb2,14.76114286,,,
ADORA2B_E01_F_total mean,,14.16125,1.5689275,0.9611925,0.607735,38.56333441,0.604875,4.144,3.47247636,0.00286,0.468375,0.1451,0.25725125,0.1657275,0.09152375,0.18785,0.14715,1.75168039,1.242838814,1115.5292,1200.202175,Adora2b_E01_CF.xlsx,Adora2b,,,,
AHRR_E01_F_total mean,,14.3125,1.6553525,0.99486875,0.66048375,39.68310565,0.6579375,4.53275,3.534312195,0.00254625,0.386875,0.152225,0.2939975,0.18889375,0.10510375,0.209675,0.16337125,1.795881718,1.280101909,1115.9635,1187.355288,Ahrr_E01_CF.xlsx,Ahrr,,,,
Akap11_E01_F_total mean,,,1.49432875,0.87859875,0.61573,41.09202815,0.6141475,4.054375,3.322217262,0.0015825,0.25725,0.1521625,0.24449375,0.15663125,0.0878625,0.18910375,0.14329625,1.654141352,1.226521442,1154.311863,1223.299813,Akap11_E01_CF.xlsx,Akap11,14.366,,,
Akr1b8_E01_F_total mean,,,1.42245,0.84842625,0.57402375,40.30000881,0.57255875,3.785,3.262950542,0.001465,0.253625,0.1448125,0.21727375,0.13766,0.07961375,0.1679125,0.13194,1.63344993,1.205052578,1140.688225,1211.25955,Akr1b8_E01_CF.xlsx,Akr1b8,13.84,,,
Akr1d1_E01_F_total mean,,,1.50459375,0.874425,0.63016875,41.76574763,0.6283225,4.17475,3.314252173,0.00184625,0.292125,0.15625,0.25018625,0.159595,0.09059,0.1910425,0.15162125,1.668658513,1.194328842,1147.334738,1215.78335,Akr1d1_E01_CF.xlsx,Akr1d1,14.65,,,
Al464131_E01_F_total mean,,,1.5956375,0.93948125,0.65615625,41.02326631,0.6543675,4.326625,3.435312731,0.00178875,0.27275,0.1566625,0.27860625,0.18056375,0.09804125,0.20528125,0.159845,1.758321484,1.22590974,1156.451925,1225.3964,Al464131_E01_CF.xlsx,Al464131,14.702,,,
ARHGEF10_E01_F_total mean,,14.30125,1.5602,0.93707625,0.62312375,39.84458645,0.62110125,4.142625,3.428144907,0.0020225,0.323,0.1490125,0.2601975,0.16545,0.09474625,0.1931525,0.154445,1.706018184,1.223967166,1173.668488,1251.182075,Arhgef10_E01_CF.xlsx,Arhgef10,,,,
Arrb1_E01_F_total mean,,13.9025,1.389225,0.84174125,0.54748375,39.2243368,0.54598875,3.796625,3.252030559,0.001495,0.272375,0.13845,0.205965,0.132735,0.07323,0.16109875,0.1260375,1.642772668,1.160037225,,,Arrb1_E01_CF.xlsx,Arrb1,,1146.838863,1223.003988,
ARSK_E01_F_total mean,,14.61428571,1.7651675,1.06424875,0.70091875,39.58110498,0.6984525,4.70025,3.656185583,0.00246625,0.352,0.157325,0.3314,0.2138125,0.11758625,0.22851625,0.18085375,1.87087173,1.299294475,1119.34245,1189.500775,Arsk_E01_CF.xlsx,Arsk,,,,
BC030499_E01_E01_F_total mean,,,1.50540625,0.87773125,0.627675,41.68382688,0.62577625,4.10625,3.317670166,0.00189875,0.30225,0.153875,0.24849875,0.15719,0.09130625,0.18784875,0.14848625,1.672665576,1.228341325,1148.865875,1217.67985,BC030499_E01_CF.xlsx,BC030499,14.544,,,
Bex4_E01_F_total mean,,,1.6767075,0.97872125,0.69798625,41.56391135,0.695775,4.55225,3.503785629,0.00221125,0.315125,0.16385,0.3112275,0.20078375,0.11043875,0.22399375,0.17319375,1.785964595,1.272512242,1170.858525,1240.838225,Bex4_E01_CF.xlsx,Bex4,14.952,,,
Bex6_E01_F_total mean,,,1.62949,0.9549825,0.6745075,41.28256915,0.6724375,4.417625,3.463495916,0.00207,0.306375,0.1602625,0.2907525,0.18629375,0.10446,0.2104125,0.16597125,1.770315311,1.258723134,1161.254113,1229.737513,Bex6_E01_CF.xlsx,Bex6,14.862,,,
Bhlhe_E01_F_total mean,,,1.66173625,1.01676875,0.6449675,38.69415535,0.643375,4.290375,3.571161937,0.0015925,0.246875,0.1502875,0.29163,0.18903875,0.1025925,0.2117575,0.159915,1.772106453,1.28237707,1143.61135,1211.6684,Bhlhe_E01_CF.xlsx,Bhlhe,14.266,,,
BZW2_E01_F_total mean,,14.705,1.8169325,1.04521375,0.77171875,42.29131158,0.76803375,4.5895,3.622827383,0.3685,0.00471375,0.1733625,0.36741625,0.2361775,0.13123875,0.2577075,0.1937325,1.831436846,1.354090064,1146.9124,1220.423588,Bzw2_E01_CF.xlsx,Bzw2,,,,
C1qa_E01_F_total mean,,14.6375,1.518525,0.86296,0.655565,43.03741077,0.6535475,4.185125,3.292442378,0.0020175,0.3075,0.1632125,0.2610075,0.16862375,0.09238625,0.19618375,0.1493525,1.71760266,1.236966172,1166.230313,1236.758075,C1qa_E01_CF.xlsx,C1qa,,,,
C1qb_E01_F_total mean,,,1.690496,0.997538,0.692958,40.84879259,0.691386,4.526,3.539792684,0.001572,0.2268,0.16002,0.31336,0.20233,0.11103,0.22127,0.171408,1.824926059,1.29225296,1165.1881,1233.10074,C1qb_E01_CF.xlsx,C1qb,14.8736,,,
C1QTNF5_E01_F_total mean,,14.7625,1.68164625,0.99504625,0.6866,40.69654766,0.68395125,4.558875,3.533917463,0.00264875,0.38775,0.1607625,0.30916125,0.2012675,0.10789625,0.22137125,0.16939,1.812118808,1.271895446,1121.826688,1192.697288,C1qtnf5_E01_CF.xlsx,C1qtnf5,,,,
Car12_E01_F_total mean,,,1.53316375,0.9275475,0.60561625,39.39497253,0.60366125,4.1545,3.4128907,0.001955,0.32,0.1464875,0.24813375,0.1569175,0.0912175,0.18488125,0.14619125,1.694918888,1.247578049,1147.169438,1219.38495,Car12_E01_CF.xlsx,Car12,14.288,,,
Carf_E01_F_total mean,,,1.62069625,0.94471375,0.6759825,41.66462138,0.67387625,4.4335,3.442117715,0.00210625,0.31325,0.16125,0.29126125,0.18846625,0.10279625,0.21416,0.16472875,1.756440741,1.244284094,1162.271988,1231.294725,Carf_E01_CF.xlsx,Carf,14.936,,,
Cbln3_E01_F_total mean,,14.65555556,1.672281111,0.985198889,0.687082222,40.92768341,0.684294444,4.572555556,3.518127744,0.002787778,0.403888889,0.159155556,0.309265556,0.206452222,0.102815556,0.221644444,0.166174444,1.861987252,1.237467948,1118.904256,1189.405233,Cbln3_E01_CF.xlsx,Cbln3,,,,
CCDC120_E01_F_total mean,,14.9875,1.71691625,1.0043175,0.71259875,41.32903124,0.70991,4.59325,3.552209592,0.00268875,0.37625,0.1645625,0.32578,0.2136075,0.11217375,0.23589,0.17776375,1.80871041,1.261364202,1124.215375,1193.487725,CCdc120_E01_CF.xlsx,Ccdc120,,,,
