Sample_Name,Sample Number,BV/TV,Tb.Th,Tb.N,Tb.Sp,Conn.D,App.D,Tiss.D,TV,BV,SMI,BS,BS/BV,BS/TV,BS/MV,DA,exp_name,gene_symbol
4921509C19Rik_E_F_total mean,,16.41333333,47.01666667,4.257083333,235,149.9856667,173.8333167,778.8162167,1.286533333,0.22385,1.662083333,9.02145,49.16505,6.748261889,8.134121357,1.991216667,4921509C19Rik_E01_CV.xlsx,4921509C19Rik
4930563E22Rik_F_total mean,,20.37875,50.975,4.5104375,222.7125,197.54165,202.53045,770.450075,1.7085375,0.3511625,1.35665,13.7948,43.8364125,8.01719776,10.10527055,1.8141625,4930563E22Rik_E01_CV.xlsx,4930563E22Rik
A1cf_E01_F_total mean,,23.7425,54.425,4.687475,212.35,183.0659,228.8120125,799.3937,1.5865625,0.3853,0.989025,13.7436875,39.81135,8.556723752,11.28995677,1.8753,A1cf_E01_CV.xlsx,A1cf
Abca7_E01_F_total mean,,21.39714286,53.5,4.398157143,227.5714286,161.0906,209.4553429,792.1506429,1.582571429,0.339614286,1.150014286,12.62424286,40.75024286,7.983198318,10.17856025,1.896614286,Abca7_E01_CV.xlsx,Abca7
Acap1_E01_F_total mean,,20.79875,52.6625,4.4567875,224.4375,175.8985625,208.5679875,794.5045,1.438675,0.302275,1.320975,11.4100125,41.904525,7.876565669,9.970083132,1.9009,Acap1_E01_CV.xlsx,Acap1
Acsf2_E01_F_total mean,,26.4219983,57.675,4.6152875,217.7875,180.60525,251.4048875,792.381375,2.202825,0.5834625,0.6825125,20.3835375,37.0864125,9.250819877,12.63368735,1.8214125,Acsf2_E01_CV.xlsx,Acsf2
Acsm2_E01_F_total mean,,22.00875,52.5375,4.62165,215.6125,186.4883125,218.53775,794.626275,1.5112375,0.33425,1.14295,12.5938625,41.598525,8.298492554,10.6663301,1.8967875,Acsm2_E01_CV.xlsx,Acsm2
Adck2_E01_F_total mean,,18.5775,49.5625,4.368025,231.35,178.2110625,189.8986125,776.9834875,1.600775,0.30095,1.5633625,12.0482625,45.9093125,7.480225435,9.217607524,1.76755,Adck2_E01_CV.xlsx,Adck2
Adck5_E01_F_total mean,,21.93375,53.35,4.6064375,215.75,172.4717625,218.34635,799.2632125,1.60995,0.3558,1.1709125,13.2249375,40.903475,8.168979846,10.49108195,1.8842875,Adck5_E01_CV.xlsx,Adck5
Adgrb2_E01_F_total mean,,23.60857143,54.75714286,4.725214286,210.0285714,184.0796143,230.1256286,798.9910286,1.668657143,0.397657143,1.0435,14.49384286,39.87145714,8.648006455,11.37540997,1.971842857,Adgrb2_E01_CV.xlsx,Adgrb2
