Sample_Name,Sample Number,BV/TV,Tb.Th,Tb.N,Tb.Sp,Conn.D,App.D,Tiss.D,TV,BV,SMI,BS,BS/BV,BS/TV,BS/MV,DA,exp_name,gene_symbol
4921509C19Rik_E01_F01_CF,6053,2.12,42.7,2.9132,343.1,2.3832,41.3092,726.908,1.2588,0.0267,4.6173,1.2813,70.2397,1.017874166,1.039931824,1.3523,4921509C19Rik_E01_CF.xlsx,4921509C19Rik
4921509C19Rik_E01_F02_CF,6054,5.94,48,3.6154,278.1,12.9212,78.3347,773.538,1.7026,0.1012,3.7675,4.6093,56.4823,2.707212499,2.878293993,1.309,4921509C19Rik_E01_CF.xlsx,4921509C19Rik
4921509C19Rik_E01_F03_CF,6055,7.37,46.1,3.9453,254.2,26.8785,87.0343,721.41,1.5812,0.1165,3.6011,5.634,60.8629,3.56311662,3.846521472,1.4543,4921509C19Rik_E01_CF.xlsx,4921509C19Rik
4921509C19Rik_E01_F04_CF,6056,1.56,41.6,2.237,445,3.4155,25.8587,701.853,1.0247,0.016,3.9381,0.6261,55.3107,0.6110081,0.620699911,1.297,4921509C19Rik_E01_CF.xlsx,4921509C19Rik
4921509C19Rik_E01_F05_CF,6058,4.24,44.4,3.4667,293.8,8.8986,64.9721,770.545,1.3485,0.0571,3.9887,2.8234,66.1292,2.093733778,2.186309432,1.285,4921509C19Rik_E01_CF.xlsx,4921509C19Rik
4921509C19Rik_E01_F06_CF,6059,6.7,47.7,4.0481,247.2,23.423,80.4227,724.194,1.3875,0.093,3.7643,4.3104,58.3096,3.106594595,3.329779838,1.5135,4921509C19Rik_E01_CF.xlsx,4921509C19Rik
4930563E22Rik_F01_CF,13053,7.96,48.6,4.0333,249.1,35.8945,94.7596,771.38,1.8944,0.1507,3.5188,7.2779,59.1563,3.841796875,4.173825773,1.3751,4930563E22Rik_E01_CF.xlsx,4930563E22Rik
4930563E22Rik_F02_CF,13054,8.1,46.4,4.2127,234.6,46.6888,94.69,731.432,1.585,0.1284,3.3816,6.4046,61.6043,4.040757098,4.396951806,1.2646,4930563E22Rik_E01_CF.xlsx,4930563E22Rik
4930563E22Rik_F03_CF,13055,6.21,43.8,3.7836,264.5,24.1985,79.7963,722.245,1.7356,0.1078,3.3904,5.5189,63.634,3.17982254,3.390404227,1.3903,4930563E22Rik_E01_CF.xlsx,4930563E22Rik
4930563E22Rik_F04_CF,13056,7.89,45.8,3.9412,251.9,45.6622,94.6204,764.142,1.6425,0.1295,3.2771,6.4707,61.0091,3.939543379,4.276734964,1.3671,4930563E22Rik_E01_CF.xlsx,4930563E22Rik
4930563E22Rik_F05_CF,13058,7.24,46.9,3.9063,255.1,34.0029,88.0783,732.337,1.7057,0.1234,3.5292,5.9085,59.3568,3.463973735,3.734121216,1.4138,4930563E22Rik_E01_CF.xlsx,4930563E22Rik
