Sample Name,Sample Number,Length,Tt.Ar,Ma.Ar,Ct.Mask,Ct.Ar_Tt.Ar,Ct.Ar,Ps.Pm,Ec.Pm,Po.Ar,Ct.Po,Ct.Th,J,Imax,Imin,Zmax,Zmin,Dmax,Dmin,App.D,Tiss.D,exp_name,gene_symbol,Le,Apparent Density,Tissue Density,Unnamed: 1
4921509C19RIK_E01_M_total mean,,14.6375,1.69142,1.0032825,0.6881375,40.57286554,0.68639875,4.4905,3.548575152,0.00173875,0.25325,0.157075,0.31567625,0.20986,0.1058175,0.21927375,0.17172125,1.905038952,1.229237558,1161.30635,1230.616163,4921509C19Rik_E01_CF.xlsx,4921509C19Rik,,,,
4930563E22Rik_E01_M_total mean,,,1.88619875,1.13489,0.75130875,39.77238202,0.74913375,4.893375,3.771331611,0.002175,0.288375,0.163975,0.3889725,0.2603225,0.12864875,0.25805625,0.19634,2.005320346,1.303411134,1138.783025,1200.8548,4930563E22Rik_E01_CF.xlsx,4930563E22Rik,14.868,,,
A1cf_E01_M_total mean,,14.772,1.75138375,1.00562875,0.745755,42.56871328,0.74376625,4.560625,3.539063556,0.00198875,0.258,0.172675,0.35560125,0.230815,0.12478625,0.24108875,0.18962375,1.85985419,1.292233058,1161.9066,1226.26635,A1cf_E01_CF.xlsx,A1cf,,,,
Abca7_E01_M_total mean,,,1.758862857,1.063674286,0.695188571,39.07846671,0.692504286,4.638571429,3.648498777,0.002684286,0.362571429,0.157457143,0.34753,0.234615714,0.112914286,0.24095,0.178292857,1.893463741,1.242496521,1145.315214,1213.321343,Abca7_E01_CF.xlsx,Abca7,14.64457143,,,
Acap1_E01_M_total mean,,,1.835618,1.103248,0.73237,39.81984784,0.72965,4.7346,3.720185057,0.00272,0.3784,0.16184,0.369976,0.252562,0.117408,0.255458,0.18698,1.973436193,1.253821629,1149.36178,1214.78288,Acap1_E01_CF.xlsx,Acap1,14.7296,,,
ACSF2_E01_M_total mean,,14.39625,1.49484625,0.88673375,0.6081125,40.69643448,0.60639875,4.080125,3.334134405,0.00171375,0.282125,0.14965,0.24191375,0.15525,0.08666375,0.18325125,0.14230625,1.694277712,1.218586687,1157.800388,1232.4083,Acsf2_E01_CF.xlsx,Acsf2,,,,
Acsm2_E01_M_total mean,,,1.81586125,1.08989375,0.7259675,39.74896003,0.72396625,4.77325,3.69619279,0.00200125,0.272625,0.16145,0.36409,0.24344125,0.12064625,0.2450975,0.18872375,1.964887807,1.264848958,1139.5312,1202.5686,Acsm2_E01_CF.xlsx,Acsm2,14.876,,,
Adck2_E01_M_total mean,,,1.58987625,0.9648575,0.62501875,39.29776259,0.6232725,4.16075,3.474669393,0.00174625,0.275125,0.1491625,0.269815,0.172785,0.09703,0.1969525,0.154995,1.739833632,1.240982845,1151.275688,1222.638625,Adck2_E01_CF.xlsx,Adck2,15.398,,,
Adck5_E01_M_total mean,,,1.74264875,1.01645,0.72619875,41.5829631,0.72427375,4.657125,3.56707335,0.001925,0.2645,0.165825,0.3452275,0.23106375,0.114165,0.24022625,0.18427,1.90428882,1.227342056,1149.53575,1213.443125,Adck5_E01_CF.xlsx,Adck5,14.912,,,
Adgrb2_E01_M_total mean,,,1.8383125,1.07751375,0.76079875,41.26043288,0.75887125,4.729,3.677374135,0.0019275,0.25,0.168475,0.3804675,0.25431875,0.12614875,0.26307125,0.19644,1.926400836,1.278450722,1146.108088,1205.709175,Adgrb2_E01_CF.xlsx,Adgrb2,14.75,,,
