Sample_Name,Sample Number,BV/TV,Tb.Th,Tb.N,Tb.Sp,Conn.D,App.D,Tiss.D,TV,BV,SMI,BS,BS/BV,BS/TV,BS/MV,DA,exp_name,gene_symbol
4921509C19Rik_E_M_total mean,,21.51875,50.925,5.1022375,191.6625,190.12845,215.719075,813.7393625,1.6087875,0.353575,1.4791125,13.9223375,44.5038875,8.532575962,10.93974399,1.8819125,4921509C19Rik_E01_CV.xlsx,4921509C19Rik
4930563E22Rik_M_total mean,,22.65125,52.0375,5.2270375,184.8375,195.513475,226.6197,811.747125,1.7203375,0.3886875,1.3855,15.2874125,43.7716375,8.887996986,11.55247892,2.0125625,4930563E22Rik_E01_CV.xlsx,4930563E22Rik
A1cf_E01_M_total mean,,27.99857143,57,5.522742857,170,184.6531571,265.8885143,850.3237143,1.627357143,0.467742857,0.775885714,16.24092857,37.62054286,9.782438296,13.66501824,2.149757143,A1cf_E01_CV.xlsx,A1cf
Abca7_E01_M_total mean,,21.02714286,49.64285714,5.165371429,189.1428571,189.4924,215.0927,804.8073286,1.568957143,0.3414,1.4988,13.40722857,47.01894286,8.420288407,10.81723511,1.863871429,Abca7_E01_CV.xlsx,Abca7
Acap1_E01_M_total mean,,22.918,53.4,5.26448,184.26,187.60804,230.98864,830.98372,1.63624,0.372,1.44672,14.3601,42.37256,8.771505103,11.39449193,1.97938,Acap1_E01_CV.xlsx,Acap1
Acsf2_E01_M_total mean,,23.58415549,51.15,5.2588375,186.5,209.8599125,237.4942125,814.652375,1.9556125,0.4606875,1.199725,18.7710625,43.9048375,9.593936785,12.57749505,1.8412,Acsf2_E01_CV.xlsx,Acsf2
Acsm2_E01_M_total mean,,24.57125,52.6125,5.4644375,174.6125,197.08005,241.8179,819.2462125,1.57275,0.3939625,1.150025,14.7930875,42.1880875,9.295727561,12.44024466,1.9310625,Acsm2_E01_CV.xlsx,Acsm2
Adck2_E01_M_total mean,,26.14125,55.2875,5.328125,181.1375,190.167675,249.0560125,818.802525,1.538775,0.4040625,0.9596125,14.47905,39.6610125,9.386585485,12.8489934,1.9298875,Adck2_E01_CV.xlsx,Adck2
Adck5_E01_M_total mean,,24.83,51.225,5.543175,173.575,211.97465,243.6796375,814.1308375,1.4936625,0.366625,1.112075,13.9766625,43.7983125,9.404431051,12.72105456,1.9130875,Adck5_E01_CV.xlsx,Adck5
Adgrb2_E01_M_total mean,,25.79125,55.2875,5.558475,172.5625,197.401475,251.857275,820.5076625,1.502125,0.3875125,1.1518875,14.3114,40.2828,9.53436283,12.86382156,1.9839375,Adgrb2_E01_CV.xlsx,Adgrb2
Adora2b_M_total mean,,21.71958904,51.8125,5.2883875,185.375,196.0047875,229.8594875,715.582,2.05255,0.4463,1.638375,18.4189375,45.8059875,8.981402871,11.5358994,1.8306,Adora2b_E01_CV.xlsx,Adora2b
Ahrr_M_total mean,,25.86928909,57.07142857,5.446142857,178.7,195.0536571,251.8826714,755.2147143,1.985314286,0.514357143,1.224985714,19.05822857,40.25801429,9.626653173,13.0889731,1.866614286,Ahrr_E01_CV.xlsx,Ahrr
Akap11_E01_M_total mean,,29.0875,57.15,5.8550875,162.3375,204.8019875,274.9025625,847.9201375,1.44315,0.4191875,0.848875,14.4398,38.7922125,10.00148169,14.43641202,2.0415875,Akap11_E01_CV.xlsx,Akap11
Akr1b8_E01_M_total mean,,22.99875,51.1375,5.305425,182.7375,186.6327875,226.871975,803.117125,1.3170125,0.3100875,1.31825,11.70285,43.68415,8.751979994,11.49941508,1.9256,Akr1b8_E01_CV.xlsx,Akr1b8
Akr1d1_E01_M_total mean,,26.4,55.675,5.391825,179.45,204.5650125,253.8756,825.11845,1.6652,0.4423875,1.0148375,15.927975,39.648625,9.544181153,13.04247054,1.93365,Akr1d1_E01_CV.xlsx,Akr1d1
Al464131_E01_M_total mean,,25.17142857,52.75714286,5.648714286,169.7,218.2210429,246.7692429,818.4980429,1.587585714,0.4009,1.150471429,15.38905714,41.99257143,9.651796403,12.92129048,1.919928571,Al464131_E01_CV.xlsx,Al464131
Arhgef10_E01_M_total mean,,20.17190045,49.125,5.0018875,197.6625,196.504875,212.01305,804.108375,1.9768125,0.3982,1.55425,17.142925,47.9942,8.67319417,10.91790531,1.7936375,Arhgef10_E01_CV.xlsx,Arhgef10
Arrb1_E01_M_total mean,,18.56625,47.3,4.869025,201.8125,172.966,201.112425,784.603875,1.4732,0.2764375,1.698725,11.87705,48.8781,7.982796399,9.866034722,1.8555125,Arrb1_E01_CV.xlsx,Arrb1
Arrdc1_M_total mean,,22.84451021,53.9,5.180857143,188.8571429,181.3560429,231.3535143,771.9417143,1.916614286,0.439757143,1.471085714,17.39355714,43.33465714,9.026003654,11.73827223,1.897642857,Arrdc1_E01_CV.xlsx,Arrdc1
Arsk_M_total mean,,24.6965687,53.15,5.54615,173.725,209.849375,243.46205,758.88275,2.0676,0.5107,1.306325,20.16805,42.567775,9.755172831,12.97642943,1.8593,Arsk_E01_CV.xlsx,Arsk
BC030499_E01_M_total mean,,26.01375,53.35,5.6919,168.225,211.5234125,252.883825,815.9403375,1.521725,0.396975,1.084525,14.9528375,41.246625,9.816592472,13.29659159,1.9910125,BC030499_E01_CV.xlsx,BC030499
Bex4_E01_M_total mean,,27.04,55.12857143,5.709414286,166.6,218.2612714,262.1700429,826.6905857,2.021871429,0.5531,0.963971429,20.36907143,40.54972857,10.02779098,13.85907744,1.978542857,Bex4_E01_CV.xlsx,Bex4
Bex6_E01_M_total mean,,21.9575,51.8125,5.1889,187.6875,187.74815,222.043675,802.534225,1.6280875,0.36145,1.4571375,14.05565,44.373375,8.620306719,11.10262036,1.83225,Bex6_E01_CV.xlsx,Bex6
Bhlhe_E01_M_total mean,,25.34875,53.7,5.4456375,175.5625,214.0683,245.48045,824.3093875,1.6053375,0.414725,1.1126125,15.472475,41.4534875,9.519909455,12.85009374,1.965875,Bhlhe_E01_CV.xlsx,Bhlhe
Bzw_M_total mean,,25.77719119,57.3,5.619275,171.8375,201.303275,255.779075,743.925,2.355025,0.6091625,1.32665,23.00465,40.542475,9.763237733,13.19954158,1.92205,Bzw2_E01_CV.xlsx,Bzw2
C1qa_E01_M_total mean,,23.85,52.475,5.4072,178.975,204.5709625,237.415925,809.424,1.7603625,0.4259125,1.2574125,16.7589125,43.9140375,9.475210097,12.54061908,1.851375,C1qa_E01_CV.xlsx,C1qa
C1qb_E01_M_total mean,,29.0925,59.9,5.6451625,167.075,204.0001875,276.3467,846.702225,1.8038625,0.5287,0.8889625,17.9806375,37.0523125,9.968505613,14.12444985,2.037575,C1qb_E01_CV.xlsx,C1qb
