Sample Name,Sample Number,Length,Tt.Ar,Ma.Ar,Ct.Mask,Ct.Ar_Tt.Ar,Ct.Ar,Ps.Pm,Ec.Pm,Po.Ar,Ct.Po,Ct.Th,J,Imax,Imin,Zmax,Zmin,Dmax,Dmin,App.D,Tiss.D,exp_name,gene_symbol,,,Tissue Density,Unnamed: 1
4921509C19RIK_E01_M01_CF                    ,6061,14.5,1.74787,1.05505,0.69282,39.56758798,0.69159,4.514,3.641174167,0.00123,0.177,0.1558,0.32452,0.20816,0.11636,0.22385,0.18303,1.859816842,1.271485549,1162.7939,1229.8854,4921509C19Rik_E01_CF.xlsx,4921509C19Rik,,,,
4921509C19RIK_E01_M02_CF                    ,6062,13.87,1.49599,0.85821,0.63778,42.53504368,0.63632,3.914,3.283989179,0.00146,0.23,0.1553,0.25336,0.16707,0.08629,0.18857,0.14877,1.771967969,1.160045708,1154.6511,1223.2737,4921509C19Rik_E01_CF.xlsx,4921509C19Rik,,,,
4921509C19RIK_E01_M03_CF                    ,6063,15.04,1.92688,1.11224,0.81464,42.16453541,0.81246,4.948,3.738558553,0.00218,0.268,0.1746,0.42395,0.28823,0.13572,0.27618,0.21375,2.087261931,1.269894737,1171.2152,1235.5227,4921509C19Rik_E01_CF.xlsx,4921509C19Rik,,,,
4921509C19RIK_E01_M04_CF                    ,6064,15.04,1.7007,1.00129,0.69941,41.0254601,0.69772,4.614,3.54719343,0.00169,0.242,0.16,0.31912,0.21312,0.106,0.22317,0.16815,1.909934131,1.260779066,1165.5083,1235.9403,4921509C19Rik_E01_CF.xlsx,4921509C19Rik,,,,
4921509C19RIK_E01_M05_CF                    ,6066,14.98,1.74418,1.03011,0.71407,40.84440826,0.7124,4.694,3.597880492,0.00167,0.234,0.1629,0.33573,0.2245,0.11123,0.2262,0.17851,1.984969054,1.246204694,1159.9406,1227.032,4921509C19Rik_E01_CF.xlsx,4921509C19Rik,,,,
4921509C19RIK_E01_M06_CF                    ,6067,14.5,1.62047,0.98027,0.6402,39.3947435,0.63838,4.402,3.509762972,0.00182,0.285,0.1473,0.28354,0.18943,0.09412,0.20056,0.15396,1.88901077,1.222655235,1155.7646,1228.3542,4921509C19Rik_E01_CF.xlsx,4921509C19Rik,,,,
4921509C19RIK_E01_M07_CF                    ,6068,14.58,1.67532,1.01594,0.65938,39.24683046,0.65751,4.456,3.573048917,0.00187,0.283,0.1497,0.3013,0.20055,0.10075,0.21459,0.16583,1.869145813,1.215099801,1156.9479,1227.2407,4921509C19Rik_E01_CF.xlsx,4921509C19Rik,,,,
4921509C19RIK_E01_M08_CF                    ,6069,14.59,1.61995,0.97315,0.6468,39.80431495,0.64481,4.382,3.496993503,0.00199,0.307,0.151,0.28389,0.18782,0.09607,0.20107,0.16177,1.868205103,1.187735674,1163.6292,1237.6803,4921509C19Rik_E01_CF.xlsx,4921509C19Rik,,,,
4930563E22Rik_M01_CF                      ,13063,14.944,1.9495,1.17042,0.77908,39.83226468,0.77653,4.971,3.83509211,0.00255,0.328,0.1685,0.40669,0.26739,0.1393,0.26301,0.20899,2.033306718,1.333078138,1130.0138,1190.3544,4930563E22Rik_E01_CF.xlsx,4930563E22Rik,,,,
4930563E22Rik_M02_CF                      ,13064,14.864,1.76632,1.07184,0.69448,39.20014493,0.6924,4.757,3.670032517,0.00208,0.299,0.1553,0.33615,0.22738,0.10877,0.23407,0.1738,1.942837613,1.251668585,1131.0577,1196.3397,4930563E22Rik_E01_CF.xlsx,4930563E22Rik,,,,
4930563E22Rik_M03_CF                      ,13065,14.608,1.61049,0.90254,0.70795,43.78791548,0.7052,4.318,3.367736946,0.00275,0.387,0.1709,0.3016,0.20084,0.10076,0.2224,0.16357,1.806115108,1.23201076,1148.457,1214.0173,4930563E22Rik_E01_CF.xlsx,4930563E22Rik,,,,
4930563E22Rik_M04_CF                      ,13066,14.976,1.98195,1.17147,0.81048,40.78205807,0.80828,5.06,3.836811982,0.0022,0.272,0.1706,0.44056,0.30278,0.13778,0.29165,0.21652,2.076324361,1.272676889,1144.142,1203.1602,4930563E22Rik_E01_CF.xlsx,4930563E22Rik,,,,
4930563E22Rik_M05_CF                      ,13068,15.008,2.08513,1.27216,0.81297,38.85465175,0.81017,5.355,3.998303895,0.0028,0.345,0.1697,0.46051,0.2965,0.16401,0.28347,0.22779,2.091932127,1.440010536,1142.3325,1200.5851,4930563E22Rik_E01_CF.xlsx,4930563E22Rik,,,,
4930563E22Rik_M06_CF                      ,13069,15.2,2.09884,1.26364,0.8352,39.69097216,0.83305,5.328,3.984892541,0.00215,0.257,0.1726,0.47712,0.32064,0.15648,0.29886,0.23148,2.145753865,1.351995853,1149.6401,1209.0759,4930563E22Rik_E01_CF.xlsx,4930563E22Rik,,,,
4930563E22Rik_M07_CF                      ,13070,14.672,1.68792,1.04398,0.64394,38.06756244,0.64255,4.512,3.622021479,0.00139,0.216,0.1472,0.29907,0.19791,0.10116,0.21102,0.16126,1.875746375,1.254619869,1134.2593,1200.9331,4930563E22Rik_E01_CF.xlsx,4930563E22Rik,,,,
4930563E22Rik_M08_CF                      ,13071,14.672,1.90944,1.18307,0.72637,37.96348668,0.72489,4.846,3.855761414,0.00148,0.203,0.157,0.39008,0.26914,0.12093,0.25997,0.18731,2.070546602,1.291228445,1130.3618,1192.3727,4930563E22Rik_E01_CF.xlsx,4930563E22Rik,,,,
A1cf_E01_M01_CF                           ,7165,14,1.43898,0.81404,0.62494,43.35849004,0.62392,3.751,3.198363384,0.00102,0.164,0.1608,0.23359,0.14694,0.08665,0.17898,0.14478,1.64197117,1.196988534,1154.512,1222.0906,A1cf_E01_CF.xlsx,A1cf,,,,
A1cf_E01_M02_CF                           ,7166,14.304,1.53853,0.84904,0.68949,44.68551149,0.6875,3.998,3.266397298,0.00199,0.288,0.1732,0.27469,0.17686,0.09783,0.2088,0.15522,1.694061303,1.260533436,1161.0541,1225.8488,A1cf_E01_CF.xlsx,A1cf,,,,
A1cf_E01_M03_CF                           ,7167,14.784,1.64092,0.93855,0.70237,42.73395412,0.70123,4.306,3.434263697,0.00114,0.162,0.1678,0.30215,0.193,0.10915,0.2178,0.17323,1.772268136,1.260174335,1156.3214,1220.281,A1cf_E01_CF.xlsx,A1cf,,,,
A1cf_E01_M04_CF                           ,7168,14.16,1.44791,0.83544,0.61247,42.22914408,0.61144,3.895,3.240130964,0.00103,0.168,0.1606,0.22939,0.14139,0.088,0.16974,0.14202,1.665959703,1.239262076,1157.2958,1225.1528,A1cf_E01_CF.xlsx,A1cf,,,,
A1cf_E01_M05_CF                           ,7170,14.336,1.49793,0.86265,0.63528,42.28234964,0.63336,4.036,3.292473175,0.00192,0.303,0.1572,0.25314,0.16715,0.08599,0.19357,0.14792,1.727023816,1.162655489,1147.3435,1212.3469,A1cf_E01_CF.xlsx,A1cf,,,,
A1cf_E01_M06_CF                           ,7171,15.6,2.26199,1.29912,0.96287,42.43210624,0.95981,5.675,4.040448415,0.00306,0.318,0.1946,0.57864,0.38074,0.1979,0.35092,0.27289,2.169953266,1.450401261,1177.4093,1236.7059,A1cf_E01_CF.xlsx,A1cf,,,,
A1cf_E01_M07_CF                           ,7172,15.36,2.05995,1.19682,0.86313,41.76897498,0.86042,5.28,3.878103103,0.00271,0.314,0.1848,0.47529,0.31449,0.16079,0.29769,0.23206,2.112869092,1.385762303,1171.9111,1234.27,A1cf_E01_CF.xlsx,A1cf,,,,
A1cf_E01_M08_CF                           ,7173,15.632,2.12486,1.24937,0.87549,41.05917566,0.87245,5.544,3.962328413,0.00304,0.347,0.1824,0.49792,0.32595,0.17198,0.31121,0.24887,2.094727033,1.382087033,1169.4056,1233.4348,A1cf_E01_CF.xlsx,A1cf,,,,
Abca7_E01_M01_CF                          ,11960,14.64,1.69857,1.02316,0.67541,39.6810258,0.67401,4.487,3.585722766,0.0014,0.207,0.1589,0.32016,0.2217,0.09847,0.23173,0.16208,1.913433738,1.215078973,1159.0358,1225.9879,Abca7_E01_CF.xlsx,Abca7,,,,
Abca7_E01_M02_CF                          ,11961,15.408,2.20906,1.28641,0.92265,41.4959304,0.91667,5.592,4.020634878,0.00598,0.648,0.1901,0.55399,0.3792,0.17479,0.35054,0.25738,2.163519142,1.358225192,1163.6292,1228.4934,Abca7_E01_CF.xlsx,Abca7,,,,
Abca7_E01_M03_CF                          ,11962,15.2,2.18853,1.2642,0.92433,42.03597849,0.91997,5.71,3.985775424,0.00436,0.472,0.1924,0.55264,0.37447,0.17816,0.34334,0.25484,2.181336285,1.398210642,1170.3104,1228.7023,Abca7_E01_CF.xlsx,Abca7,,,,
Abca7_E01_M04_CF                          ,11963,13.968,1.58027,1.03791,0.54236,34.21946882,0.54076,4.128,3.611476391,0.0016,0.295,0.1304,0.24512,0.16549,0.07963,0.19154,0.13451,1.727994153,1.18400119,1113.8673,1188.1969,Abca7_E01_CF.xlsx,Abca7,,,,
Abca7_E01_M05_CF                          ,11965,14.336,1.46589,0.91931,0.54658,37.1542203,0.54464,4.03,3.398880723,0.00194,0.356,0.1356,0.21879,0.14217,0.07662,0.17188,0.13038,1.654293693,1.17533364,1129.7355,1205.8745,Abca7_E01_CF.xlsx,Abca7,,,,
Abca7_E01_M06_CF                          ,11966,14.544,1.59793,0.96307,0.63486,39.60624057,0.63288,4.342,3.478835229,0.00198,0.312,0.1476,0.27688,0.18445,0.09243,0.20111,0.15392,1.834319527,1.201013514,1143.5852,1213.043,Abca7_E01_CF.xlsx,Abca7,,,,
