Bone type,Bone #,R_BS,G_BS,R_G,Ronly_BS,Gonly_BS,sLS_BS,dLS_BS,LS_BS,R_LS,G_LS,MS_BS,sLS_LS,dLS_LS,dLS_sLS,MAR,BFR,BV_TV,Tb.Th,Tb.N,Tb.Sp,AP_BS,AP_R_BS,AP_G_BS,AP_RG_BS,AP_R_RG_BS,AP_L_BS,AP_NL_BS,AP_L_AP,AP_NL_AP,AP_R_R,AP_G_G,AP_RG_RG,AP_R_RG_R,AP_TRAP_BS,TRAP_BS,TRAP_L_BS,TRAP_NL_BS,AP_TRAP_R_RG_BS,TRAP_on_TRAP,TRAP_L_TRAP_on,TRAP_NL_TRAP_on,GFP_BS,GFP_R_BS,GFPonly_BS,Height_Width,Osteocytes_Density,Cortex_Width,AC_Intensity,RedBeads_Intensity,AC_RedBeads,AC_BR_Intensity,AC_BR_RedBeads,Calcein_Intensity,GreenBeads_Intensity,Calcein_GreenBeads,AP_Intensity,TRAP_Intensity,exp_name,gene_symbol,AP_Background_Intensity,TRAP_Background_Intensity,Osteocytes_N
Male,Acsf2_E01_hV_M_s1,37.55876244,13.25798895,246.1841634,31.80277687,8.295430823,41.30315951,5.755985569,47.05914507,79.81182483,32.41956092,26.40756532,87.76861424,12.23138576,13.93594494,0.871473153,0.237935158,9.130422674,33.02105451,2.770766201,328.5242909,85.43483285,31.19602055,8.888160052,5.411610364,36.60763092,45.49579097,41.0189133,52.58735073,47.41264927,83.05923446,58.30046612,97.44094488,97.46761752,19.88644232,19.85735184,10.85601837,10.75762545,8.500054663,73.76547206,50.2276176,49.7723824,,,,2.678984612,1335.462505,59.92407159,31.66666667,244.3333333,0.129569646,22,0.090022904,77.33333333,240.6666667,0.321409636,66,144,Acsf2_E01V.xls,Acsf2,,,
,Acsf2_E01_hV_M_s2,35.98353769,19.30393763,189.3891348,27.89056922,11.21096915,39.10153837,8.092968475,47.19450685,76.34041033,40.55594628,27.64373766,83.10364339,16.89635661,20.54441416,0.664143173,0.183401072,13.23638433,40.08231007,3.303111292,264.0080977,86.18379896,27.46377397,10.84161308,6.785273036,34.249047,45.09066008,41.09313888,52.23344892,47.76655108,76.73043999,55.94511548,94.88949852,95.17705383,16.31995261,17.04640265,9.308379758,7.738022893,7.206287954,81.99110067,55.11306135,44.88693865,,,,3.208853502,1455.294294,99.25135314,34,243.3333333,0.139762002,22.33333333,0.09178973,77.33333333,238.3333333,0.324461165,71.66666667,141.6666667,Acsf2_E01V.xls,Acsf2,,,
,Acsf2_E01_hV_M_s3,43.63209745,21.69767703,201.5432233,32.54658757,10.61216715,43.15875472,11.08550988,54.2442646,80.43894041,39.9964281,32.66488724,79.56463149,20.43536851,25.68729519,0.874803815,0.28453017,17.89251,47.59949264,3.754281435,219.8633154,88.13985445,29.69617666,9.81962608,10.09052505,39.78670171,49.60632779,36.06894726,57.90251714,42.09748286,68.02926709,45.19008197,95.49153278,91.1519865,14.19571976,16.61901307,8.693112498,7.925900572,6.158582925,83.05105391,52.29183411,47.70816589,,,,3.319038631,1394.574304,93.23854338,36.33333333,244.6666667,0.14851837,24,0.098094096,86.66666667,239,0.362614565,67.66666667,142.3333333,Acsf2_E01V.xls,Acsf2,,,
,Acsf2_E01_hV_M_s4,34.37598096,13.32296365,265.790148,29.50197432,8.448957004,37.95093132,4.874006642,42.82493797,80.31800084,30.81714872,23.8494723,88.86485044,11.13514956,12.59894524,0.863828333,0.205324217,12.93253737,37.83106454,3.42832932,255.7446424,85.75644911,28.68293996,9.400673159,4.96679828,33.64973824,43.0504114,42.70603771,50.12963655,49.87036345,80.89980885,61.80475114,96.17439954,94.62147095,15.72423011,16.03327628,7.914608065,8.118668211,6.934045404,86.48170307,49.48295082,50.51704918,,,,2.549365373,1240.210812,63.68895095,33.66666667,241.6666667,0.139287233,22.66666667,0.093763108,89.5,236.3333333,0.376861702,63.66666667,145.3333333,Acsf2_E01V.xls,Acsf2,,,
,Acsf2_E01_hV_M_s5,40.98627775,21.12961667,194.5959833,30.09682799,10.24016691,40.33699491,10.88944975,51.22644466,79.48087827,41.6902499,31.05794721,78.82887183,21.17112817,26.90649323,1.019130009,0.293643863,14.55959109,37.21970921,3.240371201,272.2361919,83.33989364,28.30139326,9.711835205,10.26773579,38.56912905,48.28096425,35.05892939,57.75012086,42.24987914,68.67025131,45.26539861,97.38611255,93.86123094,17.44033518,18.42446508,9.69233097,8.732134114,8.040786862,80.19916456,53.45802513,46.54197487,,,,3.211262755,1465.162815,91.06505163,38,241.6666667,0.156038118,26.5,0.108821049,72,237,0.300618898,73.5,144.3333333,Acsf2_E01V.xls,Acsf2,,,
,Acsf2_E01_hV_M_s6,31.97950914,13.15789474,254.9885057,27.978812,8.076225045,36.54567453,5.081669691,41.62734422,80.59875018,31.60877779,23.35450696,87.79247202,12.20752798,13.90498262,0.977363831,0.250032434,15.50280852,40.10407631,3.849669634,221.2894907,84.37270156,26.7156013,7.882637629,4.585601936,31.68784029,39.57047792,46.41863279,46.01801041,53.98198959,83.79432318,59.88051471,98.44155844,94.44644789,12.6637323,13.70168052,6.787658802,8.082274652,5.577737447,83.42529829,45.64686737,54.35313263,,,,3.09671945,1419.527558,79.66592442,35.33333333,244.6666667,0.144412847,24.33333333,0.099453552,67.5,240.6666667,0.280688105,62.66666667,,Acsf2_E01V.xls,Acsf2,,,
,Acsf2_E01_hV_M_s7,42.10417918,24.61534441,170.6644897,30.43807531,12.94924054,43.38731585,11.66610387,55.05341972,75.99076758,44.8723816,33.35976179,79.13685082,20.86314918,26.66360702,1.007179211,0.339673322,15.04484589,39.76243794,3.770717823,225.8433411,86.94137157,29.23276876,12.33328876,10.71897113,39.95173989,52.28502864,34.65634293,60.04915762,39.95084238,69.80242315,50.08656951,96.65993033,94.81874671,14.16966491,17.78737209,9.647438894,8.139933199,6.97794176,80.05043321,54.20719875,45.79280125,,,,2.663751412,1471.544111,83.16835129,36.33333333,244.6666667,0.148483328,23.33333333,0.095366343,80.66666667,237,0.340390636,71.66666667,137,Acsf2_E01V.xls,Acsf2,,,
,Acsf2_E01_hV_M_s8,42.69703188,18.48132889,253.7951892,34.61600572,9.181118562,43.36366254,8.081026153,51.44468869,82.87472766,32.6555092,29.76285742,84.46976314,15.53023686,18.43094004,0.861145562,0.291093375,17.73611391,41.46818326,4.319080916,192.0800701,85.07997634,32.45756221,8.628798903,7.754992888,40.2125551,48.841354,36.23862234,57.2900279,42.7099721,76.2853616,49.73269222,97.96705889,94.31232796,19.02227932,20.19220183,11.71070919,8.481492647,9.62947286,89.09825842,58.30234546,41.69765454,,,,2.742843504,1427.365701,91.57693096,36.5,243,0.149885313,25,0.102669837,68.66666667,238,0.288812733,67.5,142.3333333,Acsf2_E01V.xls,Acsf2,,,
Male,Adck2_E01_hV_M_s1,11.73733195,24.56315013,47.89029536,8.925304272,22.2356025,30.62206666,2.812027683,33.43409434,35.10587675,73.3047823,18.12306101,91.58934095,8.410659053,9.183010781,1.375639031,0.309665748,23.84269572,56.11516673,3.854391819,206.9788991,68.8990339,7.847426617,17.39520511,2.418264259,10.26569088,26.2429401,40.47012966,39.33702975,60.66297025,66.85869197,67.51547871,88.11594203,87.46187733,8.211527112,14.16341566,1.662556678,1.594940737,1.073900247,88.29891609,51.03785104,48.96214896,,,,3.121556648,1349.983355,251.192647,39,251,0.155378486,22.66666667,0.090305445,56.66666667,237.6666667,0.238530215,45,127.6666667,Adck2_E01V_v2.xls,Adck2,21.64411048,19.04120713,
,Adck2_E01_hV_M_s2,,21.5862069,,,20.61149425,,,,,,,,,,,,23.45850896,54.79652671,3.350970645,243.62447,64.11276664,,11.80689655,,,,,,,,54.16578781,,,7.062985724,14.57472078,,,,91.52321295,,,,,,3.000036263,1542.548083,273.1113504,31,250.6666667,0.123505976,17,0.067729084,57.33333333,241.3333333,0.237663143,45.66666667,147,Adck2_E01V_v2.xls,Adck2,23.85178964,20.16917524,
